names,edhrec
Akrasan Squire,392
Angel's Herald,26
Angelic Benediction,519
Angelsong,882
Bant Battlemage,83
Battlegrace Angel,951
Cradle of Vitality,1352
Dispeller's Capsule,1459
"Elspeth, Knight-Errant",5611
Ethersworn Canonist,3324
Excommunicate,36
Guardians of Akrasa,309
Gustrider Exuberant,7
Invincible Hymn,144
Knight of the Skyward Eye,7
Knight of the White Orchid,10032
Knight-Captain of Eos,2086
Marble Chalice,58
Metallurgeon,85
Oblivion Ring,15693
Ranger of Eos,1928
Resounding Silence,59
Rockcaster Platoon,12
Sanctum Gargoyle,679
Scourglass,1469
Sighted-Caste Sorcerer,209
Sigiled Paladin,553
Soul's Grace,114
Sunseed Nurturer,86
Welkin Guide,9
Yoked Plowbeast,68
Call to Heel,192
Cathartic Adept,99
Cloudheath Drake,1
Coma Veil,9
Courier's Capsule,552
Covenant of Minds,284
Dawnray Archer,160
Esper Battlemage,22
Etherium Astrolabe,169
Etherium Sculptor,12803
Fatestitcher,2862
Filigree Sages,327
Gather Specimens,822
Jhessian Lookout,5
Kathari Screecher,7
Kederekt Leviathan,2110
Master of Etherium,2658
Memory Erosion,2798
Mindlock Orb,490
Outrider of Jhess,90
Protomatter Powder,39
Resounding Wave,128
Sharding Sphinx,4349
Skill Borrower,155
Spell Snip,65
Sphinx's Herald,40
Steelclad Serpent,21
Tezzeret the Seeker,11903
Tortoise Formation,28
Vectis Silencers,1
Ad Nauseam,6435
Archdemon of Unx,87
Banewasp Affliction,40
Blister Beetle,24
Bone Splinters,1950
Corpse Connoisseur,4541
Cunning Lethemancer,1217
Death Baron,5082
Deathgreeter,2114
Demon's Herald,23
Dreg Reaver,5
Dregscape Zombie,174
Executioner's Capsule,2993
Fleshbag Marauder,17583
Glaze Fiend,48
Grixis Battlemage,43
Immortal Coil,86
Infest,160
Onyx Goblet,67
Puppet Conjurer,27
Resounding Scream,24
Salvage Titan,64
Scavenger Drake,221
Shadowfeed,26
Shore Snapper,1
Skeletal Kathari,25
Tar Fiend,121
Undead Leotau,4
Vein Drinker,715
Viscera Dragger,171
Bloodpyre Elemental,23
Bloodthorn Taunter,45
Caldera Hellion,191
Crucible of Fire,3910
Dragon Fodder,5422
Dragon's Herald,22
Exuberant Firestoker,103
Flameblast Dragon,2491
Goblin Assault,1840
Goblin Mountaineer,79
Hell's Thunder,303
Hissing Iguanar,745
Incurable Ogre,4
Jund Battlemage,72
Lightning Talons,145
Magma Spray,359
Predator Dragon,228
Resounding Thunder,36
Ridge Rannet,112
Rockslide Elemental,147
Scourge Devil,37
Skeletonize,5
Soul's Fire,2866
Thorn-Thrash Viashino,40
Thunder-Thrash Elder,112
Viashino Skeleton,8
Vicious Shadows,2179
Vithian Stinger,337
Volcanic Submersion,34
Where Ancients Tread,1913
Algae Gharial,167
Behemoth's Herald,27
Cavern Thoctar,4
Court Archers,230
Cylian Elf,16
Druid of the Anima,921
Drumhunter,2304
Elvish Visionary,9925
Feral Hydra,1801
Gift of the Gargantuan,132
Godtoucher,20
Jungle Weaver,409
Keeper of Progenitus,955
Lush Growth,96
Mighty Emergence,187
Manaplasm,176
Mosstodon,104
Mycoloth,9507
Naya Battlemage,19
Ooze Garden,374
Resounding Roar,17
Rhox Charger,195
Sacellum Godspeaker,82
Savage Hunger,49
Skullmulcher,913
Soul's Might,815
Spearbreaker Behemoth,1869
Topan Ascetic,8
Wild Nacatl,495
Agony Warp,76
Ajani Vengeant,1401
Bant Charm,4158
Blightning,489
Blood Cultist,186
Branching Bolt,66
Brilliant Ultimatum,1421
Broodmate Dragon,1868
Bull Cerodon,81
Carrion Thrash,19
Clarion Ultimatum,57
Cruel Ultimatum,3983
Deft Duelist,21
Empyrial Archangel,263
Esper Charm,2821
Fire-Field Ogre,15
Goblin Deathraiders,48
Godsire,1179
Grixis Charm,1255
Hellkite Overlord,771
Hindering Light,1513
Jhessian Infiltrator,636
Jund Charm,1450
Kederekt Creeper,46
Kiss of the Amesha,69
Kresh the Bloodbraided,617
Mayael the Anima,336
Naya Charm,4779
Necrogenesis,2554
Prince of Thralls,388
Punish Ignorance,162
Qasali Ambusher,522
Rafiq of the Many,458
Rakeclaw Gargantuan,180
Realm Razer,262
Rhox War Monk,94
Rip-Clan Crasher,37
Sangrite Surge,16
Sarkhan Vol,1215
Sedraxis Specter,349
"Sedris, the Traitor King",239
Sharuum the Hegemon,3111
Sigil Blessing,129
Sphinx Sovereign,334
Sprouting Thrinax,1282
Steward of Valeron,451
Stoic Angel,1153
Swerve,319
Thoughtcutter Agent,45
Tidehollow Sculler,793
Tidehollow Strix,273
Titanic Ultimatum,1503
Tower Gargoyle,58
Violent Ultimatum,819
Waveskimmer Aven,130
Windwright Mage,41
Woolly Thoctar,278
Lich's Mirror,346
Minion Reflector,1269
Obelisk of Bant,486
Obelisk of Esper,1731
Obelisk of Grixis,2071
Obelisk of Jund,610
Obelisk of Naya,481
Quietus Spike,5096
Relic of Progenitus,4525
Sigil of Distinction,503
Arcane Sanctum,22840
Bant Panorama,7424
Crumbling Necropolis,21640
Esper Panorama,6760
Grixis Panorama,9770
Jund Panorama,9452
Jungle Shrine,20490
Naya Panorama,7932
Savage Lands,18046
Seaside Citadel,22607
