names,edhrec
Farmstead,2
Guardian Angel,7
Lance,11
Resurrection,754
Reverse Polarity,6
Veteran Bodyguard,37
Braingeyser,998
Clone,4460
Copy Artifact,4309
Reconstruction,250
Serendib Efreet,23
Vesuvan Doppelganger,610
Contract from Below,0
Darkpact,0
Demonic Attorney,0
Demonic Hordes,87
Demonic Tutor,57185
Nettling Imp,122
Sacrifice,576
Atog,190
Dwarven Weaponsmith,32
Earthbind,28
Fork,1914
Granite Gargoyle,11
Kird Ape,111
Mijae Djinn,229
Roc of Kher Ridges,7
Rock Hydra,97
Sedge Troll,8
Shatterstorm,635
Wheel of Fortune,11933
Fastbond,2
Kudzu,31
Regrowth,15657
Basalt Monolith,15860
Jandor's Ring,12
Juggernaut,113
Living Wall,263
Rocket Launcher,57
Sol Ring,291400
Badlands,11303
Bayou,12575
Plateau,10055
Savannah,11893
Scrubland,11718
Taiga,10306
Tropical Island,12983
Tundra,11730
Underground Sea,12938
Volcanic Island,10761
