names,edhrec
Advance Scout,35
Angelic Protector,25
Anoint,15
Armor Sliver,74
Armored Pegasus,19
Auratog,270
Avenging Angel,22
Circle of Protection: Black,190
Circle of Protection: Blue,141
Circle of Protection: Green,171
Circle of Protection: Red,186
Circle of Protection: Shadow,5
Circle of Protection: White,332
Clergy en-Vec,17
Cloudchaser Eagle,97
Elite Javelineer,1
Field of Souls,1571
Flickering Ward,1594
Gerrard's Battle Cry,83
Hanna's Custody,118
Hero's Resolve,58
Humility,1499
Invulnerability,34
Knight of Dawn,222
Light of Day,149
Marble Titan,785
Master Decoy,36
Mounted Archers,12
Oracle en-Vec,73
Orim's Prayer,316
"Orim, Samite Healer",73
Pegasus Refuge,13
Quickening Licid,7
Repentance,12
Sacred Guide,51
Safeguard,21
Serene Offering,79
Soltari Crusader,98
Soltari Emissary,39
Soltari Foot Soldier,377
Soltari Lancer,95
Soltari Monk,146
Soltari Priest,152
Soltari Trooper,174
Spirit Mirror,78
Staunch Defenders,3
Talon Sliver,743
Warmth,12
Winds of Rath,6314
Worthy Cause,91
Benthic Behemoth,245
Capsize,9181
Chill,130
Dismiss,3434
Dream Cache,1742
Duplicity,12
Ertai's Meddling,271
Escaped Shapeshifter,17
Fighting Drake,2
Fylamarid,30
Gaseous Form,51
Giant Crab,48
Horned Turtle,18
Insight,277
Interdict,203
Intuition,4562
Legacy's Allure,742
Legerdemain,249
Mana Severance,754
Manta Riders,37
Mawcor,50
Meditate,108
Mnemonic Sliver,285
Precognition,69
Propaganda,25305
Rootwater Diver,149
Rootwater Hunter,240
Rootwater Matriarch,90
Rootwater Shaman,127
Sea Monster,34
Shadow Rift,1267
Skyshroud Condor,6
Spell Blast,136
Steal Enchantment,726
Stinging Licid,9
Thalakos Dreamsower,38
Thalakos Mistfolk,26
Thalakos Seer,1018
Thalakos Sentry,54
Time Ebb,65
Time Warp,7123
Tradewind Rider,173
Twitch,115
Unstable Shapeshifter,156
Volrath's Curse,81
Whim of Volrath,252
Whispers of the Muse,724
Wind Dancer,33
Wind Drake,31
Winged Sliver,2215
Abandon Hope,92
Bellowing Fiend,7
Blood Pet,1895
Bounty Hunter,534
Carrionette,75
Clot Sliver,1091
Coercion,74
Coffin Queen,835
Commander Greven il-Vec,24
Corpse Dance,784
Dark Banishing,196
Darkling Stalker,54
Dauthi Embrace,857
Dauthi Ghoul,48
Dauthi Horror,88
Dauthi Marauder,56
Dauthi Mercenary,78
Dauthi Mindripper,45
Dauthi Slayer,107
Death Pits of Rath,530
Diabolic Edict,1491
Disturbed Burial,293
Dread of Night,21
Dregs of Sorrow,465
Endless Scream,126
Enfeeblement,7
Evincar's Justice,151
Extinction,141
Fevered Convulsions,293
Imps' Taunt,18
Kezzerdrix,7
Knight of Dusk,134
Leeching Licid,7
Living Death,16614
Maddening Imp,205
Marsh Lurker,1
Mindwhip Sliver,57
Minion of the Wastes,75
Perish,63
Pit Imp,10
Rats of Rath,63
Reanimate,17456
Sadistic Glee,361
Sarcomancy,43
Screeching Harpy,3
Servant of Volrath,4
Skyshroud Vampire,7
Souldrinker,76
Spinal Graft,10
Aftershock,527
Ancient Runes,263
Apocalypse,416
Barbed Sliver,79
Blood Frenzy,63
Boil,488
Canyon Drake,1
Canyon Wildcat,30
Chaotic Goo,465
Deadshot,21
Enraging Licid,7
Firefly,6
Fireslinger,124
Flowstone Giant,3
Flowstone Salamander,1
Flowstone Wyvern,1
Furnace of Rath,4301
Giant Strength,45
Goblin Bombardment,12422
Hand to Hand,24
Havoc,14
Heart Sliver,2488
Jackal Pup,34
Kindle,4
Lightning Blast,54
Lightning Elemental,43
Lowland Giant,6
Magmasaur,100
Mogg Conscripts,21
Mogg Fanatic,473
Mogg Raider,677
Mogg Squad,3
No Quarter,46
Opportunist,3
Pallimud,13
Rathi Dragon,13
Renegade Warlord,11
Rolling Thunder,903
Sandstone Warrior,5
Scorched Earth,56
Searing Touch,101
Shadowstorm,0
Shocker,110
Starke of Rath,286
Sudden Impact,164
Tahngarth's Rage,112
Tooth and Claw,717
Wall of Diffusion,25
Wild Wurm,71
Aluren,1683
Apes of Rath,16
Bayou Dragonfly,46
Broken Fall,192
Canopy Spider,172
Charging Rhino,27
Choke,487
Crazed Armodon,21
Dirtcowl Wurm,186
Earthcraft,2770
Eladamri's Vineyard,758
"Eladamri, Lord of Leaves",1132
Elven Warhounds,39
Elvish Fury,99
Flailing Drake,5
Frog Tongue,108
Fugitive Druid,24
Heartwood Dryad,7
Heartwood Giant,2
Heartwood Treefolk,48
Horned Sliver,1375
Krakilin,164
Mirri's Guile,2759
Mongrel Pack,51
Muscle Sliver,2271
Natural Spring,12
Nature's Revolt,441
Needle Storm,19
Nurturing Licid,35
Pincher Beetles,7
Rampant Growth,53760
Reality Anchor,10
Reap,926
Recycle,523
Respite,710
Root Maze,1668
Rootbreaker Wurm,37
Rootwalla,12
Scragnoth,22
Seeker of Skybreak,3215
Skyshroud Elf,341
Skyshroud Ranger,2563
Skyshroud Troll,9
Spike Drone,46
Storm Front,20
Trained Armodon,41
Trumpeting Armodon,31
Verdant Force,4142
Verdigris,3
Winter's Grasp,126
Dracoplasm,25
Ranger en-Vec,25
Segmented Wurm,6
"Selenia, Dark Angel",81
Sky Spirit,32
Soltari Guerrillas,183
Spontaneous Combustion,62
Vhati il-Dal,902
Wood Sage,151
Altar of Dementia,15650
Booby Trap,31
Coiled Tinviper,20
Cold Storage,235
Cursed Scroll,37
Echo Chamber,72
Emerald Medallion,5903
Emmessi Tome,75
Energizer,2
Essence Bottle,14
Excavator,16
Flowstone Sculpture,18
Fool's Tome,25
Grindstone,672
Helm of Possession,940
Jet Medallion,8399
Jinxed Idol,576
Lotus Petal,16552
Magnetic Web,53
Manakin,2967
Metallic Sliver,236
Mogg Cannon,26
Pearl Medallion,5343
Phyrexian Grimoire,23
Phyrexian Hulk,38
Phyrexian Splicer,55
Puppet Strings,1394
Ruby Medallion,8773
Sapphire Medallion,8247
