names,edhrec
Ancestor's Chosen,30
Angel of Mercy,89
Angelic Blessing,39
Angelic Chorus,2141
Angelic Wall,1242
Aura of Silence,12317
Aven Cloudchaser,215
Ballista Squad,92
Bandage,1386
Beacon of Immortality,2705
Benalish Knight,117
"Cho-Manno, Revolutionary",258
Field Marshal,680
Ghost Warden,10
Glorious Anthem,1580
Hail of Arrows,35
Heart of Light,36
High Ground,117
Holy Day,806
Honor Guard,8
Icatian Priest,8
Kjeldoran Royal Guard,42
Loxodon Mystic,40
Loyal Sentry,222
Luminesce,4
Mobilization,1372
Nomad Mythmaker,1045
Paladin en-Vec,318
Pariah,1537
Reviving Dose,87
Reya Dawnbringer,4076
Rule of Law,3386
Samite Healer,23
Serra's Embrace,243
Skyhunter Patrol,134
Skyhunter Prowler,120
Skyhunter Skirmisher,1440
Spirit Link,705
Spirit Weaver,1
Starlight Invoker,4
Steadfast Guard,39
Story Circle,420
Suntail Hawk,214
Treasure Hunter,420
True Believer,312
Tundra Wolves,230
Venerable Monk,13
Voice of All,249
Wall of Swords,229
Warrior's Honor,2
Windborn Muse,6932
Wrath of God,26230
Youthful Knight,139
Academy Researchers,138
Ambassador Laquatus,266
Arcanis the Omnipotent,8416
Aura Graft,91
Aven Fisher,31
Aven Windreader,17
Boomerang,1481
Cephalid Constable,1020
Cloud Sprite,586
Counsel of the Soratami,309
Crafty Pathmage,49
Dehydration,9
Deluge,144
Denizen of the Deep,112
Discombobulate,281
Dreamborn Muse,2674
Evacuation,10949
Fog Elemental,8
Fugitive Wizard,27
Horseshoe Crab,779
Hurkyl's Recall,2384
Lumengrid Warden,4
Mahamoti Djinn,55
March of the Machines,613
Mind Bend,235
Peek,1431
Persuasion,348
Plagiarize,127
Puppeteer,435
Reminisce,313
Remove Soul,527
Robe of Mirrors,500
Rootwater Commando,23
Rootwater Matriarch,90
Scalpelexis,83
Sea Monster,34
Shimmering Wings,197
Sift,394
Sky Weaver,4
Spiketail Hatchling,550
Sunken Hope,283
Telling Time,4955
Thieving Magpie,387
Tidings,1070
Time Stop,1322
Time Stretch,3798
Twitch,112
Vedalken Mastermind,405
Wall of Air,652
Afflict,28
Agonizing Memories,20
Ascendant Evincar,707
Beacon of Unrest,6538
Contaminated Bond,40
Cruel Edict,217
Doomed Necromancer,2767
Dross Crocodile,11
Dusk Imp,9
Fear,193
Festering Goblin,133
Grave Pact,13929
Graveborn Muse,2510
Hate Weaver,5
Head Games,538
Hidden Horror,30
Highway Robber,33
Knight of Dusk,133
Lord of the Pit,160
Lord of the Undead,3167
Mass of Ghouls,14
Midnight Ritual,36
Mortal Combat,578
Mortivore,2418
Nantuko Husk,1272
Nekrataal,1795
No Rest for the Wicked,799
Phage the Untouchable,1621
Phyrexian Rager,1188
Plague Beetle,33
Plague Wind,3729
Rain of Tears,128
Recover,532
Scathe Zombies,11
Severed Legion,37
Sleeper Agent,134
Soul Feast,16
Spineless Thug,5
Stronghold Discipline,47
Terror,825
Thrull Surgeon,32
Vampire Bats,20
Anaba Bodyguard,46
Arcane Teachings,82
Beacon of Destruction,385
Blaze,636
Bloodfire Colossus,448
Bloodrock Cyclops,12
Bogardan Firefiend,23
Cone of Flame,99
Cryoclasm,29
Dragon Roost,259
Duct Crawler,6
Earth Elemental,11
Fists of the Anvil,554
Flamewave Invoker,73
Flowstone Slide,101
Furnace of Rath,4256
Goblin Elite Infantry,11
Goblin King,3378
Goblin Lore,285
Goblin Sky Raider,54
