names,edhrec
Angry Mob,53
Blood of the Martyr,77
Brainwash,74
Cleansing,87
Dust to Dust,168
Exorcist,23
Fasting,10
Festival,27
Fire and Brimstone,9
Holy Light,22
Knights of Thorn,30
Martyr's Cry,26
Miracle Worker,9
Morale,6
Pikemen,34
Preacher,139
Squire,12
Tivadar's Crusade,7
Witch Hunter,89
Amnesia,76
Apprentice Wizard,629
Dance of Many,862
Deep Water,13
Drowned,20
Electric Eel,2
Erosion,11
Flood,147
Ghost Ship,60
Giant Shark,9
Leviathan,50
Mana Vortex,390
Merfolk Assassin,22
Mind Bomb,48
Psychic Allergy,14
Riptide,15
Sunken City,37
Tangle Kelp,6
Water Wurm,9
Ashes to Ashes,1197
Banshee,30
Bog Imp,15
Bog Rats,67
Curse Artifact,26
Eater of the Dead,952
Frankenstein's Monster,20
Grave Robbers,2
Inquisition,4
Marsh Gas,7
Murk Dwellers,2
Nameless Race,16
Rag Man,61
Season of the Witch,102
The Fallen,13
Uncle Istvan,59
Word of Binding,27
Worms of the Earth,36
Ball Lightning,692
Blood Moon,7876
Brothers of Fire,10
Cave People,5
Eternal Flame,6
Fire Drake,4
Fissure,249
Goblin Caves,252
Goblin Digging Team,25
Goblin Hero,13
Goblin Rock Sled,4
Goblin Shrine,116
Goblin Wizard,374
Goblins of the Flarg,54
Inferno,550
Mana Clash,793
Orc General,16
Sisters of the Flame,85
Carnivorous Plant,21
Gaea's Touch,1566
Hidden Path,25
Land Leeches,1
Lurker,1
Marsh Viper,182
Niall Silvain,5
People of the Woods,14
Savaen Elves,4
Scarwood Bandits,31
Scarwood Hag,3
Scavenger Folk,48
Spitting Slug,1
Tracker,9
Venom,43
Whippoorwill,13
Wormwood Treefolk,5
Marsh Goblins,3
Scarwood Goblins,4
Barl's Cage,36
Bone Flute,12
Book of Rass,332
Coal Golem,4
Dark Sphere,506
Diabolic Machine,5
Fellwar Stone,58411
Fountain of Youth,448
Living Armor,18
Necropolis,72
Reflecting Mirror,18
Runesword,12
Scarecrow,94
Skull of Orm,296
Standing Stones,4
Stone Calendar,181
Tormod's Crypt,8133
Tower of Coireall,75
Wand of Ith,35
War Barge,34
City of Shadows,310
Maze of Ith,16444
Safe Haven,382
Sorrow's Path,48
