names,edhrec
Alseid of Life's Bounty,781
Archon of Falling Stars,143
Archon of Sun's Grace,1773
Banishing Light,7536
The Birth of Meletis,638
Captivating Unicorn,46
Commanding Presence,227
Dawn Evangel,58
"Daxos, Blessed by the Sun",1978
Daybreak Chimera,43
Dreadful Apathy,173
Eidolon of Obstruction,258
Elspeth Conquers Death,1190
"Elspeth, Sun's Nemesis",420
Favored of Iroas,40
Flicker of Fate,527
Glory Bearers,32
"Heliod, Sun-Crowned",2143
Heliod's Intervention,3489
Heliod's Pilgrim,5041
Heliod's Punishment,184
Hero of the Pride,54
Hero of the Winds,22
Idyllic Tutor,10883
Indomitable Will,106
Karametra's Blessing,265
Lagonna-Band Storyteller,108
Leonin of the Lost Pride,41
Nyxborn Courser,15
Omen of the Sun,336
Phalanx Tactics,190
Pious Wayfarer,36
Reverent Hoplite,385
Revoke Existence,1963
Rumbling Sentry,6
Sentinel's Eyes,374
Shatter the Sky,1141
Sunmane Pegasus,20
"Taranika, Akroan Veteran",288
Transcendent Envoy,771
Triumphant Surge,57
"Alirios, Enraptured",98
Ashiok's Erasure,260
Brine Giant,37
"Callaphe, Beloved of the Sea",742
Chain to Memory,32
Deny the Divine,127
Eidolon of Philosophy,55
Elite Instructor,44
Glimpse of Freedom,139
Ichthyomorphosis,340
Kiora Bests the Sea God,1324
Medomai's Prophecy,382
Memory Drain,156
Nadir Kraken,1841
Naiad of Hidden Coves,460
Nyxborn Seaguard,21
Omen of the Sea,1879
One with the Stars,147
Protean Thaumaturge,495
Riptide Turtle,341
Sage of Mysteries,71
Sea God's Scorn,39
Shimmerwing Chimera,149
Shoal Kraken,65
Sleep of the Dead,33
Starlit Mantle,183
Stern Dismissal,150
Stinging Lionfish,93
Sweet Oblivion,61
"Thassa, Deep-Dwelling",3816
Thassa's Intervention,1729
Thassa's Oracle,7629
Thirst for Meaning,537
Threnody Singer,27
"Thryx, the Sudden Storm",1366
Towering-Wave Mystic,54
Triton Waverider,12
Vexing Gull,17
Wavebreak Hippocamp,1095
Whirlwind Denial,1109
Witness of Tomorrows,43
Agonizing Remorse,88
"Aphemia, the Cacophony",126
Aspect of Lamprey,63
Blight-Breath Catoblepas,30
Cling to Dust,188
Discordant Piper,104
Drag to the Underworld,845
Eat to Extinction,730
Elspeth's Nightmare,249
Enemy of Enlightenment,29
