names,edhrec
Battlewise Valor,109
Cavalry Pegasus,309
Celestial Archon,1407
Chained to the Rocks,557
Chosen by Heliod,297
Dauntless Onslaught,69
Decorated Griffin,44
"Elspeth, Sun's Champion",15787
Ephara's Warden,13
Evangel of Heliod,1385
Fabled Hero,735
Favored Hoplite,465
Gift of Immortality,7935
Glare of Heresy,179
Gods Willing,4033
"Heliod, God of the Sun",6341
Heliod's Emissary,242
Hopeful Eidolon,575
Hundred-Handed One,495
Lagonna-Band Elder,21
Last Breath,19
Leonin Snarecaster,125
Observant Alseid,217
Ordeal of Heliod,428
Phalanx Leader,1517
Ray of Dissolution,63
Scholar of Athreos,239
Setessan Battle Priest,75
Setessan Griffin,4
Silent Artisan,6
Soldier of the Pantheon,509
Spear of Heliod,6504
Traveling Philosopher,18
Vanquish the Foul,18
Wingsteed Rider,166
Yoked Ox,96
Annul,748
Aqueous Form,7214
Artisan of Forms,126
Benthic Giant,41
Bident of Thassa,16797
Breaching Hippocamp,702
Coastline Chimera,14
Crackling Triton,5
Curse of the Swine,10958
Dissolve,7352
Fate Foretold,118
Gainsay,83
Griptide,96
Horizon Scholar,294
Lost in a Labyrinth,29
Master of Waves,2669
Meletis Charlatan,365
Mnemonic Wall,6070
Nimbus Naiad,185
Omenspeaker,1035
Ordeal of Thassa,481
Prescient Chimera,148
Prognostic Sphinx,1377
Sea God's Revenge,88
Sealock Monster,442
Shipbreaker Kraken,1361
Stymied Hopes,59
Swan Song,44126
"Thassa, God of the Sea",9877
Thassa's Bounty,98
Thassa's Emissary,402
Triton Fortune Hunter,89
Triton Shorethief,27
Triton Tactics,147
Vaporkin,38
Voyage's End,202
Wavecrash Triton,42
Abhorrent Overlord,4379
Agent of the Fates,161
Asphodel Wanderer,54
Baleful Eidolon,267
Blood-Toll Harpy,22
Boon of Erebos,115
Cavern Lampad,89
Cutthroat Maneuver,21
Dark Betrayal,88
Disciple of Phenax,127
"Erebos, God of the Dead",9976
Erebos's Emissary,123
Felhide Minotaur,51
Fleshmad Steed,10
Hero's Downfall,14950
Hythonia the Cruel,540
Insatiable Harpy,32
Keepsake Gorgon,143
Lash of the Whip,19
Loathsome Catoblepas,3
March of the Returned,109
Mogis's Marauder,585
Nighthowler,3681
Ordeal of Erebos,96
Pharika's Cure,78
Read the Bones,23887
Rescue from the Underworld,1086
Returned Centaur,302
Returned Phalanx,74
Scourgemark,64
Sip of Hemlock,31
Thoughtseize,2866
Tormented Hero,57
Viper's Kiss,96
Whip of Erebos,13590
Akroan Crusader,1496
Anger of the Gods,2452
Arena Athlete,134
Borderland Minotaur,63
Boulderfall,22
Coordinated Assault,152
Deathbellow Raider,189
Dragon Mantle,703
Ember Swallower,191
Fanatic of Mogis,2851
Firedrinker Satyr,165
Flamespeaker Adept,18
Hammer of Purphoros,7310
Ill-Tempered Cyclops,23
Labyrinth Champion,330
Magma Jet,967
Messenger's Speed,471
Minotaur Skullcleaver,200
Ordeal of Purphoros,153
Peak Eruption,27
Priest of Iroas,19
"Purphoros, God of the Forge",14552
Purphoros's Emissary,75
Rage of Purphoros,13
Rageblood Shaman,397
Satyr Rambler,128
Spark Jolt,121
Spearpoint Oread,49
Stoneshock Giant,250
Stormbreath Dragon,1780
Titan of Eternal Fire,42
Titan's Strength,3178
Two-Headed Cerberus,63
Wild Celebrants,154
Agent of Horizons,14
"Anthousa, Setessan Hero",56
Arbor Colossus,585
Artisan's Sorrow,148
Boon Satyr,992
Bow of Nylea,7790
Centaur Battlemaster,54
Commune with the Gods,1633
Defend the Hearth,242
Fade into Antiquity,646
Feral Invocation,138
Hunt the Hunter,64
Karametra's Acolyte,6699
Leafcrown Dryad,222
Mistcutter Hydra,3602
Nemesis of Mortals,479
Nessian Asp,190
Nessian Courser,26
"Nylea, God of the Hunt",8319
Nylea's Disciple,231
Nylea's Emissary,254
Nylea's Presence,317
Ordeal of Nylea,1472
Pheres-Band Centaurs,17
"Polukranos, World Eater",3600
Reverent Hunter,220
Satyr Hedonist,219
Satyr Piper,145
Savage Surge,142
Sedge Scorpion,335
Shredding Winds,20
Staunch-Hearted Warrior,31
Sylvan Caryatid,7553
Time to Feed,110
Voyaging Satyr,3936
Vulpine Goliath,36
Warriors' Lesson,376
Akroan Hoplite,435
Anax and Cymede,1139
Ashen Rider,3084
"Ashiok, Nightmare Weaver",2884
Battlewise Hoplite,119
Chronicler of Heroes,80
Daxos of Meletis,2119
Destructive Revelry,1461
Fleecemane Lion,2461
Horizon Chimera,1454
Kragma Warcaller,364
Medomai the Ageless,2073
Pharika's Mender,529
Polis Crusher,289
Prophet of Kruphix,134
Psychic Intrusion,458
Reaper of the Wilds,1141
Sentry of the Underworld,29
Shipwreck Singer,90
Spellheart Chimera,831
Steam Augury,1222
Triad of Fates,234
"Tymaret, the Murder King",560
Underworld Cerberus,251
"Xenagos, the Reveler",4958
Akroan Horse,2379
Anvilwrought Raptor,54
Bronze Sable,24
Burnished Hart,41237
Colossus of Akros,2418
Flamecast Wheel,13
Fleetfeather Sandals,1848
Guardians of Meletis,418
Opaline Unicorn,866
Prowler's Helm,3838
Pyxis of Pandemonium,769
Witches' Eye,256
"Nykthos, Shrine to Nyx",33726
Temple of Mystery,23597
Temple of Silence,19899
Temple of Triumph,18231
