names,edhrec
Acclaimed Contender,1155
All That Glitters,3878
Archon of Absolution,999
Ardenvale Paladin,67
Ardenvale Tactician,323
Bartered Cow,21
Beloved Princess,134
Charming Prince,1887
The Circle of Loyalty,1193
Deafening Silence,2300
Faerie Guidemother,299
Flutterfox,70
Fortifying Provisions,101
Giant Killer,582
Glass Casket,131
Happily Ever After,633
Harmonious Archon,520
Hushbringer,2459
Knight of the Keep,21
"Linden, the Steadfast Queen",679
Lonesome Unicorn,86
Mysterious Pathlighter,30
Outflank,95
Prized Griffin,19
Rally for the Throne,137
Realm-Cloaked Giant,808
Righteousness,265
Shepherd of the Flock,270
Shining Armor,305
Silverflame Ritual,159
Silverflame Squire,86
"Syr Alin, the Lion's Claw",468
Trapped in the Tower,226
True Love's Kiss,412
Venerable Knight,286
Worthy Knight,734
Youthful Knight,141
Animating Faerie,340
Brazen Borrower,864
Charmed Sleep,121
Corridor Monitor,967
Didn't Say Please,1320
"Emry, Lurker of the Loch",3166
Fae of Wishes,217
Faerie Vandal,666
Folio of Fancies,2576
Frogify,1548
"Gadwick, the Wizened",2170
Hypnotic Sprite,631
Into the Story,1151
The Magic Mirror,3015
Mantle of Tides,61
Merfolk Secretkeeper,354
Midnight Clock,2445
Mirrormade,5860
Mistford River Turtle,49
Moonlit Scavengers,22
Mystical Dispute,682
Opt,17271
Overwhelmed Apprentice,680
Queen of Ice,170
Run Away Together,698
Sage of the Falls,359
So Tiny,60
Steelgaze Griffin,20
Stolen by the Fae,897
"Syr Elenora, the Discerning",248
Tome Raider,284
Turn into a Pumpkin,105
Unexplained Vision,193
Vantress Gargoyle,336
Vantress Paladin,27
Wishful Merfolk,23
Witching Well,1616
"Ayara, First of Locthwain",3755
Bake into a Pie,614
Barrow Witches,52
Belle of the Brawl,608
Blacklance Paragon,597
Bog Naughty,38
Cauldron Familiar,728
The Cauldron of Eternity,1150
Cauldron's Gift,196
Clackbridge Troll,1190
Epic Downfall,476
Eye Collector,435
Festive Funeral,64
Foreboding Fruit,472
Forever Young,1322
Foulmire Knight,1028
Giant's Skewer,195
Lash of Thorns,109
Locthwain Paladin,72
Lost Legion,144
Malevolent Noble,58
Memory Theft,28
Murderous Rider,4202
Oathsworn Knight,268
Order of Midnight,1223
Piper of the Swarm,1523
"Rankle, Master of Pranks",1811
Reaper of Night,98
Reave Soul,144
Revenge of Ravens,2033
Smitten Swordmaster,1007
Specter's Shriek,64
"Syr Konrad, the Grim",9668
Tempting Witch,103
Wicked Guardian,39
Wishclaw Talisman,3378
Witch's Vengeance,189
Barge In,366
Bloodhaze Wolverine,13
Blow Your House Down,65
Bonecrusher Giant,571
Brimstone Trebuchet,464
Burning-Yard Trainer,73
Claim the Firstborn,268
Crystal Slipper,514
Embercleave,2845
Embereth Paladin,76
Embereth Shieldbreaker,938
Ferocity of the Wilds,556
Fervent Champion,957
Fires of Invention,1061
Fling,3454
Irencrag Feat,733
Irencrag Pyromancer,828
Joust,124
Mad Ratter,333
Merchant of the Vale,694
Ogre Errant,60
Opportunistic Dragon,428
Raging Redcap,120
Redcap Melee,23
Redcap Raiders,52
Rimrock Knight,234
Robber of the Rich,472
Scorching Dragonfire,158
Searing Barrage,64
Seven Dwarves,311
Skullknocker Ogre,15
Slaying Fire,129
Sundering Stroke,309
"Syr Carah, the Bold",1119
"Torbran, Thane of Red Fell",3739
Weaselback Redcap,98
Beanstalk Giant,2553
Curious Pair,102
Edgewall Innkeeper,55
Feasting Troll King,326
Fell the Pheasant,75
Fierce Witchstalker,175
Flaxen Intruder,409
Garenbrig Carver,53
Garenbrig Paladin,58
Garenbrig Squire,10
Giant Opportunity,115
Gilded Goose,1362
The Great Henge,9085
Insatiable Appetite,41
Keeper of Fables,2054
Kenrith's Transformation,3968
Lovestruck Beast,216
Maraleaf Rider,28
Oakhame Adversary,3068
Once and Future,889
Once Upon a Time,1091
Outmuscle,299
Questing Beast,1294
Return of the Wildspeaker,8152
