names,edhrec
"Akroma, Angel of Wrath",3925
Auratog,270
Celestial Dawn,863
Consecrate Land,69
Defiant Vanguard,132
Disenchant,7532
Enduring Renewal,312
Essence Sliver,1308
Honorable Passage,41
Icatian Javelineers,33
Moorish Cavalry,12
Resurrection,757
Sacred Mesa,980
Soltari Priest,152
Squire,12
Valor,267
Witch Hunter,89
Zhalfirin Commander,48
Dandân,35
Flying Men,435
Ghost Ship,60
Giant Oyster,110
Leviathan,50
Lord of Atlantis,1644
Merfolk Assassin,22
Mistform Ultimus,181
Ovinomancer,328
Pirate Ship,146
Prodigal Sorcerer,474
Psionic Blast,133
Sindbad,26
Stormscape Familiar,644
Unstable Mutation,91
Voidmage Prodigy,1586
Whispers of the Muse,724
Willbender,2960
Avatar of Woe,4751
Bad Moon,1221
Conspiracy,2290
Darkness,697
Dauthi Slayer,107
Evil Eye of Orms-by-Gore,22
Faceless Butcher,609
Funeral Charm,135
Sengir Autocrat,2213
Shadow Guildmage,17
Soul Collector,250
Stupor,66
Swamp Mosquito,135
Twisted Abomination,644
Uncle Istvan,59
Undead Warchief,4348
Undertaker,341
Withered Wretch,1249
Avalanche Riders,1029
Browbeat,1447
Desolation Giant,461
Disintegrate,324
Dragon Whelp,224
Dragonstorm,1084
Eron the Relentless,26
Fiery Temper,1911
Fire Whip,80
Goblin Snowman,121
Kobold Taskmaster,19
Orcish Librarian,59
Orgg,5
Pandemonium,881
Suq'Ata Lancer,17
Tribal Flames,42
Uthden Troll,15
Wildfire Emissary,7
Avoid Fate,486
Call of the Herd,206
Cockatrice,48
Craw Giant,24
Gaea's Blessing,2546
Gaea's Liege,70
Hail Storm,17
Hunting Moa,51
"Jolrael, Empress of Beasts",495
Krosan Cloudscraper,213
Scragnoth,22
Spike Feeder,972
Spitting Slug,1
Thallid,1196
Thornscape Battlemage,42
Verdeloth the Ancient,2276
Wall of Roots,4006
Whirling Dervish,24
Coalition Victory,0
Fiery Justice,128
Jasmine Boreal,14
Lightning Angel,144
Merieke Ri Berit,357
Mystic Enforcer,35
Mystic Snake,7411
Nicol Bolas,1644
Shadowmage Infiltrator,2780
Sol'kanar the Swamp King,53
Spined Sliver,462
Stormbind,9
Teferi's Moat,591
Vhati il-Dal,902
Void,344
Assault,13
Claws of Gix,1495
Dodecapod,18
Feldon's Cane,1189
Grinning Totem,224
Mindless Automaton,1327
Mirari,1825
The Rack,367
Serrated Arrows,895
Tormod's Crypt,8133
War Barge,34
Arena,556
Desert,619
Gemstone Mine,2578
Pendelhaven,1998
Safe Haven,382
