names,edhrec
Amrou Scout,125
Amrou Seekers,89
Angel's Grace,3166
Benalish Cavalry,60
Castle Raptors,9
Cavalry Master,70
Celestial Crusader,794
Children of Korlis,1236
Chronosavant,36
Cloudchaser Kestrel,437
D'Avenant Healer,35
Detainment Spell,180
Errant Doomsayers,31
Evangelize,118
Flickering Spirit,10
Foriysian Interceptor,60
Fortify,59
Gaze of Justice,142
Griffin Guide,153
Gustcloak Cavalier,70
Icatian Crier,69
Jedit's Dragoons,17
Knight of the Holy Nimbus,271
Magus of the Disk,830
Mangara of Corondor,1888
Momentary Blink,2877
Opal Guardian,20
Outrider en-Kor,163
Pentarch Paladin,638
Pentarch Ward,1029
Plated Pegasus,23
Pull from Eternity,881
Pulmonic Sliver,1513
Quilled Sliver,331
Return to Dust,29029
Serra Avenger,502
Sidewinder Sliver,670
Spirit Loop,850
Temporal Isolation,267
Tivadar of Thorn,73
Watcher Sliver,286
Weathered Bodyguards,85
Zealot il-Vec,111
Bewilder,15
Brine Elemental,1808
Cancel,7350
Careful Consideration,956
Clockspinning,1174
Coral Trickster,144
Crookclaw Transmuter,75
Draining Whelk,1623
Dream Stalker,1509
Drifter il-Dal,37
Eternity Snare,17
Fathom Seer,474
Fledgling Mawcor,160
Fool's Demise,702
Ixidron,3588
Looter il-Kor,2185
Magus of the Jar,1049
Moonlace,10
Mystical Teachings,1588
Ophidian Eye,2830
Paradox Haze,3641
Psionic Sliver,491
Sage of Epityr,672
Screeching Sliver,357
Shadow Sliver,1012
Slipstream Serpent,18
Snapback,299
Spell Burst,772
Spiketail Drakeling,98
Sprite Noble,755
Stormcloud Djinn,4
"Teferi, Mage of Zhalfir",7352
Telekinetic Sliver,887
Temporal Eddy,14
Think Twice,3459
Tolarian Sentinel,18
Trickbind,1755
Truth or Tale,157
Vesuvan Shapeshifter,3422
Voidmage Husher,1091
Walk the Aeons,2785
Wipe Away,619
Assassinate,224
Basal Sliver,1286
Call to the Netherworld,2634
Cyclopean Giant,16
Dark Withering,2125
Deathspore Thallid,1864
Demonic Collusion,1054
Dread Return,10602
Drudge Reavers,28
"Endrek Sahr, Master Breeder",5963
Evil Eye of Urborg,21
Faceless Devourer,21
Fallen Ideal,822
Feebleness,6
Gorgon Recluse,1502
Haunting Hymn,31
Liege of the Pit,59
Lim-Dûl the Necromancer,427
Magus of the Mirror,852
Mana Skimmer,5
Mindlash Sliver,237
Nether Traitor,2862
Nightshade Assassin,1423
Pit Keeper,365
Plague Sliver,17
Premature Burial,3
Psychotic Episode,762
Sangrophage,22
Sengir Nosferatu,91
Skittering Monstrosity,2
Skulking Knight,14
Smallpox,1546
Strangling Soot,6
Stronghold Overseer,191
Sudden Death,465
Sudden Spoiling,7287
Tendrils of Corruption,1954
Traitor's Clutch,45
Trespasser il-Vec,35
Urborg Syphon-Mage,106
Vampiric Sliver,273
Viscid Lemures,3
Aetherflame Wall,58
Ancient Grudge,991
Barbed Shocker,362
Basalt Gargoyle,6
Blazing Blade Askari,11
Bogardan Hellkite,3470
Bogardan Rager,15
Bonesplitter Sliver,979
Coal Stoker,61
Conflagrate,317
Empty the Warrens,4146
Firemaw Kavu,47
Flamecore Elemental,2
Flowstone Channeler,2
Fortune Thief,573
Fury Sliver,1176
Ghitu Firebreathing,136
Goblin Skycutter,18
Grapeshot,3533
Ground Rift,41
"Ib Halfheart, Goblin Tactician",1051
Ignite Memories,1023
Ironclaw Buzzardiers,4
"Jaya Ballard, Task Mage",839
Lightning Axe,540
Magus of the Scroll,28
Mogg War Marshal,4650
Norin the Wary,713
Orcish Cannonade,46
