names,edhrec
Angel of Retribution,48
Aven Trooper,13
Cleansing Meditation,831
Equal Treatment,49
Floating Shield,60
Frantic Purification,39
Hypochondria,8
Major Teroh,198
Militant Monk,5
Morningtide,52
Mystic Familiar,46
Pay No Heed,69
Possessed Nomad,9
Reborn Hero,12
Spirit Flare,6
Stern Judge,52
Strength of Isolation,57
Teroh's Faithful,8
Teroh's Vanguard,3
Transcendence,312
Vengeful Dreams,37
Alter Reality,234
Ambassador Laquatus,268
Aquamoeba,63
Balshan Collaborator,3
Breakthrough,487
Cephalid Aristocrat,70
Cephalid Illusionist,767
Cephalid Sage,91
Cephalid Snitch,37
Cephalid Vandal,75
Churning Eddy,21
Circular Logic,561
Compulsion,387
Coral Net,9
Deep Analysis,5792
False Memories,5
Ghostly Wings,127
Hydromorph Guardian,41
Hydromorph Gull,44
Liquify,13
"Llawan, Cephalid Empress",286
Obsessive Search,609
Plagiarize,128
Possessed Aven,8
Retraced Image,173
Skywing Aven,72
Stupefying Touch,214
Turbulent Dreams,287
Boneshard Slasher,5
Cabal Ritual,7700
Cabal Surgeon,18
Cabal Torturer,19
Carrion Rats,74
Carrion Wurm,11
"Chainer, Dementia Master",1813
Chainer's Edict,577
Crippling Fatigue,11
Dawn of the Dead,545
Faceless Butcher,609
Gloomdrifter,48
Gravegouger,14
Grotesque Hybrid,35
Hypnox,158
Ichorid,111
Insidious Dreams,1712
Laquatus's Champion,42
Last Laugh,311
Mesmeric Fiend,528
Mind Sludge,260
Mortal Combat,579
Mortiphobia,15
Mutilate,7147
Nantuko Shade,204
Organ Grinder,15
Psychotic Haze,601
Putrid Imp,1445
Rancid Earth,116
Restless Dreams,371
Sengir Vampire,277
Shade's Form,413
Shambling Swarm,199
Sickening Dreams,628
Slithery Stalker,17
Soul Scourge,6
Strength of Lunacy,647
Unhinge,11
Waste Away,5
Zombie Trailblazer,422
Accelerate,1522
Balthor the Stout,74
Barbarian Outcast,3
Crackling Club,25
Crazed Firecat,325
Devastating Dreams,129
Enslaved Dwarf,8
Fiery Temper,1911
Flaming Gambit,24
Flash of Defiance,10
Grim Lavamancer,447
Hell-Bent Raider,24
Kamahl's Sledge,5
Longhorn Firebeast,9
Overmaster,545
Pardic Arsonist,24
Pardic Collaborator,2
Pardic Lancer,15
Petradon,22
Petravark,31
Pitchstone Wall,40
Possessed Barbarian,4
Pyromania,15
Radiate,705
Skullscorch,28
Sonic Seizure,20
Temporary Insanity,82
Violent Eruption,1284
Acorn Harvest,172
Anurid Scavenger,47
Arrogant Wurm,54
Basking Rootwalla,119
Centaur Chieftain,44
Centaur Veteran,3
Dwell on the Past,31
Far Wanderings,6242
Gurzigost,53
Insist,168
Invigorating Falls,31
Krosan Constrictor,35
Krosan Restorer,1721
Nantuko Blightcutter,36
Nantuko Calmer,17
Nantuko Cultivator,345
Narcissism,17
Nostalgic Dreams,691
Parallel Evolution,513
Possessed Centaur,12
Seton's Scout,27
Cabal Coffers,23922
Tainted Field,11517
Tainted Isle,7186
Tainted Peak,5144
Tainted Wood,11741
