names,edhrec
Blaze of Glory,18
Consecrate Land,69
Ancestral Recall,5
Invisibility,315
Psionic Blast,133
Time Walk,2
Timetwister,3938
Twiddle,192
Lich,136
Sinkhole,346
Word of Command,79
Dwarven Demolition Team,25
False Orders,32
Ironclaw Orcs,8
Raging River,99
Two-Headed Giant of Foriys,3
Berserk,2343
Camouflage,22
Ice Storm,63
Natural Selection,13
Black Lotus,1
Copper Tablet,45
Cyclopean Tomb,14
Forcefield,323
Gauntlet of Might,776
Icy Manipulator,1089
Illusionary Mask,25
Jade Statue,15
Mox Emerald,1
Mox Jet,1
Mox Pearl,0
Mox Ruby,0
Mox Sapphire,1
Time Vault,1
