names,edhrec
Academy Rector,4266
Archery Training,60
Capashen Knight,66
Capashen Standard,134
Capashen Templar,1
False Prophet,639
Fend Off,15
Field Surgeon,51
Flicker,305
Jasmine Seer,5
Mask of Law and Grace,187
Master Healer,25
Opalescence,1116
Reliquary Monk,173
Replenish,3829
Sanctimony,28
Scent of Jasmine,19
Serra Advocate,47
Solidarity,527
Tethered Griffin,29
Tormented Angel,14
Voice of Duty,23
Voice of Reason,26
Wall of Glare,1153
Aura Thief,1249
Blizzard Elemental,10
Brine Seer,94
Bubbling Beebles,11
Disappear,24
Donate,347
Fatigue,10
Fledgling Osprey,4
Illuminated Wings,9
Iridescent Drake,84
Kingfisher,9
Mental Discipline,55
Metathran Elite,17
Metathran Soldier,105
Opposition,1357
Private Research,67
"Rayne, Academy Chancellor",369
Rescue,405
Scent of Brine,50
Sigil of Sleep,716
Telepathic Spies,35
Temporal Adept,299
Thieving Magpie,392
Treachery,2679
Apprentice Necromancer,4438
Attrition,4898
Body Snatcher,732
Bubbling Muck,3160
Carnival of Souls,457
Chime of Night,46
Disease Carriers,62
Dying Wail,18
Encroach,26
Festering Wound,62
Lurking Jackals,3
Nightshade Seer,8
Phyrexian Monitor,26
Phyrexian Negator,22
Plague Dogs,35
Rapid Decay,145
Scent of Nightshade,20
Skittering Horror,2
Slinking Skirge,11
Soul Feast,16
Squirming Mass,3
Twisted Experiment,10
Yawgmoth's Bargain,12
Aether Sting,263
Bloodshot Cyclops,544
Cinder Seer,13
Colos Yearling,21
Covetous Dragon,25
Flame Jet,53
Goblin Berserker,17
Goblin Festival,405
Goblin Gardener,229
Goblin Marshal,536
Goblin Masons,5
Hulking Ogre,5
Impatience,169
Incendiary,31
Keldon Champion,73
Keldon Vandals,68
Landslide,69
Mark of Fury,183
Reckless Abandon,98
Repercussion,2076
Scent of Cinder,15
Trumpet Blast,611
Wake of Destruction,579
Wild Colos,15
Ancient Silverback,79
Compost,888
Elvish Lookout,27
Elvish Piper,4470
Emperor Crocodile,20
Gamekeeper,550
Goliath Beetle,2
Heart Warden,803
Hunting Moa,51
Ivy Seer,6
Magnify,12
Marker Beetles,10
Momentum,30
Multani's Decree,67
Pattern of Rebirth,3194
Plated Spider,48
Plow Under,107
"Rofellos, Llanowar Emissary",4
Rofellos's Gift,84
Scent of Ivy,45
Thorn Elemental,461
Yavimaya Elder,10985
Yavimaya Enchantress,1647
Braidwood Cup,16
Braidwood Sextant,66
Brass Secretary,40
Caltrops,812
Extruder,150
Fodder Cannon,34
Junk Diver,4817
Mantis Engine,8
Masticore,99
Metalworker,3046
Powder Keg,111
Scrying Glass,10
Storage Matrix,857
Thran Dynamo,38608
Thran Foundry,162
Thran Golem,91
Urza's Incubator,10712
Yavimaya Hollow,5124
