names,edhrec
Absolute Grace,177
Absolute Law,94
Angelic Chorus,2160
Angelic Page,168
Brilliant Halo,144
Catastrophe,1339
Clear,286
Congregate,1085
Defensive Formation,78
Disciple of Law,29
Elite Archers,25
Faith Healer,247
Glorious Anthem,1597
Healing Salve,52
Herald of Serra,9
Humble,149
Intrepid Hero,1703
Monk Idealist,1560
Monk Realist,138
Opal Acrolith,23
Opal Archangel,15
Opal Caryatid,19
Opal Gargoyle,13
Opal Titan,18
Pariah,1546
Path of Peace,33
Pegasus Charger,29
Planar Birth,286
Presence of the Master,33
Redeem,5
Remembrance,657
Rune of Protection: Artifacts,69
Rune of Protection: Black,209
Rune of Protection: Blue,187
Rune of Protection: Green,211
Rune of Protection: Lands,28
Rune of Protection: Red,223
Rune of Protection: White,362
Sanctum Custodian,13
Sanctum Guardian,20
Seasoned Marshal,17
Serra Avatar,3534
Serra Zealot,24
Serra's Embrace,245
Serra's Hymn,28
Serra's Liturgy,55
Shimmering Barrier,43
Silent Attendant,8
Songstitcher,33
Soul Sculptor,51
Voice of Grace,35
Voice of Law,27
Waylay,13
Worship,1188
Academy Researchers,139
Arcane Laboratory,1771
Attunement,407
Back to Basics,4509
"Barrin, Master Wizard",428
Catalog,253
Cloak of Mists,418
Confiscate,939
Coral Merfolk,32
Curfew,197
Disruptive Student,216
Douse,162
Drifting Djinn,43
Enchantment Alteration,42
Energy Field,472
Exhaustion,212
Fog Bank,4451
Gilded Drake,6466
Great Whale,857
Hermetic Study,202
Hibernation,151
Horseshoe Crab,788
Imaginary Pet,9
Launch,69
Lilting Refrain,75
Lingering Mirage,161
Morphling,675
Pendrell Drake,44
Pendrell Flux,40
Peregrine Drake,12131
Power Sink,1014
Power Taint,25
Recantation,20
Rescind,341
Rewind,14195
Sandbar Merfolk,39
Sandbar Serpent,57
Show and Tell,1230
Somnophore,79
Spire Owl,621
Stern Proctor,390
Stroke of Genius,7267
Sunder,1075
Telepathy,2836
Time Spiral,4075
Tolarian Winds,2709
Turnabout,4138
Veil of Birds,76
Veiled Apparition,6
Veiled Crocodile,4
Veiled Sentry,24
Veiled Serpent,30
Windfall,30416
Wizard Mentor,70
Zephid,13
Zephid's Embrace,85
Abyssal Horror,39
Bereavement,26
Blood Vassal,162
Bog Raiders,20
Breach,17
Cackling Fiend,166
Carrion Beetles,34
Contamination,2178
