names,edhrec
"Karn, the Great Creator",4585
"Ugin, the Ineffable",10633
Ugin's Conjurant,528
Ajani's Pridemate,4036
Battlefield Promotion,309
Bond of Discipline,912
Bulwark Giant,67
Charmed Stray,109
Defiant Strike,2780
Enforcer Griffin,17
Finale of Glory,3479
Gideon Blackblade,1709
Gideon's Sacrifice,499
Gideon's Triumph,133
God-Eternal Oketra,5515
Grateful Apparition,1418
Ignite the Beacon,1565
Ironclad Krovod,14
Law-Rune Enforcer,153
Loxodon Sergeant,55
Makeshift Battalion,92
Martyr for the Cause,195
Parhelion II,2409
Pouncing Lynx,95
Prison Realm,1647
Rally of Wings,509
Ravnica at War,837
Rising Populace,179
Single Combat,3291
Sunblade Angel,249
"Teyo, the Shieldmage",1927
Teyo's Lightshield,45
"Tomik, Distinguished Advokist",1351
Topple the Statue,138
Trusted Pegasus,100
The Wanderer,3503
Wanderer's Strike,487
War Screecher,72
Ashiok's Skulker,29
Augur of Bolas,2151
Aven Eternal,319
Bond of Insight,1288
Callous Dismissal,443
Commence the Endgame,992
Contentious Plan,2775
Crush Dissent,243
Erratic Visionary,104
Eternal Skylord,1340
"Fblthp, the Lost",2412
Finale of Revelation,6191
Flux Channeler,4889
God-Eternal Kefnet,3629
"Jace, Wielder of Mysteries",14474
Jace's Triumph,351
"Kasmina, Enigmatic Mentor",2910
Kasmina's Transmutation,1783
Kiora's Dambreaker,215
Lazotep Plating,1954
Naga Eternal,15
"Narset, Parter of Veils",17433
Narset's Reversal,17603
No Escape,499
Relentless Advance,131
Rescuer Sphinx,231
Silent Submersible,181
Sky Theater Strix,41
Spark Double,12143
Spellkeeper Weird,222
Stealth Mission,301
Tamiyo's Epiphany,891
Teferi's Time Twist,2344
Thunder Drake,156
Totally Lost,239
Wall of Runes,1125
Aid the Fallen,694
Banehound,512
Bleeding Edge,150
Bolas's Citadel,16045
Bond of Revival,668
Charity Extractor,51
Command the Dreadhorde,4804
"Davriel, Rogue Shadowmage",1076
Davriel's Shadowfugue,97
Deliver Unto Evil,994
Dreadhorde Invasion,5764
Dreadmalkin,230
Duskmantle Operative,39
The Elderspell,2065
Eternal Taskmaster,669
Finale of Eternity,2758
God-Eternal Bontu,4838
Herald of the Dreadhorde,311
Kaya's Ghostform,5136
Lazotep Behemoth,33
Lazotep Reaver,787
"Liliana, Dreadhorde General",8982
Liliana's Triumph,1513
Massacre Girl,4565
"Ob Nixilis, the Hate-Twisted",2679
Ob Nixilis's Cruelty,628
Price of Betrayal,183
Shriekdiver,79
Sorin's Thirst,176
Spark Harvest,1305
Spark Reaper,326
Tithebearer Giant,40
Toll of the Invasion,160
Vampire Opportunist,75
Vizier of the Scorpion,1300
Vraska's Finisher,102
Ahn-Crop Invader,107
Blindblast,202
Bolt Bend,1253
Bond of Passion,105
Burning Prophet,1035
Chainwhip Cyclops,22
"Chandra, Fire Artisan",2054
Chandra's Pyrohelix,353
Chandra's Triumph,223
Cyclops Electromancer,84
Demolish,531
Devouring Hellion,130
Dreadhorde Arcanist,1310
Dreadhorde Twins,213
Finale of Promise,2654
Goblin Assailant,49
Goblin Assault Team,143
Grim Initiate,289
Heartfire,135
Honor the God-Pharaoh,549
"Ilharg, the Raze-Boar",4155
Invading Manticore,113
"Jaya, Venerated Firemage",1743
Jaya's Greeting,219
"Krenko, Tin Street Kingpin",4859
Mizzium Tank,647
Nahiri's Stoneblades,151
"Neheb, Dreadhorde Champion",4218
Raging Kronch,14
Samut's Sprint,1843
Sarkhan the Masterless,2793
Sarkhan's Catharsis,88
Spellgorger Weird,435
"Tibalt, Rakish Instigator",1593
Tibalt's Rager,80
Turret Ogre,67
Arboreal Grazer,1401
"Arlinn, Voice of the Pack",917
Arlinn's Wolf,309
Awakening of Vitu-Ghazi,890
Band Together,512
Bloom Hulk,1077
Bond of Flourishing,473
Centaur Nurturer,177
Challenger Troll,423
Courage in Crisis,1249
Evolution Sage,10918
Finale of Devastation,13239
Forced Landing,71
Giant Growth,1137
God-Eternal Rhonas,5519
"Jiang Yanggu, Wildcrafter",3520
Kraul Stinger,56
Kronch Wrangler,124
"Mowu, Loyal Companion",876
New Horizons,2726
"Nissa, Who Shakes the World",7310
Nissa's Triumph,1147
Paradise Druid,5557
Planewide Celebration,2262
Pollenbright Druid,2247
Primordial Wurm,126
Snarespinner,115
Steady Aim,169
Storm the Citadel,239
Thundering Ceratok,108
"Vivien, Champion of the Wilds",7696
Vivien's Arkbow,2216
Vivien's Grizzly,889
Wardscale Crocodile,36
"Ajani, the Greathearted",4032
Angrath's Rampage,935
Bioessence Hydra,827
Casualties of War,6675
Cruel Celebrant,6491
Deathsprout,7034
Despark,11258
"Domri, Anarch of Bolas",3989
Domri's Ambush,519
Dovin's Veto,15707
Dreadhorde Butcher,917
Elite Guardmage,1316
Enter the God-Eternals,913
"Feather, the Redeemed",902
Gleaming Overseer,1830
Heartwarming Redemption,1064
Huatli's Raptor,563
Invade the City,328
Leyline Prowler,2352
Living Twister,1349
Mayhem Devil,3513
Merfolk Skydiver,2044
Neoform,3878
"Nicol Bolas, Dragon-God",3246
Niv-Mizzet Reborn,973
Oath of Kaya,1197
Pledge of Unity,980
"Ral, Storm Conduit",5471
Ral's Outburst,232
"Roalesk, Apex Hybrid",2150
Role Reversal,1459
Rubblebelt Rioters,154
Solar Blaze,1113
"Sorin, Vengeful Bloodlord",3683
Soul Diviner,542
"Storrev, Devkarin Lich",1327
"Tamiyo, Collector of Tales",4015
"Teferi, Time Raveler",6173
Tenth District Legionnaire,1134
Time Wipe,9210
"Tolsimir, Friend to Wolves",530
Tyrant's Scorn,827
Widespread Brutality,231
"Angrath, Captain of Chaos",983
"Ashiok, Dream Render",10121
"Dovin, Hand of Control",2027
"Huatli, the Sun's Heart",1094
"Kaya, Bane of the Dead",885
"Kiora, Behemoth Beckoner",3828
"Nahiri, Storm of Stone",552
"Saheeli, Sublime Artificer",7258
"Samut, Tyrant Smasher",1013
"Vraska, Swarm's Eminence",854
Firemind Vessel,5273
God-Pharaoh's Statue,2839
Guild Globe,1049
Iron Bully,144
Mana Geode,7294
Prismite,360
Saheeli's Silverwing,48
Blast Zone,7718
Emergence Zone,9668
Gateway Plaza,9098
Interplanar Beacon,2645
Karn's Bastion,13620
Mobilized District,729
"Gideon, the Oathsworn",269
Desperate Lunge,69
Gideon's Battle Cry,110
Gideon's Company,293
Orzhov Guildgate,15482
"Jace, Arcane Strategist",390
Guildpact Informant,549
Jace's Projection,282
Jace's Ruse,66
Simic Guildgate,16420
"Tezzeret, Master of the Bridge",2818
