names,edhrec
Abeyance,356
Alabaster Dragon,45
Alms,6
Angelic Renewal,1337
Ardent Militia,4
Argivian Find,709
Aura of Silence,12437
Benalish Infantry,28
Benalish Knight,119
Benalish Missionary,26
Debt of Loyalty,297
Duskrider Falcon,62
Empyrial Armor,846
Foriysian Brigade,0
Gerrard's Wisdom,13
Heavy Ballista,10
Inner Sanctum,54
Kithkin Armor,118
Master of Arms,5
Mistmoon Griffin,73
Peacekeeper,798
Revered Unicorn,7
Serenity,63
Serra's Blessing,518
Soul Shepherd,7
Southern Paladin,101
Tariff,91
Volunteer Reserves,8
Abduction,218
Abjure,1110
Ancestral Knowledge,310
Apathy,39
Argivian Restoration,469
Avizoa,13
Cloud Djinn,5
Ertai's Familiar,9
Flux,904
Fog Elemental,8
Mana Chains,45
Manta Ray,16
Merfolk Traders,70
Noble Benefactor,692
Ophidian,201
Paradigm Shift,109
Pendrell Mists,728
Phantom Warrior,272
Psychic Vortex,63
Relearn,468
Sage Owl,1163
Teferi's Veil,610
Tolarian Drake,7
Tolarian Entrancer,49
Tolarian Serpent,14
Vodalian Illusionist,352
Abyssal Gatekeeper,911
Agonizing Memories,20
Barrow Ghoul,15
Bone Dancer,141
Circling Vultures,32
Coils of the Medusa,16
Doomsday,3111
Fatal Blow,63
Festering Evil,86
Fledgling Djinn,5
Gallowbraid,26
Haunting Misery,23
Hidden Horror,30
Infernal Tribute,297
Mischievous Poltergeist,201
Morinfen,22
Necratog,102
Odylic Wraith,18
Razortooth Rats,90
Shadow Rider,11
Shattered Crypt,42
Spinning Darkness,39
Strands of Night,767
Tendrils of Despair,32
Urborg Justice,124
Urborg Stalker,12
Wave of Terror,22
Zombie Scavengers,4
Aether Flash,882
Betrothed of Fire,245
Bloodrock Cyclops,12
Bogardan Firefiend,23
Boiling Blood,591
Cinder Giant,151
Cinder Wall,24
Cone of Flame,99
Desperate Gambit,517
Dwarven Berserker,62
Dwarven Thaumaturgist,85
Fervor,6322
Fire Whip,80
Firestorm,582
Fit of Rage,100
Goblin Bomb,666
Goblin Grenadiers,67
Goblin Vandal,140
Heart of Bogardan,16
Heat Stroke,214
Hurloon Shaman,82
Lava Hounds,9
Lava Storm,13
Maraxus of Keld,34
Orcish Settlers,346
Roc Hatchling,6
Sawtooth Ogre,7
Thunderbolt,166
Thundermare,332
Aboroth,70
Arctic Wolves,31
Barishi,84
Blossoming Wreath,22
Briar Shield,19
Call of the Wild,376
Choking Vines,49
Dense Foliage,213
Downdraft,16
Fallow Wurm,10
Familiar Ground,178
Fungus Elemental,22
Gaea's Blessing,2546
Harvest Wurm,33
Liege of the Hollows,169
Llanowar Behemoth,12
Llanowar Druid,432
Llanowar Sentinel,5
Mwonvuli Ooze,32
Nature's Kiss,5
Nature's Resurgence,105
Redwood Treefolk,19
Rogue Elephant,45
Striped Bears,836
Sylvan Hierophant,7
Tranquil Grove,209
Uktabi Efreet,2
Veteran Explorer,3075
Vitalize,2075
Bubble Matrix,143
Bösium Strip,93
Chimeric Sphere,11
Dingus Staff,495
Jabari's Banner,23
Jangling Automaton,13
Mana Web,1154
Mind Stone,66857
Null Rod,2295
Phyrexian Furnace,398
Serrated Biskelion,460
Steel Golem,889
Straw Golem,9
Thran Forge,62
Thran Tome,43
Touchstone,16
Well of Knowledge,221
Xanthic Statue,25
Gemstone Mine,2578
Lotus Vale,1301
Scorched Ruins,1154
Winding Canyons,2606
