names,edhrec
Admonition Angel,1231
Apex Hawks,82
Archon of Redemption,323
Battle Hurda,6
Fledgling Griffin,39
Guardian Zendikon,111
Hada Freeblade,455
Iona's Judgment,105
Join the Ranks,336
Kitesail Apprentice,90
Kor Firewalker,128
Lightkeeper of Emeria,143
Loam Lion,659
Marsh Threader,21
Marshal's Anthem,3733
Perimeter Captain,1774
Refraction Trap,17
Rest for the Weary,75
Ruin Ghost,135
Stoneforge Mystic,8116
Talus Paladin,662
Terra Eternal,874
Veteran's Reflexes,53
Aether Tradewinds,206
Calcite Snapper,39
Dispel,15056
Enclave Elite,90
Goliath Sphinx,288
Halimar Excavator,685
Horizon Drake,35
"Jace, the Mind Sculptor",8212
Jwari Shapeshifter,771
Mysteries of the Deep,84
Permafrost Trap,47
Quest for Ula's Temple,1131
Sejiri Merfolk,55
Selective Memory,136
Spell Contortion,70
Surrakar Banisher,10
"Thada Adel, Acquisitor",4184
Tideforce Elemental,609
Treasure Hunt,618
Twitch,115
Vapor Snare,59
Voyager Drake,7
Wind Zendikon,156
Abyssal Persecutor,869
Agadeem Occultist,684
"Anowon, the Ruin Sage",3411
Bloodhusk Ritualist,969
Bojuka Brigand,163
Brink of Disaster,51
Butcher of Malakir,17157
Caustic Crawler,162
Corrupted Zendikon,83
Dead Reckoning,71
Death's Shadow,353
Jagwasp Swarm,4
Kalastria Highborn,1269
Mire's Toll,99
Nemesis Trap,50
Pulse Tracker,824
Quag Vampires,452
Quest for the Nihil Stone,1078
Ruthless Cullblade,105
Scrib Nibblers,365
Shoreline Salvager,3
Smother,123
Tomb Hex,17
Urge to Feed,617
Akoum Battlesinger,343
Bazaar Trader,1280
Bull Rush,38
Chain Reaction,9054
Claws of Valakut,324
Comet Storm,12043
Cosi's Ravager,173
Crusher Zendikon,43
Cunning Sparkmage,582
Deathforge Shaman,310
Dragonmaster Outcast,5910
Goblin Roughrider,42
Grotag Thrasher,5
"Kazuul, Tyrant of the Cliffs",6219
Mordant Dragon,550
Quest for the Goblin Lord,2001
Ricochet Trap,684
Roiling Terrain,469
Rumbling Aftershocks,24
Searing Blaze,376
Skitter of Lizards,216
Slavering Nulls,37
Stone Idol Trap,55
Tuktuk Scrapper,1518
Arbor Elf,20496
Avenger of Zendikar,27990
Bestial Menace,220
Canopy Cover,1934
Explore,11162
Feral Contest,16
Gnarlid Pack,252
Grappler Spider,64
Graypelt Hunter,179
Groundswell,539
Harabaz Druid,1142
Joraga Warcaller,3451
Leatherback Baloth,189
Nature's Claim,21255
"Omnath, Locus of Mana",1863
Quest for Renewal,3691
Slingbow Trap,13
Snapping Creeper,19
Strength of the Tajuru,1351
Summit Apes,18
Terastodon,15668
Vastwood Animist,106
Vastwood Zendikon,87
Wolfbriar Elemental,3665
Novablast Wurm,545
"Wrexial, the Risen Deep",2629
Amulet of Vigor,3904
Basilisk Collar,7466
Everflowing Chalice,23513
Hammer of Ruin,75
Hedron Rover,43
Kitesail,359
Lodestone Golem,2186
Pilgrim's Eye,7076
Razor Boomerang,49
Seer's Sundial,4652
Walking Atlas,3421
Bojuka Bog,62311
Celestial Colonnade,2601
Creeping Tar Pit,3829
Dread Statuary,1105
Eye of Ugin,3636
Halimar Depths,17973
Khalni Garden,5713
Lavaclaw Reaches,2837
Quicksand,623
Raging Ravine,2714
Sejiri Steppe,865
Smoldering Spires,456
Stirring Wildwood,5600
Tectonic Edge,8719
