names,edhrec
Armament Master,77
Arrow Volley Trap,36
Bold Defense,11
Brave the Elements,2030
Caravan Hurda,9
Celestial Mantle,1755
Cliff Threader,20
Conqueror's Pledge,844
Day of Judgment,12988
Devout Lightcaster,100
Emeria Angel,3384
Felidar Sovereign,8037
"Iona, Shield of Emeria",2817
Journey to Nowhere,2174
Kabira Evangel,729
Kazandu Blademaster,475
Kor Aeronaut,28
Kor Cartographer,3908
Kor Duelist,420
Kor Hookmaster,93
Kor Outfitter,205
Kor Sanctifiers,465
Kor Skyfisher,1512
Landbind Ritual,31
Luminarch Ascension,9741
Makindi Shieldmate,80
Narrow Escape,42
Nimbus Wings,98
Noble Vestige,4
Ondu Cleric,777
Pillarfield Ox,4
Pitfall Trap,56
Quest for the Holy Relic,547
Shepherd of the Lost,92
Shieldmate's Blessing,6
Steppe Lynx,334
Sunspring Expedition,93
Windborne Charge,18
World Queller,468
Aether Figment,214
Archive Trap,762
Archmage Ascension,1789
Caller of Gales,105
Cancel,7350
Cosi's Trickster,639
Gomazoa,300
Hedron Crab,2705
Into the Roil,5971
Ior Ruin Expedition,294
Kraken Hatchling,240
Lethargy Trap,36
Living Tsunami,41
"Lorthos, the Tidemaker",1931
Lullmage Mentor,1788
Merfolk Seastalkers,32
Merfolk Wayfinder,149
Mindbreak Trap,631
Paralyzing Grasp,49
Quest for Ancient Secrets,278
Reckless Scholar,244
Rite of Replication,15641
Roil Elemental,5197
Sea Gate Loremaster,979
Seascape Aerialist,602
Shoal Serpent,37
Sky Ruin Drake,3
Spell Pierce,8918
Sphinx of Jwar Isle,986
Sphinx of Lost Truths,667
Spreading Seas,1224
Summoner's Bane,191
Tempest Owl,17
Trapfinder's Trick,13
Trapmaker's Snare,16
Umara Raptor,223
Welkin Tern,29
Whiplash Trap,261
Windrider Eel,98
Bala Ged Thief,679
Blood Seeker,2000
Blood Tribute,2626
Bloodchief Ascension,6142
Bloodghast,4434
Bog Tatters,6
Crypt Ripper,36
Desecrated Earth,31
Disfigure,221
Feast of Blood,558
Gatekeeper of Malakir,1581
Giant Scorpion,64
Grim Discovery,493
Guul Draz Specter,527
Guul Draz Vampire,366
Hagra Crocodile,18
Hagra Diabolist,899
Halo Hunter,114
Heartstabber Mosquito,45
Hideous End,247
"Kalitas, Bloodchief of Ghet",873
Malakir Bloodwitch,3754
Marsh Casualties,29
Mind Sludge,260
Mindless Null,13
Mire Blight,22
Needlebite Trap,68
Nimana Sell-Sword,80
"Ob Nixilis, the Fallen",4684
Quest for the Gravelord,469
Ravenous Trap,177
Sadistic Sacrament,1248
Sorin Markov,4566
Soul Stair Expedition,175
Surrakar Marauder,15
Vampire Hexmage,3333
Vampire Lacerator,451
Vampire Nighthawk,8800
Vampire's Bite,77
Bladetusk Boar,39
Burst Lightning,764
Chandra Ablaze,952
Demolish,532
Electropotence,303
Elemental Appeal,141
Geyser Glider,28
Goblin Bushwhacker,2261
Goblin Guide,422
Goblin Ruinblaster,795
Goblin Shortcutter,99
Goblin War Paint,258
Hellfire Mongrel,113
Hellkite Charger,7331
Highland Berserker,367
Inferno Trap,27
Kazuul Warlord,826
Lavaball Trap,165
Magma Rift,25
Mark of Mutiny,1396
Molten Ravager,11
Murasa Pyromancer,681
Obsidian Fireheart,1182
Plated Geopede,62
Punishing Fire,381
Pyromancer Ascension,40
Quest for Pure Flame,1006
Ruinous Minotaur,124
Runeflare Trap,179
Seismic Shudder,37
Shatterskull Giant,13
Slaughter Cry,41
Spire Barrage,83
Torch Slinger,129
Tuktuk Grunts,79
Unstable Footing,167
Warren Instigator,2148
Zektar Shrine Expedition,141
Baloth Cage Trap,109
Baloth Woodcrasher,1179
Beast Hunt,31
Beastmaster Ascension,17416
Cobra Trap,492
Frontier Guide,742
Gigantiform,118
Grazing Gladehart,875
Greenweaver Druid,1345
Harrow,23186
Joraga Bard,188
Khalni Heart Expedition,9162
Lotus Cobra,11432
Mold Shambler,1167
Nissa Revane,754
Nissa's Chosen,429
Oracle of Mul Daya,16516
Oran-Rief Recluse,558
Oran-Rief Survivalist,256
Predatory Urge,220
Primal Bellow,766
Quest for the Gemblades,118
Rampaging Baloths,18127
Relic Crush,766
River Boa,263
Savage Silhouette,70
Scute Mob,3256
Scythe Tiger,92
Summoning Trap,416
Tajuru Archer,295
Tanglesap,91
Terra Stomper,827
Territorial Baloth,141
Timbermaw Larva,105
Turntimber Basilisk,224
Turntimber Ranger,926
Vastwood Gorger,22
Vines of Vastwood,2749
Zendikar Farguide,9
Adventuring Gear,439
Blade of the Bloodchief,4665
Carnage Altar,827
Eldrazi Monument,8582
Eternity Vessel,1011
Expedition Map,23308
Explorer's Scope,3208
Grappling Hook,2332
Hedron Scrabbler,42
Khalni Gem,953
Spidersilk Net,1316
Stonework Puma,24
Trailblazer's Boots,5378
Trusty Machete,384
Akoum Refuge,10380
Arid Mesa,29548
Crypt of Agadeem,8125
"Emeria, the Sky Ruin",9426
Graypelt Refuge,7097
Jwar Isle Refuge,9839
Kabira Crossroads,2820
Kazandu Refuge,6716
"Magosi, the Waterveil",693
Marsh Flats,33891
Misty Rainforest,36973
"Oran-Rief, the Vastwood",13756
Piranha Marsh,1228
Scalding Tarn,30672
Sejiri Refuge,7183
Soaring Seacliff,553
Teetering Peaks,441
Turntimber Grove,296
"Valakut, the Molten Pinnacle",7079
Verdant Catacombs,33469
