names,edhrec
Aerial Assault,184
Ajani Strength of the Pride,2164
Ancestral Blade,392
Angel of Vitality,1720
Angelic Gift,946
Apostle of Purifying Light,147
Battalion Foot Soldier,3
Bishop of Wings,990
Brought Back,1870
Cavalier of Dawn,2143
Dawning Angel,87
Daybreak Chaplain,73
Devout Decree,49
Disenchant,7450
Eternal Isolation,113
Fencing Ace,501
Gauntlets of Light,228
Glaring Aegis,203
Gods Willing,4001
Griffin Protector,82
Griffin Sentinel,86
Hanged Executioner,487
Herald of the Sun,71
Inspired Charge,289
Inspiring Captain,79
Leyline of Sanctity,1867
Loxodon Lifechanter,243
Loyal Pegasus,205
Master Splicer,416
Moment of Heroism,349
Moorland Inquisitor,16
Pacifism,2342
Planar Cleansing,3731
Raise the Alarm,1385
Rule of Law,3386
Sephara Sky's Blade,3733
Soulmender,351
Squad Captain,66
Starfield Mystic,3109
Steadfast Sentry,22
Yoked Ox,95
Aether Gust,85
Agent of Treachery,5992
Air Elemental,131
Anticipate,5553
Atemsis All-Seeing,753
Befuddle,79
Bone to Ash,674
Boreal Elemental,54
Brineborn Cutthroat,365
Captivating Gyre,48
Cavalier of Gales,1531
Cerulean Drake,318
Cloudkin Seer,1385
Convolute,653
Drawn from Dreams,2273
Dungeon Geists,653
Faerie Miscreant,740
Flood of Tears,5359
Fortress Crab,73
Frilled Sea Serpent,66
Frost Lynx,302
Hard Cover,72
Leyline of Anticipation,18407
Masterful Replication,803
Metropolis Sprite,49
Moat Piranhas,29
Mu Yanling Sky Dancer,596
Negate,42908
Octoprophet,167
Portal of Sanctuary,536
Renowned Weaponsmith,509
Sage's Row Denizen,411
Scholar of the Ages,656
Sleep Paralysis,124
Spectral Sailor,2051
Tale's End,3327
Unsummon,2308
Warden of Evos Isle,1427
Winged Words,1752
Yarok's Wavecrasher,141
Zephyr Charge,76
Agonizing Syphon,83
Audacious Thief,193
Barony Vampire,33
Bladebrand,293
Blightbeetle,210
Blood Burglar,108
Blood for Bones,2413
Bloodsoaked Altar,486
Bloodthirsty Aerialist,1284
Bone Splinters,1935
Boneclad Necromancer,83
Cavalier of Night,2271
Disfigure,219
Dread Presence,3848
Duress,3984
Embodiment of Agonies,963
Epicure of Blood,1651
Fathom Fleet Cutthroat,225
Feral Abomination,73
Gorging Vulture,389
Gravedigger,2668
Gruesome Scourger,77
Knight of the Ebon Legion,2181
Legion's End,56
Leyline of the Void,3682
Mind Rot,478
Murder,10813
Noxious Grasp,59
Rotting Regisaur,802
Sanitarium Skeleton,997
Scheming Symmetry,6933
Sorcerer of the Fang,12
Sorin Imperious Bloodlord,980
Soul Salvage,640
Thought Distortion,172
Undead Servant,21
Unholy Indenture,639
Vampire of the Dire Moon,1638
Vengeful Warchief,45
Vilis Broker of Blood,7307
Yarok's Fenlurker,616
Act of Treason,2356
Cavalier of Flame,2477
Chandra Acolyte of Flame,1948
Chandra Awakened Inferno,2391
Chandra Novice Pyromancer,797
Chandra's Embercat,436
Chandra's Outrage,350
Chandra's Regulator,875
Chandra's Spitfire,672
Daggersail Aeronaut,43
Destructive Digger,61
Dragon Mage,5955
Drakuseth Maw of Flames,4631
Ember Hauler,337
Fire Elemental,79
Flame Sweep,586
Fry,136
Glint-Horn Buccaneer,3236
Goblin Bird-Grabber,19
Goblin Ringleader,2834
Goblin Smuggler,116
Infuriate,762
Keldon Raider,82
Lavakin Brawler,214
Leyline of Combustion,1122
Maniacal Rage,90
Marauding Raptor,1627
Mask of Immolation,264
Pack Mastiff,8
Rapacious Dragon,898
Reckless Air Strike,124
Reduce to Ashes,68
Repeated Reverberation,2199
Ripscale Predator,197
Scampering Scorcher,523
Scorch Spitter,203
Shock,2047
Tectonic Rift,235
Thunderkin Awakener,402
Uncaged Fury,863
Unchained Berserker,23
Barkhide Troll,120
Brightwood Tracker,55
Cavalier of Thorns,1310
Centaur Courser,33
Elvish Reclaimer,3935
Feral Invocation,136
Ferocious Pup,349
Gargos Vicious Watcher,1676
Gift of Paradise,2817
Greenwood Sentinel,128
Growth Cycle,17
Healer of the Glade,157
Howling Giant,209
Leafkin Druid,2261
Leyline of Abundance,1971
Loaming Shaman,1926
Mammoth Spider,131
Might of the Masses,726
Natural End,333
Netcaster Spider,276
Nightpack Ambusher,704
Overcome,561
Overgrowth Elemental,651
Plummet,637
