id,names,supertypes,subtypes,set,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,artist,price,is_legendary
0,Aerial Assault,Sorcery,None,Core Set 2020,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.06,FALSE
1,Ajani Strength of the Pride,Planeswalker,Ajani,Core Set 2020,Mythic Rare,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chris Rallis',12.42,TRUE
2,Ancestral Blade,Artifact,Equipment,Core Set 2020,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Scott Murphy',0.11,FALSE
3,Angel of Vitality,Creature,Angel,Core Set 2020,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johannes Voss',0.26,FALSE
4,Angelic Gift,Enchantment,Aura,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Josu Hernaiz',0.09,FALSE
5,Apostle of Purifying Light,Creature,Human Cleric,Core Set 2020,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Bastien L. Deharme',0.16,FALSE
6,Battalion Foot Soldier,Creature,Human Soldier,Core Set 2020,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Cristi Balanescu',0.07,FALSE
7,Bishop of Wings,Creature,Human Cleric,Core Set 2020,Rare,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Matt Stewart',0.68,FALSE
8,Brought Back,Instant,None,Core Set 2020,Rare,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Mitchell Malloy',0.64,FALSE
9,Cavalier of Dawn,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Daarken',2.55,FALSE
10,Dawning Angel,Creature,Angel,Core Set 2020,Common,5,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Yongjae Choi',0.06,FALSE
11,Daybreak Chaplain,Creature,Human Cleric,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Volkan Ba\xc7\xb5a',0.03,FALSE
12,Devout Decree,Sorcery,None,Core Set 2020,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.14,FALSE
13,Disenchant,Instant,None,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Victor Adame Minguez',0.1,FALSE
14,Eternal Isolation,Sorcery,None,Core Set 2020,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johan Grenier',0.07,FALSE
15,Fencing Ace,Creature,Human Soldier,Core Set 2020,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'David Rapoza',0.08,FALSE
16,Gauntlets of Light,Enchantment,Aura,Core Set 2020,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Ekaterina Burmak',0.11,FALSE
17,Glaring Aegis,Enchantment,Aura,Core Set 2020,Common,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anthony Palumbo',0.07,FALSE
18,Gods Willing,Instant,None,Core Set 2020,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Mark Winters',0.18,FALSE
19,Griffin Protector,Creature,Griffin,Core Set 2020,Common,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Christopher Moeller',0.05,FALSE
20,Griffin Sentinel,Creature,Griffin,Core Set 2020,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Warren Mahy',0.04,FALSE
21,Hanged Executioner,Creature,Spirit,Core Set 2020,Rare,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johann Bodin',0.35,FALSE
22,Herald of the Sun,Creature,Angel,Core Set 2020,Uncommon,6,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Micah Epstein',0.05,FALSE
23,Inspired Charge,Instant,None,Core Set 2020,Common,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Wayne Reynolds',0.04,FALSE
24,Inspiring Captain,Creature,Human Knight,Core Set 2020,Common,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Ben Maier',0.04,FALSE
25,Leyline of Sanctity,Enchantment,None,Core Set 2020,Rare,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Noah Bradley',2.43,FALSE
26,Loxodon Lifechanter,Creature,Elephant Cleric,Core Set 2020,Rare,6,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Nicholas Gregory',0.17,FALSE
27,Loyal Pegasus,Creature,Pegasus,Core Set 2020,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'John Severin Brassell',0.08,FALSE
28,Master Splicer,Creature,Human Artificer,Core Set 2020,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chippy',0.09,FALSE
29,Moment of Heroism,Instant,None,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Christopher Moeller',0.04,FALSE
30,Moorland Inquisitor,Creature,Human Soldier,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'David Palumbo',0.02,FALSE
31,Pacifism,Enchantment,Aura,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jesper Ejsing',0.08,FALSE
32,Planar Cleansing,Sorcery,None,Core Set 2020,Rare,6,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Michael Komarck',0.28,FALSE
33,Raise the Alarm,Instant,None,Core Set 2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.09,FALSE
