names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Ancestor's Chosen,Creature,Human Cleric,Tenth Edition,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.16,False
Angel of Mercy,Creature,Angel,Tenth Edition,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.18,False
Angelic Blessing,Sorcery,None,Tenth Edition,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.09,False
Angelic Chorus,Enchantment,None,Tenth Edition,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Murray',1.92,False
Angelic Wall,Creature,Wall,Tenth Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.14,False
Aura of Silence,Enchantment,None,Tenth Edition,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',4.16,False
Aven Cloudchaser,Creature,Bird Soldier,Tenth Edition,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Sweet',0.21,False
Ballista Squad,Creature,Human Rebel,Tenth Edition,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.16,False
Bandage,Instant,None,Tenth Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.26,False
Beacon of Immortality,Instant,None,Tenth Edition,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',2.24,False
Benalish Knight,Creature,Human Knight,Tenth Edition,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.13,False
Cho-Manno Revolutionary,Creature,Human Rebel,Tenth Edition,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.39,True
Condemn,Instant,None,Tenth Edition,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.29,False
Demystify,Instant,None,Tenth Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.08,False
Field Marshal,Creature,Human Soldier,Tenth Edition,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',4.22,False
Ghost Warden,Creature,Spirit,Tenth Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',0.04,False
Glorious Anthem,Enchantment,None,Tenth Edition,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',1.41,False
Hail of Arrows,Instant,None,Tenth Edition,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.11,False
Heart of Light,Enchantment,Aura,Tenth Edition,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Luca Zontini',0.08,False
High Ground,Enchantment,None,Tenth Edition,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.26,False
Holy Day,Instant,None,Tenth Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.41,False
