names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Poción de alabastro,Instant,None,Fourth Edition Foreign Black Border,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.56,False
Kitkin Amrou,Creature,Kithkin,Fourth Edition Foreign Black Border,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Quinton Hoover',0.56,False
Turba,Creature,Human,Fourth Edition Foreign Black Border,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.56,False
Animar muro,Enchantment,Aura,Fourth Edition Foreign Black Border,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.56,False
Armagedón,Sorcery,None,Fourth Edition Foreign Black Border,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',0.56,False
Equilibrio,Sorcery,None,Fourth Edition Foreign Black Border,Rare,2,White,Not Legal,Not Legal,Banned,Restrict.,Banned,True,b'Mark Poole',0.56,False
Héroe benalita,Creature,Human Soldier,Fourth Edition Foreign Black Border,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.56,False
Guarda de negro,Enchantment,Aura,Fourth Edition Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.56,False
Bendición,Enchantment,Aura,Fourth Edition Foreign Black Border,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',0.56,False
Guarda de azul,Enchantment,Aura,Fourth Edition Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.56,False
Lavado de cerebro,Enchantment,Aura,Fourth Edition Foreign Black Border,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.56,False
Castillo,Enchantment,None,Fourth Edition Foreign Black Border,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',0.56,False
Circulo de protección: Artefactos,Enchantment,None,Fourth Edition Foreign Black Border,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.56,False
Circulo de protección: Negro,Enchantment,None,Fourth Edition Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',0.56,False
Circulo de protección: Azul,Enchantment,None,Fourth Edition Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',0.56,False
Circulo de protección: Verde,Enchantment,None,Fourth Edition Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',0.56,False
Circulo de protección: Rojo,Enchantment,None,Fourth Edition Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.56,False
Circulo de protección: Blanco,Enchantment,None,Fourth Edition Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.56,False
Conversión,Enchantment,None,Fourth Edition Foreign Black Border,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',0.56,False
