names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abuna's Chant,Instant,None,Fifth Dawn,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.05,False
Armed Response,Instant,None,Fifth Dawn,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Doug Chaffee',0.08,False
Auriok Champion,Creature,Human Cleric,Fifth Dawn,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',10.64,False
Auriok Salvagers,Creature,Human Soldier,Fifth Dawn,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.26,False
Auriok Windwalker,Creature,Human Wizard,Fifth Dawn,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jeremy Jarvis',0.35,False
Beacon of Immortality,Instant,None,Fifth Dawn,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',2.58,False
Bringer of the White Dawn,Creature,Bringer,Fifth Dawn,Rare,9,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',1.4,False
Circle of Protection: Artifacts,Enchantment,None,Fifth Dawn,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.2,False
Leonin Squire,Creature,Cat Soldier,Fifth Dawn,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.14,False
Loxodon Anchorite,Creature,Elephant Cleric,Fifth Dawn,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.1,False
Loxodon Stalwart,Creature,Elephant Soldier,Fifth Dawn,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.13,False
Raksha Golden Cub,Creature,Cat Soldier,Fifth Dawn,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.56,True
Retaliate,Instant,None,Fifth Dawn,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Vance Kovacs',0.38,False
Roar of Reclamation,Sorcery,None,Fifth Dawn,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',0.48,False
Skyhunter Prowler,Creature,Cat Knight,Fifth Dawn,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Vance Kovacs',0.08,False
Skyhunter Skirmisher,Creature,Cat Knight,Fifth Dawn,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.2,False
Stand Firm,Instant,None,Fifth Dawn,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.1,False
Stasis Cocoon,Enchantment,Aura,Fifth Dawn,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.09,False
Steelshaper's Gift,Sorcery,None,Fifth Dawn,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',10.8,False
Vanquish,Instant,None,Fifth Dawn,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.08,False
Acquire,Sorcery,None,Fifth Dawn,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',2.41,False
Advanced Hoverguard,Creature,Drone,Fifth Dawn,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.03,False
Artificer's Intuition,Enchantment,None,Fifth Dawn,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',2.27,False
Beacon of Tomorrows,Sorcery,None,Fifth Dawn,Rare,8,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',3.12,False
Blinkmoth Infusion,Instant,None,Fifth Dawn,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.92,False
Bringer of the Blue Dawn,Creature,Bringer,Fifth Dawn,Rare,9,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',3.58,False
Condescend,Instant,None,Fifth Dawn,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.31,False
Disruption Aura,Enchantment,Aura,Fifth Dawn,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.08,False
Early Frost,Instant,None,Fifth Dawn,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.14,False
Eyes of the Watcher,Enchantment,None,Fifth Dawn,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.24,False
Fold into Aether,Instant,None,Fifth Dawn,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony S. Waters',0.21,False
Hoverguard Sweepers,Creature,Drone,Fifth Dawn,Rare,8,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark A. Nelson',0.22,False
Into Thin Air,Instant,None,Fifth Dawn,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ittoku',0.05,False
Plasma Elemental,Creature,Elemental,Fifth Dawn,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.09,False
Qumulox,Creature,Beast,Fifth Dawn,Uncommon,8,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.1,False
Serum Visions,Sorcery,None,Fifth Dawn,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ben Thompson',1.3,False
Spectral Shift,Instant,None,Fifth Dawn,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.33,False
Thought Courier,Creature,Human Wizard,Fifth Dawn,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',0.19,False
Trinket Mage,Creature,Human Wizard,Fifth Dawn,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark A. Nelson',0.3,False
Vedalken Mastermind,Creature,Vedalken Wizard,Fifth Dawn,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Darrell Riche',0.43,False
Beacon of Unrest,Sorcery,None,Fifth Dawn,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',1.61,False
Blind Creeper,Creature,Zombie Beast,Fifth Dawn,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.09,False
Bringer of the Black Dawn,Creature,Bringer,Fifth Dawn,Rare,9,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',4.47,False
Cackling Imp,Creature,Imp,Fifth Dawn,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Thompson',0.05,False
Desecration Elemental,Creature,Elemental,Fifth Dawn,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.19,False
Devour in Shadow,Instant,None,Fifth Dawn,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas M. Baxa',0.23,False
Dross Crocodile,Creature,Zombie Crocodile,Fifth Dawn,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,"b'Edward P. Beard, Jr.'",0.07,False
Ebon Drake,Creature,Drake,Fifth Dawn,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.12,False
Endless Whispers,Enchantment,None,Fifth Dawn,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',1.74,False
Fill with Fright,Sorcery,None,Fifth Dawn,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Luca Zontini',0.11,False
Fleshgrafter,Creature,Human Warrior,Fifth Dawn,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Murray',0.04,False
Lose Hope,Instant,None,Fifth Dawn,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.1,False
Mephidross Vampire,Creature,Vampire,Fifth Dawn,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',3.45,False
Moriok Rigger,Creature,Human Rogue Rigger,Fifth Dawn,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.26,False
Night's Whisper,Sorcery,None,Fifth Dawn,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'David Martin',2.03,False
Nim Grotesque,Creature,Zombie,Fifth Dawn,Uncommon,7,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony S. Waters',0.13,False
Plunge into Darkness,Instant,None,Fifth Dawn,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',9.42,False
Relentless Rats,Creature,Rat,Fifth Dawn,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',1.77,False
Shattered Dreams,Sorcery,None,Fifth Dawn,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.12,False
Vicious Betrayal,Sorcery,None,Fifth Dawn,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Tomas Giorello',0.18,False
Beacon of Destruction,Instant,None,Fifth Dawn,Rare,5,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.32,False
Bringer of the Red Dawn,Creature,Bringer,Fifth Dawn,Rare,9,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',1.26,False
Cosmic Larva,Creature,Beast,Fifth Dawn,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Easley',0.25,False
Feedback Bolt,Instant,None,Fifth Dawn,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.18,False
Furnace Whelp,Creature,Dragon,Fifth Dawn,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.14,False
Goblin Brawler,Creature,Goblin Warrior,Fifth Dawn,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.11,False
Granulate,Sorcery,None,Fifth Dawn,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.28,False
Ion Storm,Enchantment,None,Fifth Dawn,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.27,False
Iron-Barb Hellion,Creature,Hellion Beast,Fifth Dawn,Uncommon,6,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Doug Chaffee',0.11,False
Krark-Clan Engineers,Creature,Goblin Artificer,Fifth Dawn,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.12,False
Krark-Clan Ogre,Creature,Ogre,Fifth Dawn,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.02,False
Magma Giant,Creature,Giant,Fifth Dawn,Rare,7,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Nottsuo',0.2,False
Magma Jet,Instant,None,Fifth Dawn,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Sweet',0.21,False
Magnetic Theft,Instant,None,Fifth Dawn,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',2.51,False
