names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,reprint,artist,price
Abbey Gargoyles,Creature,Gargoyle,Fifth Edition,Uncommon,5,White,False,False,True,True,b'Christopher Rush',0.1
Akron Legionnaire,Creature,Giant Soldier,Fifth Edition,Rare,8,White,False,False,True,True,b'Mark Poole',0.21
Alabaster Potion,Instant,None,Fifth Edition,Common,3,White,False,False,True,True,b'Harold McNeill',0.13
Angry Mob,Creature,Human,Fifth Edition,Uncommon,4,White,False,False,True,True,b'Drew Tucker',0.14
Animate Wall,Enchantment,Aura,Fifth Edition,Rare,1,White,False,False,True,True,b'Richard Kane Ferguson',0.25
Arenson's Aura,Enchantment,None,Fifth Edition,Uncommon,3,White,False,False,True,True,b'D. Alexander Gregory',0.11
Armageddon,Sorcery,None,Fifth Edition,Rare,4,White,False,False,True,True,b'Jesper Myrfors',3.71
Armor of Faith,Enchantment,Aura,Fifth Edition,Common,1,White,False,False,True,True,b'Anson Maddocks',0.1
Aysen Bureaucrats,Creature,Human Advisor,Fifth Edition,Common,2,White,False,False,True,True,b'Adrian Smith',0.1
Benalish Hero,Creature,Human Soldier,Fifth Edition,Common,1,White,False,False,True,True,b'Douglas Shuler',0.13
Blessed Wine,Instant,None,Fifth Edition,Common,2,White,False,False,True,True,b'Kaja Foglio',0.09
Blinking Spirit,Creature,Spirit,Fifth Edition,Rare,4,White,True,False,True,True,b'Allen Williams',0.29
Brainwash,Enchantment,Aura,Fifth Edition,Common,1,White,False,False,True,True,b'Terese Nielsen',0.16
Caribou Range,Enchantment,Aura,Fifth Edition,Rare,4,White,False,False,True,True,b'Una Fricker',0.17
Castle,Enchantment,None,Fifth Edition,Uncommon,4,White,False,False,True,True,"b""David O'Connor""",0.23
Circle of Protection: Artifacts,Enchantment,None,Fifth Edition,Uncommon,2,White,True,False,True,True,b'Pete Venters',0.11
Circle of Protection: Black,Enchantment,None,Fifth Edition,Common,2,White,True,False,True,True,b'Gerry Grace',0.13
Circle of Protection: Blue,Enchantment,None,Fifth Edition,Common,2,White,True,False,True,True,b'Gerry Grace',0.14
Circle of Protection: Green,Enchantment,None,Fifth Edition,Common,2,White,True,False,True,True,b'Gerry Grace',0.1
Circle of Protection: Red,Enchantment,None,Fifth Edition,Common,2,White,True,False,True,True,b'Gerry Grace',0.15
Circle of Protection: White,Enchantment,None,Fifth Edition,Common,2,White,True,False,True,True,b'Gerry Grace',0.15
Crusade,Enchantment,None,Fifth Edition,Rare,2,White,False,False,True,True,b'D. Alexander Gregory',1.4
D'Avenant Archer,Creature,Human Soldier Archer,Fifth Edition,Common,3,White,False,False,True,True,b'Douglas Shuler',0.1
Death Speakers,Creature,Human Cleric,Fifth Edition,Common,1,White,False,False,True,True,b'Andrew Robinson',0.24
Death Ward,Instant,None,Fifth Edition,Common,1,White,False,False,True,True,b'Mark Poole',0.07
Disenchant,Instant,None,Fifth Edition,Common,2,White,True,True,True,True,b'Brian Sn\xc3\xb5ddy',0.16
Divine Offering,Instant,None,Fifth Edition,Common,2,White,True,False,True,True,b'Jeff A. Menges',0.14
Divine Transformation,Enchantment,Aura,Fifth Edition,Uncommon,4,White,False,False,True,True,b'N\xc3\xa9N\xc3\xa9 Thomas',0.17
Dust to Dust,Sorcery,None,Fifth Edition,Uncommon,3,White,False,False,True,True,b'Doug Keith',0.57
Eye for an Eye,Instant,None,Fifth Edition,Rare,2,White,False,False,True,True,b'Mark Poole',0.31
Greater Realm of Preservation,Enchantment,None,Fifth Edition,Uncommon,2,White,False,False,True,True,b'Steve Luke',0.22
Heal,Instant,None,Fifth Edition,Common,1,White,False,False,True,True,b'Mark Tedin',0.15
Healing Salve,Instant,None,Fifth Edition,Common,1,White,True,False,True,True,b'Zina Saunders',0.16
Hipparion,Creature,Horse,Fifth Edition,Common,2,White,False,False,True,True,b'Margaret Organ-Kean',0.15
Holy Strength,Enchantment,Aura,Fifth Edition,Common,1,White,True,False,True,True,b'Anson Maddocks',0.19
Icatian Phalanx,Creature,Human Soldier,Fifth Edition,Uncommon,5,White,False,False,True,True,b'Kaja Foglio',0.2
Icatian Scout,Creature,Human Soldier Scout,Fifth Edition,Common,1,White,False,False,True,True,b'Rob Alexander',0.18
Icatian Town,Sorcery,None,Fifth Edition,Rare,6,White,False,False,True,True,b'Tom W\xc3\xa4nerstrand',0.27
Island Sanctuary,Enchantment,None,Fifth Edition,Rare,2,White,False,False,True,True,b'Mark Poole',2.9
Ivory Guardians,Creature,Giant Cleric,Fifth Edition,Uncommon,6,White,False,False,True,True,b'Adam Rex',0.05
Justice,Enchantment,None,Fifth Edition,Uncommon,4,White,False,False,True,True,b'Ruth Thompson',0.19
Karma,Enchantment,None,Fifth Edition,Uncommon,4,White,True,False,True,True,b'Bob Eggleton',0.19
Kismet,Enchantment,None,Fifth Edition,Uncommon,4,White,False,False,True,True,b'Kaja Foglio',0.63
Kjeldoran Royal Guard,Creature,Human Soldier,Fifth Edition,Rare,5,White,True,False,True,True,b'Allen Williams',0.24
Kjeldoran Skycaptain,Creature,Human Soldier,Fifth Edition,Uncommon,5,White,False,False,True,True,b'Mark Poole',0.1
Mesa Falcon,Creature,Bird,Fifth Edition,Common,2,White,False,False,True,True,b'Mark Poole',0.09
Mesa Pegasus,Creature,Pegasus,Fifth Edition,Common,2,White,False,False,True,True,b'Melissa A. Benson',0.09
Order of the Sacred Torch,Creature,Human Knight,Fifth Edition,Rare,3,White,False,False,True,True,b'Ruth Thompson',0.4
Order of the White Shield,Creature,Human Knight,Fifth Edition,Uncommon,2,White,False,False,True,True,b'Ruth Thompson',0.14
Pearled Unicorn,Creature,Unicorn,Fifth Edition,Common,3,White,False,False,True,True,b'David A. Cherry',0.13
Personal Incarnation,Creature,Avatar Incarnation,Fifth Edition,Rare,6,White,False,False,True,True,b'Kev Walker',0.23
Pikemen,Creature,Human Soldier,Fifth Edition,Common,2,White,False,False,True,True,b'Dan Frazier',0.1
Prismatic Ward,Enchantment,Aura,Fifth Edition,Common,2,White,False,False,True,True,b'Zina Saunders',0.12
Repentant Blacksmith,Creature,Human,Fifth Edition,Common,2,White,False,False,True,True,b'Drew Tucker',0.22
Reverse Damage,Instant,None,Fifth Edition,Rare,3,White,True,False,True,True,b'Thomas Gianni',0.35
Righteousness,Instant,None,Fifth Edition,Rare,1,White,True,True,True,True,b'Mike Dringenberg',0.26
Sacred Boon,Instant,None,Fifth Edition,Uncommon,2,White,False,False,True,True,b'Mike Raabe',0.19
Samite Healer,Creature,Human Cleric,Fifth Edition,Common,2,White,True,False,True,True,b'Tom W\xc3\xa4nerstrand',0.09
Seraph,Creature,Angel,Fifth Edition,Rare,7,White,False,False,True,True,b'D. Alexander Gregory',0.8
Serra Bestiary,Enchantment,Aura,Fifth Edition,Uncommon,2,White,False,False,True,True,b'Steve Luke',0.16
Serra Paladin,Creature,Human Knight,Fifth Edition,Uncommon,4,White,False,False,True,True,b'Pete Venters',0.14
Shield Bearer,Creature,Human Soldier,Fifth Edition,Common,2,White,False,False,True,True,b'Dan Frazier',0.1
Shield Wall,Instant,None,Fifth Edition,Common,2,White,False,False,True,True,b'Scott Kirschner',0.1
Spirit Link,Enchantment,Aura,Fifth Edition,Uncommon,1,White,True,False,True,True,b'Kaja Foglio',0.27
Truce,Instant,None,Fifth Edition,Rare,3,White,False,False,True,True,b'Donato Giancola',0.43
Tundra Wolves,Creature,Wolf,Fifth Edition,Common,1,White,True,False,True,True,b'Quinton Hoover',0.13
Wall of Swords,Creature,Wall,Fifth Edition,Uncommon,4,White,True,False,True,True,b'Brian Sn\xc3\xb5ddy',0.1
White Knight,Creature,Human Knight,Fifth Edition,Uncommon,2,White,True,False,True,True,b'Daniel Gelon',0.26
Wrath of God,Sorcery,None,Fifth Edition,Rare,4,White,True,False,True,True,b'Quinton Hoover',6.68
Aether Storm,Enchantment,None,Fifth Edition,Uncommon,4,Blue,False,False,True,True,b'Mark Tedin',0.14
Air Elemental,Creature,Elemental,Fifth Edition,Uncommon,5,Blue,True,True,True,True,b'D. Alexander Gregory',0.12
