names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angelic Page,Creature,Angel Spirit,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Marc Fishman',0.2,False
Ardent Militia,Creature,Human Soldier,Seventh Edition,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.13,False
Blessed Reversal,Instant,None,Seventh Edition,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.26,False
Breath of Life,Sorcery,None,Seventh Edition,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Roger Raupp',0.31,False
Castle,Enchantment,None,Seventh Edition,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,"b'Edward P. Beard, Jr.'",0.2,False
Circle of Protection: Black,Enchantment,None,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Romanoski',0.09,False
Circle of Protection: Blue,Enchantment,None,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.08,False
Circle of Protection: Green,Enchantment,None,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.07,False
Circle of Protection: Red,Enchantment,None,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Gary Ruddell',0.19,False
Circle of Protection: White,Enchantment,None,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Darrell Riche',0.08,False
Cloudchaser Eagle,Creature,Bird,Seventh Edition,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Boyd',0.17,False
Crossbow Infantry,Creature,Human Soldier Archer,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Bernardin',0.06,False
Disenchant,Instant,None,Seventh Edition,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Andrew Goldhawk',0.16,False
Eager Cadet,Creature,Human Soldier,Seventh Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.05,False
Elite Archers,Creature,Human Soldier Archer,Seventh Edition,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.17,False
Gerrard's Wisdom,Sorcery,None,Seventh Edition,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.17,False
Glorious Anthem,Enchantment,None,Seventh Edition,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.93,False
Healing Salve,Instant,None,Seventh Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.12,False
Heavy Ballista,Creature,Human Soldier,Seventh Edition,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.12,False
Holy Strength,Enchantment,Aura,Seventh Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',0.05,False
Honor Guard,Creature,Human Soldier,Seventh Edition,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.05,False
Intrepid Hero,Creature,Human Soldier,Seventh Edition,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Ploog',0.57,False
Kjeldoran Royal Guard,Creature,Human Soldier,Seventh Edition,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.16,False
Knight Errant,Creature,Human Knight,Seventh Edition,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.13,False
Knighthood,Enchantment,None,Seventh Edition,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.32,False
Longbow Archer,Creature,Human Soldier Archer,Seventh Edition,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ray Lago',0.19,False
Master Healer,Creature,Human Cleric,Seventh Edition,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.21,False
Northern Paladin,Creature,Human Knight,Seventh Edition,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.57,False
Pacifism,Enchantment,Aura,Seventh Edition,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Eric Peterson',0.16,False
Pariah,Enchantment,Aura,Seventh Edition,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',1.23,False
Purify,Sorcery,None,Seventh Edition,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Doug Chaffee',0.25,False
Razorfoot Griffin,Creature,Griffin,Seventh Edition,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.05,False
Reprisal,Instant,None,Seventh Edition,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ciruelo',0.16,False
Reverse Damage,Instant,None,Seventh Edition,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Peterson',0.3,False
Rolling Stones,Enchantment,None,Seventh Edition,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Don Hazeltine',0.97,False
Sacred Ground,Enchantment,None,Seventh Edition,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Gary Ruddell',0.32,False
Sacred Nectar,Sorcery,None,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dana Knutson',0.13,False
Samite Healer,Creature,Human Cleric,Seventh Edition,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.1,False
