names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aerial Modification,Enchantment,Aura,Aether Revolt,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jung Park',0.09,False
Aeronaut Admiral,Creature,Human Pilot,Aether Revolt,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'E. M. Gist',0.12,False
Aether Inspector,Creature,Dwarf Artificer,Aether Revolt,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Sidharth Chaturvedi',0.06,False
Aethergeode Miner,Creature,Dwarf Scout,Aether Revolt,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.13,False
Airdrop Aeronauts,Creature,Dwarf Scout,Aether Revolt,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Opalinski',0.04,False
Alley Evasion,Instant,None,Aether Revolt,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.08,False
Audacious Infiltrator,Creature,Dwarf Rogue,Aether Revolt,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jakub Kasper',0.05,False
Bastion Enforcer,Creature,Dwarf Soldier,Aether Revolt,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.04,False
Call for Unity,Enchantment,None,Aether Revolt,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Severin Brassell',0.26,False
Caught in the Brights,Enchantment,Aura,Aether Revolt,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.07,False
Consulate Crackdown,Enchantment,None,Aether Revolt,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jonas De Ro',0.25,False
Conviction,Enchantment,Aura,Aether Revolt,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Stanko',0.08,False
Countless Gears Renegade,Creature,Dwarf Artificer,Aether Revolt,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.06,False
Dawnfeather Eagle,Creature,Bird,Aether Revolt,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.05,False
Deadeye Harpooner,Creature,Dwarf Warrior,Aether Revolt,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Pancoast',0.1,False
Decommission,Instant,None,Aether Revolt,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Josh Hass',0.09,False
Deft Dismissal,Instant,None,Aether Revolt,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Izzy',0.05,False
Exquisite Archangel,Creature,Angel,Aether Revolt,Mythic Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brad Rigney',1.58,False
Felidar Guardian,Creature,Cat Beast,Aether Revolt,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jakub Kasper',0.58,False
Ghirapur Osprey,Creature,Bird,Aether Revolt,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zezhou Chen',0.04,False
Restoration Specialist,Creature,Dwarf Artificer,Aether Revolt,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.15,False
Solemn Recruit,Creature,Dwarf Warrior,Aether Revolt,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.15,False
Sram Senior Edificer,Creature,Dwarf Advisor,Aether Revolt,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',4.47,True
Sram's Expertise,Sorcery,None,Aether Revolt,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.32,False
Thopter Arrest,Enchantment,None,Aether Revolt,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kieran Yanner',0.1,False
Aether Swooper,Creature,Vedalken Artificer,Aether Revolt,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.07,False
Aethertide Whale,Creature,Whale,Aether Revolt,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.13,False
