names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angel of Sanctions,Creature,Angel,Amonkhet,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Min Yum',0.5,False
Anointed Procession,Enchantment,None,Amonkhet,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',27.77,False
Anointer Priest,Creature,Human Cleric,Amonkhet,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Lake Hurwitz',0.13,False
Approach of the Second Sun,Sorcery,None,Amonkhet,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Noah Bradley',0.89,False
Aven Mindcensor,Creature,Bird Wizard,Amonkhet,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',1.51,False
Binding Mummy,Creature,Zombie,Amonkhet,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Shreya Shetty',0.12,False
Cartouche of Solidarity,Enchantment,Aura Cartouche,Amonkhet,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.32,False
Cast Out,Enchantment,None,Amonkhet,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.2,False
Compulsory Rest,Enchantment,Aura,Amonkhet,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.04,False
Devoted Crop-Mate,Creature,Human Warrior,Amonkhet,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.07,False
Djeru's Resolve,Instant,None,Amonkhet,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.09,False
Fan Bearer,Creature,Zombie,Amonkhet,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Palumbo',0.06,False
Forsake the Worldly,Instant,None,Amonkhet,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.27,False
Gideon of the Trials,Planeswalker,Gideon,Amonkhet,Mythic Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',13.17,True
Gideon's Intervention,Enchantment,None,Amonkhet,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.36,False
Glory-Bound Initiate,Creature,Human Warrior,Amonkhet,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.21,False
Gust Walker,Creature,Human Wizard,Amonkhet,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.04,False
Impeccable Timing,Instant,None,Amonkhet,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.04,False
