names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Akrasan Squire,Creature,Human Soldier,Shards of Alara,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.21,False
Angel's Herald,Creature,Human Cleric,Shards of Alara,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.08,False
Angelic Benediction,Enchantment,None,Shards of Alara,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Komarck',0.11,False
Angelsong,Instant,None,Shards of Alara,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sal Villagran',0.29,False
Bant Battlemage,Creature,Human Wizard,Shards of Alara,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.14,False
Battlegrace Angel,Creature,Angel,Shards of Alara,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.56,False
Cradle of Vitality,Enchantment,None,Shards of Alara,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Trevor Hairsine',1.16,False
Dispeller's Capsule,Artifact,None,Shards of Alara,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',0.1,False
Elspeth Knight-Errant,Planeswalker,Elspeth,Shards of Alara,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',10.52,True
Ethersworn Canonist,Artifact Creature,Human Cleric,Shards of Alara,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',5.99,False
Excommunicate,Sorcery,None,Shards of Alara,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.04,False
Guardians of Akrasa,Creature,Human Soldier,Shards of Alara,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.09,False
Gustrider Exuberant,Creature,Human Wizard,Shards of Alara,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.08,False
Invincible Hymn,Sorcery,None,Shards of Alara,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.51,False
Knight of the Skyward Eye,Creature,Human Knight,Shards of Alara,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.06,False
Knight of the White Orchid,Creature,Human Knight,Shards of Alara,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',5.81,False
Knight-Captain of Eos,Creature,Human Knight,Shards of Alara,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',2.78,False
Marble Chalice,Artifact,None,Shards of Alara,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.1,False
Metallurgeon,Artifact Creature,Human Artificer,Shards of Alara,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.1,False
Oblivion Ring,Enchantment,None,Shards of Alara,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',0.27,False
Ranger of Eos,Creature,Human Soldier,Shards of Alara,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',2.35,False
Resounding Silence,Instant,None,Shards of Alara,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.09,False
Rockcaster Platoon,Creature,Rhino Soldier,Shards of Alara,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.07,False
Sanctum Gargoyle,Artifact Creature,Gargoyle,Shards of Alara,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shelly Wan',0.1,False
Scourglass,Artifact,None,Shards of Alara,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',2.55,False
Sighted-Caste Sorcerer,Creature,Human Wizard,Shards of Alara,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.1,False
Sigiled Paladin,Creature,Human Knight,Shards of Alara,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.38,False
Soul's Grace,Instant,None,Shards of Alara,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.12,False
Sunseed Nurturer,Creature,Human Druid Wizard,Shards of Alara,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.09,False
Welkin Guide,Creature,Bird Cleric,Shards of Alara,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.08,False
Yoked Plowbeast,Creature,Beast,Shards of Alara,Common,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.11,False
Call to Heel,Instant,None,Shards of Alara,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.1,False
Cancel,Instant,None,Shards of Alara,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.07,False
Cathartic Adept,Creature,Human Wizard,Shards of Alara,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.15,False
Cloudheath Drake,Artifact Creature,Drake,Shards of Alara,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.04,False
Coma Veil,Enchantment,Aura,Shards of Alara,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.05,False
Courier's Capsule,Artifact,None,Shards of Alara,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Andrew Murray',0.15,False
Covenant of Minds,Sorcery,None,Shards of Alara,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Seagrave',0.2,False
Dawnray Archer,Creature,Human Archer,Shards of Alara,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Dos Santos',0.1,False
Esper Battlemage,Artifact Creature,Human Wizard,Shards of Alara,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.13,False
Etherium Astrolabe,Artifact,None,Shards of Alara,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Bruinsma',0.12,False
Etherium Sculptor,Artifact Creature,Vedalken Artificer,Shards of Alara,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.31,False
Fatestitcher,Creature,Zombie Wizard,Shards of Alara,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'E. M. Gist',1.91,False
Filigree Sages,Artifact Creature,Vedalken Wizard,Shards of Alara,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.77,False
Gather Specimens,Instant,None,Shards of Alara,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Bruinsma',0.65,False
Jhessian Lookout,Creature,Human Scout,Shards of Alara,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.05,False
Kathari Screecher,Creature,Bird Soldier,Shards of Alara,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.05,False
Kederekt Leviathan,Creature,Leviathan,Shards of Alara,Rare,8,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Hyzer',4.51,False
Master of Etherium,Artifact Creature,Vedalken Wizard,Shards of Alara,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',2.85,False
Memory Erosion,Enchantment,None,Shards of Alara,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',1.74,False
Mindlock Orb,Artifact,None,Shards of Alara,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.46,False
Outrider of Jhess,Creature,Human Knight,Shards of Alara,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.08,False
Protomatter Powder,Artifact,None,Shards of Alara,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Francis Tsai',0.12,False
Resounding Wave,Instant,None,Shards of Alara,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.17,False
Sharding Sphinx,Artifact Creature,Sphinx,Shards of Alara,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Bruinsma',0.4,False
Skill Borrower,Artifact Creature,Human Wizard,Shards of Alara,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Shelly Wan',0.41,False
Spell Snip,Instant,None,Shards of Alara,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',0.1,False
Sphinx's Herald,Artifact Creature,Vedalken Wizard,Shards of Alara,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.13,False
Steelclad Serpent,Artifact Creature,Serpent,Shards of Alara,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.09,False
Tezzeret the Seeker,Planeswalker,Tezzeret,Shards of Alara,Mythic Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Francisco',15.41,True
Tortoise Formation,Instant,None,Shards of Alara,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.05,False
Vectis Silencers,Artifact Creature,Human Rogue,Shards of Alara,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.07,False
Ad Nauseam,Instant,None,Shards of Alara,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',27.92,False
Archdemon of Unx,Creature,Demon,Shards of Alara,Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Allsop',0.21,False
Banewasp Affliction,Enchantment,Aura,Shards of Alara,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Allsop',0.07,False
Blister Beetle,Creature,Insect,Shards of Alara,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.05,False
Bone Splinters,Sorcery,None,Shards of Alara,Common,1,Black,Legal,Legal,Legal,Legal,Legal,True,b'Cole Eastburn',0.09,False
Corpse Connoisseur,Creature,Zombie Wizard,Shards of Alara,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Hyzer',0.44,False
Cunning Lethemancer,Creature,Human Wizard,Shards of Alara,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Paul Bonner',0.62,False
Death Baron,Creature,Zombie Wizard,Shards of Alara,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',3.23,False
Deathgreeter,Creature,Human Shaman,Shards of Alara,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dominick Domingo',0.51,False
Demon's Herald,Creature,Human Wizard,Shards of Alara,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.1,False
Dreg Reaver,Creature,Zombie Beast,Shards of Alara,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',0.08,False
Dregscape Zombie,Creature,Zombie,Shards of Alara,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.09,False
Executioner's Capsule,Artifact,None,Shards of Alara,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.25,False
Fleshbag Marauder,Creature,Zombie Warrior,Shards of Alara,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.34,False
Glaze Fiend,Artifact Creature,Illusion,Shards of Alara,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Joshua Hagler',0.12,False
Grixis Battlemage,Creature,Human Wizard,Shards of Alara,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',0.1,False
Immortal Coil,Artifact,None,Shards of Alara,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.31,False
Infest,Sorcery,None,Shards of Alara,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.11,False
Onyx Goblet,Artifact,None,Shards of Alara,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.09,False
Puppet Conjurer,Artifact Creature,Human Wizard,Shards of Alara,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.11,False
Resounding Scream,Sorcery,None,Shards of Alara,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',0.06,False
Salvage Titan,Artifact Creature,Golem,Shards of Alara,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Francisco',0.4,False
Scavenger Drake,Creature,Drake,Shards of Alara,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Trevor Claxton',0.11,False
Shadowfeed,Instant,None,Shards of Alara,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',0.09,False
Shore Snapper,Creature,Beast,Shards of Alara,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',0.07,False
Skeletal Kathari,Creature,Bird Skeleton,Shards of Alara,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.13,False
Tar Fiend,Creature,Elemental,Shards of Alara,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.26,False
Undead Leotau,Creature,Zombie Cat,Shards of Alara,Common,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.08,False
