names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Exile,Instant,None,Alliances,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',0.76,False
Inheritance,Enchantment,None,Alliances,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',0.35,False
Ivory Gargoyle,Creature,Gargoyle,Alliances,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Quinton Hoover',0.48,False
Juniper Order Advocate,Creature,Human Knight,Alliances,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.13,False
Kjeldoran Home Guard,Creature,Human Soldier,Alliances,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Andi Rusu',0.14,False
Royal Decree,Enchantment,None,Alliances,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.5,False
Scars of the Veteran,Instant,None,Alliances,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.14,False
Seasoned Tactician,Creature,Human Advisor,Alliances,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.1,False
Sustaining Spirit,Creature,Angel Spirit,Alliances,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.91,False
Sworn Defender,Creature,Human Knight,Alliances,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.49,False
Unlikely Alliance,Enchantment,None,Alliances,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Phil Foglio',0.18,False
Browse,Enchantment,None,Alliances,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Phil Foglio',0.18,False
Diminishing Returns,Sorcery,None,Alliances,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Allen Williams',0.42,False
Force of Will,Instant,None,Alliances,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',102.8,False
Library of Lat-Nam,Sorcery,None,Alliances,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Rabinowitz',0.26,False
