names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angelfire Crusader,Creature,Human Soldier Knight,Apocalypse,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.08,False
Coalition Flag,Enchantment,Aura,Apocalypse,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',0.18,False
Coalition Honor Guard,Creature,Human Flagbearer,Apocalypse,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Peterson',0.1,False
Dega Disciple,Creature,Human Wizard,Apocalypse,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.05,False
Dega Sanctuary,Enchantment,None,Apocalypse,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.17,False
Degavolver,Creature,Volver,Apocalypse,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.18,False
Diversionary Tactics,Enchantment,None,Apocalypse,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jerry Tiritilli',0.16,False
Divine Light,Sorcery,None,Apocalypse,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.1,False
Enlistment Officer,Creature,Human Soldier,Apocalypse,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.23,False
False Dawn,Sorcery,None,Apocalypse,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.32,False
Gerrard Capashen,Creature,Human Soldier,Apocalypse,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Brom',0.3,True
Haunted Angel,Creature,Angel,Apocalypse,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Arnie Swekel',0.14,False
Helionaut,Creature,Human Soldier,Apocalypse,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Franz Vohwinkel',0.07,False
Manacles of Decay,Enchantment,Aura,Apocalypse,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gary Ruddell',0.06,False
Orim's Thunder,Instant,None,Apocalypse,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.18,False
Shield of Duty and Reason,Enchantment,Aura,Apocalypse,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony S. Waters',0.18,False
