names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Ardent Plea,Enchantment,None,Alara Reborn,Uncommon,3,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.58,False
Aven Mimeomancer,Creature,Bird Wizard,Alara Reborn,Rare,3,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Jesper Ejsing',0.7,False
Ethercaste Knight,Artifact Creature,Human Knight,Alara Reborn,Common,2,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.13,False
Ethersworn Shieldmage,Artifact Creature,Vedalken Wizard,Alara Reborn,Common,3,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.11,False
Fieldmist Borderpost,Artifact,None,Alara Reborn,Common,3,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Bruinsma',0.25,False
Filigree Angel,Artifact Creature,Angel,Alara Reborn,Rare,8,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Whitters',0.3,False
Glassdust Hulk,Artifact Creature,Golem,Alara Reborn,Common,5,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',0.1,False
Meddling Mage,Creature,Human Wizard,Alara Reborn,Rare,2,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',7.02,False
Offering to Asha,Instant,None,Alara Reborn,Common,4,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Daarken',0.08,False
Sanctum Plowbeast,Artifact Creature,Beast,Alara Reborn,Common,6,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Francisco',0.18,False
Shield of the Righteous,Artifact,Equipment,Alara Reborn,Uncommon,2,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.16,False
Sovereigns of Lost Alara,Creature,Spirit,Alara Reborn,Rare,6,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.66,False
Stormcaller's Boon,Enchantment,None,Alara Reborn,Common,4,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Kitkouski',0.08,False
Talon Trooper,Creature,Bird Scout,Alara Reborn,Common,3,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.08,False
Unbender Tine,Artifact,None,Alara Reborn,Uncommon,4,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.21,False
Wall of Denial,Creature,Wall,Alara Reborn,Uncommon,3,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',1.27,False
Architects of Will,Artifact Creature,Human Wizard,Alara Reborn,Common,4,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.3,False
Brainbite,Sorcery,None,Alara Reborn,Common,4,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Hyzer',0.07,False
Deny Reality,Sorcery,None,Alara Reborn,Common,5,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Jean-S\xc3\xa9bastien Rossbach',0.12,False
Etherium Abomination,Artifact Creature,Horror,Alara Reborn,Common,5,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Mitch Cotie',0.1,False
Illusory Demon,Creature,Demon Illusion,Alara Reborn,Uncommon,3,Gold,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.16,False
Jhessian Zombies,Creature,Zombie,Alara Reborn,Common,6,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Ash Wood',0.16,False
Kathari Remnant,Creature,Bird Skeleton,Alara Reborn,Uncommon,4,Gold,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.11,False
