names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abu Ja'far,Creature,Human,Arabian Nights,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,"b'Ken Meyer, Jr.'",17.38,False
Army of Allah,Instant,None,Arabian Nights,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',10.06,False
Camel,Creature,Camel,Arabian Nights,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Sandra Everingham',2.56,False
Eye for an Eye,Instant,None,Arabian Nights,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',12.06,False
Jihad,Enchantment,None,Arabian Nights,Rare,3,White,Not Legal,Not Legal,Banned,Banned,Banned,False,b'Brian Sn\xc3\xb5ddy',12.06,False
King Suleiman,Creature,Human Noble,Arabian Nights,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Poole',101.13,False
Moorish Cavalry,Creature,Human Knight,Arabian Nights,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',3.24,False
Piety,Instant,None,Arabian Nights,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',1.88,False
Repentant Blacksmith,Creature,Human,Arabian Nights,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',21.25,False
Shahrazad,Sorcery,None,Arabian Nights,Rare,2,White,Not Legal,Not Legal,Banned,Banned,Banned,False,b'Kaja Foglio',308.17,False
War Elephant,Creature,Elephant,Arabian Nights,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kristen Bishop',2.65,False
Dandân,Creature,Fish,Arabian Nights,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',2.55,False
Fishliver Oil,Enchantment,Aura,Arabian Nights,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',2.21,False
Flying Men,Creature,Human,Arabian Nights,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',9.01,False
Giant Tortoise,Creature,Turtle,Arabian Nights,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',2.58,False
Island Fish Jasconius,Creature,Fish,Arabian Nights,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',18.19,False
Merchant Ship,Creature,Human,Arabian Nights,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tom W\xc3\xa4nerstrand',16.78,False
Old Man of the Sea,Creature,Djinn,Arabian Nights,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',125.42,False
Serendib Djinn,Creature,Djinn,Arabian Nights,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',112.76,False
Serendib Efreet,Creature,Efreet,Arabian Nights,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',454.99,False
Sindbad,Creature,Human,Arabian Nights,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',16.36,False
Unstable Mutation,Enchantment,Aura,Arabian Nights,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',3.75,False
Cuombajj Witches,Creature,Human Wizard,Arabian Nights,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',5.04,False
El-Hajjâj,Creature,Human Wizard,Arabian Nights,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',22.12,False
Erg Raiders,Creature,Human Warrior,Arabian Nights,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',3.36,False
Guardian Beast,Creature,Beast,Arabian Nights,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,"b'Ken Meyer, Jr.'",404.1,False
Hasran Ogress,Creature,Ogre,Arabian Nights,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',2.17,False
Junún Efreet,Creature,Efreet,Arabian Nights,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',35.06,False
Juzám Djinn,Creature,Djinn,Arabian Nights,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',1299.99,False
Khabál Ghoul,Creature,Zombie,Arabian Nights,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',77.13,False
Oubliette,Enchantment,None,Arabian Nights,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',23.65,False
Sorceress Queen,Creature,Human Wizard,Arabian Nights,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',55.13,False
Stone-Throwing Devils,Creature,Devil,Arabian Nights,Common,1,Black,Not Legal,Not Legal,Banned,Banned,Banned,False,"b'Ken Meyer, Jr.'",55.13,False
Aladdin,Creature,Human Rogue,Arabian Nights,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',35.0,False
Ali Baba,Creature,Human Rogue,Arabian Nights,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',11.27,False
Ali from Cairo,Creature,Human,Arabian Nights,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',248.0,False
Bird Maiden,Creature,Human Bird,Arabian Nights,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',3.23,False
Desert Nomads,Creature,Human Nomad,Arabian Nights,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Rush',3.09,False
Hurr Jackal,Creature,Jackal,Arabian Nights,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',2.97,False
Kird Ape,Creature,Ape,Arabian Nights,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,True,"b'Ken Meyer, Jr.'",12.39,False
Magnetic Mountain,Enchantment,None,Arabian Nights,Uncommon,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',8.13,False
Mijae Djinn,Creature,Djinn,Arabian Nights,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',32.66,False
Rukh Egg,Creature,Bird Egg,Arabian Nights,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',11.64,False
Ydwen Efreet,Creature,Efreet,Arabian Nights,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',74.5,False
Cyclone,Enchantment,None,Arabian Nights,Uncommon,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',11.79,False
Desert Twister,Sorcery,None,Arabian Nights,Uncommon,6,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',20.85,False
Drop of Honey,Enchantment,None,Arabian Nights,Rare,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',399.99,False
Erhnam Djinn,Creature,Djinn,Arabian Nights,Rare,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,"b'Ken Meyer, Jr.'",299.99,False
