names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Argivian Archaeologist,Creature,Human Artificer,Antiquities,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',57.36,False
Argivian Blacksmith,Creature,Human Artificer,Antiquities,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kerstin Kaman',0.38,False
Artifact Ward,Enchantment,Aura,Antiquities,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.35,False
Circle of Protection: Artifacts,Enchantment,None,Antiquities,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',1.91,False
Damping Field,Enchantment,None,Antiquities,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Hampton',4.13,False
Martyrs of Korlis,Creature,Human,Antiquities,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Margaret Organ-Kean',3.07,False
Reverse Polarity,Instant,None,Antiquities,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Hampton',0.26,False
Drafna's Restoration,Sorcery,None,Antiquities,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',1.99,False
Energy Flux,Enchantment,None,Antiquities,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',5.22,False
Hurkyl's Recall,Instant,None,Antiquities,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'N\xc3\xa9N\xc3\xa9 Thomas',48.35,False
Power Artifact,Enchantment,Aura,Antiquities,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',163.35,False
Reconstruction,Sorcery,None,Antiquities,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.8,False
Sage of Lat-Nam,Creature,Human Artificer,Antiquities,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.99,False
Transmute Artifact,Sorcery,None,Antiquities,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',172.42,False
Artifact Possession,Enchantment,Aura,Antiquities,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Rush',0.47,False
Gate to Phyrexia,Enchantment,None,Antiquities,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',38.03,False
Haunting Wind,Enchantment,None,Antiquities,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff A. Menges',4.95,False
Phyrexian Gremlins,Creature,Gremlin,Antiquities,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Amy Weber',0.54,False
Priest of Yawgmoth,Creature,Human Cleric,Antiquities,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Tedin',0.87,False
Xenic Poltergeist,Creature,Spirit,Antiquities,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',1.84,False
Yawgmoth Demon,Creature,Demon,Antiquities,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',10.23,False
Artifact Blast,Instant,None,Antiquities,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.72,False
Atog,Creature,Atog,Antiquities,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',1.43,False
Detonate,Sorcery,None,Antiquities,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Asplund-Faith',3.23,False
Dwarven Weaponsmith,Creature,Dwarf Artificer,Antiquities,Uncommon,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',1.01,False
Goblin Artisans,Creature,Goblin Artificer,Antiquities,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',1.63,False
Orcish Mechanics,Creature,Orc,Antiquities,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.4,False
Shatterstorm,Sorcery,None,Antiquities,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',22.93,False
Argothian Pixies,Creature,Faerie,Antiquities,Common,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',1.18,False
Argothian Treefolk,Creature,Treefolk,Antiquities,Common,5,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',0.61,False
Citanul Druid,Creature,Human Druid,Antiquities,Uncommon,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',5.06,False
Crumble,Instant,None,Antiquities,Common,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',0.97,False
Gaea's Avenger,Creature,Treefolk,Antiquities,Rare,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',22.87,False
Powerleech,Enchantment,None,Antiquities,Uncommon,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Rush',4.25,False
Titania's Song,Enchantment,None,Antiquities,Uncommon,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kerstin Kaman',2.31,False
Amulet of Kroog,Artifact,None,Antiquities,Common,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Margaret Organ-Kean',0.3,False
Armageddon Clock,Artifact,None,Antiquities,Uncommon,6,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',3.02,False
Ashnod's Altar,Artifact,None,Antiquities,Uncommon,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',15.85,False
Ashnod's Battle Gear,Artifact,None,Antiquities,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',1.8,False
Ashnod's Transmogrant,Artifact,None,Antiquities,Uncommon,1,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',1.93,False
