names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angel of Glory's Rise,Creature,Angel,Avacyn Restored,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.44,False
Angel of Jubilation,Creature,Angel,Avacyn Restored,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',4.45,False
Angel's Mercy,Instant,None,Avacyn Restored,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.1,False
Angelic Wall,Creature,Wall,Avacyn Restored,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Allen Williams',0.12,False
Archangel,Creature,Angel,Avacyn Restored,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Cynthia Sheppard',0.09,False
Avacyn Angel of Hope,Creature,Angel,Avacyn Restored,Mythic Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',53.67,True
Banishing Stroke,Instant,None,Avacyn Restored,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.14,False
Builder's Blessing,Enchantment,None,Avacyn Restored,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Stanko',0.11,False
Call to Serve,Enchantment,Aura,Avacyn Restored,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jaime Jones',0.1,False
Cathars' Crusade,Enchantment,None,Avacyn Restored,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',8.19,False
Cathedral Sanctifier,Creature,Human Cleric,Avacyn Restored,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael C. Hayes',0.11,False
Cloudshift,Instant,None,Avacyn Restored,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.17,False
Commander's Authority,Enchantment,Aura,Avacyn Restored,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Johannes Voss',0.14,False
Cursebreak,Instant,None,Avacyn Restored,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Sam Wolfe Connelly',0.1,False
Defang,Enchantment,Aura,Avacyn Restored,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.06,False
Defy Death,Sorcery,None,Avacyn Restored,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Karl Kopinski',0.22,False
Devout Chaplain,Creature,Human Cleric,Avacyn Restored,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.18,False
Divine Deflection,Instant,None,Avacyn Restored,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.2,False
Emancipation Angel,Creature,Angel,Avacyn Restored,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Chou',0.2,False
Entreat the Angels,Sorcery,None,Avacyn Restored,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',1.41,False
Farbog Explorer,Creature,Human Scout,Avacyn Restored,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Chou',0.05,False
Goldnight Commander,Creature,Human Cleric Soldier,Avacyn Restored,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',0.21,False
Goldnight Redeemer,Creature,Angel,Avacyn Restored,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.12,False
Herald of War,Creature,Angel,Avacyn Restored,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',1.96,False
Holy Justiciar,Creature,Human Cleric,Avacyn Restored,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Rapoza',0.05,False
Leap of Faith,Instant,None,Avacyn Restored,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Gabor Szikszai',0.02,False
Midnight Duelist,Creature,Human Soldier,Avacyn Restored,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Bud Cook',0.13,False
Midvast Protector,Creature,Human Wizard,Avacyn Restored,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.02,False
Moonlight Geist,Creature,Spirit,Avacyn Restored,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.02,False
Moorland Inquisitor,Creature,Human Soldier,Avacyn Restored,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'David Palumbo',0.07,False
Nearheath Pilgrim,Creature,Human Cleric,Avacyn Restored,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Erica Yang',0.09,False
Restoration Angel,Creature,Angel,Avacyn Restored,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johannes Voss',2.24,False
Riders of Gavony,Creature,Human Knight,Avacyn Restored,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.29,False
Righteous Blow,Instant,None,Avacyn Restored,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.03,False
Seraph of Dawn,Creature,Angel,Avacyn Restored,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Todd Lockwood',0.17,False
Silverblade Paladin,Creature,Human Knight,Avacyn Restored,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.53,False
Spectral Gateguards,Creature,Spirit Soldier,Avacyn Restored,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne England',0.05,False
Terminus,Sorcery,None,Avacyn Restored,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Paick',1.26,False
Thraben Valiant,Creature,Human Soldier,Avacyn Restored,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.09,False
Voice of the Provinces,Creature,Angel,Avacyn Restored,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.09,False
Zealous Strike,Instant,None,Avacyn Restored,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bud Cook',0.07,False
Alchemist's Apprentice,Creature,Human Wizard,Avacyn Restored,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.11,False
Amass the Components,Sorcery,None,Avacyn Restored,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.13,False
Arcane Melee,Enchantment,None,Avacyn Restored,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',0.31,False
Captain of the Mists,Creature,Human Wizard,Avacyn Restored,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Allen Williams',0.17,False
Crippling Chill,Instant,None,Avacyn Restored,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.09,False
Deadeye Navigator,Creature,Spirit,Avacyn Restored,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Tomasz Jedruszek',6.68,False
Devastation Tide,Sorcery,None,Avacyn Restored,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',1.45,False
Dreadwaters,Sorcery,None,Avacyn Restored,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Cliff Childs',0.06,False
Elgaud Shieldmate,Creature,Human Soldier,Avacyn Restored,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Palumbo',0.12,False
Favorable Winds,Enchantment,None,Avacyn Restored,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.28,False
Fettergeist,Creature,Spirit,Avacyn Restored,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Izzy',0.11,False
Fleeting Distraction,Instant,None,Avacyn Restored,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.07,False
Galvanic Alchemist,Creature,Human Wizard,Avacyn Restored,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Svetlin Velinov',0.09,False
Geist Snatch,Instant,None,Avacyn Restored,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.09,False
Ghostform,Sorcery,None,Avacyn Restored,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Chou',0.07,False
Ghostly Flicker,Instant,None,Avacyn Restored,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',0.62,False
Ghostly Touch,Enchantment,Aura,Avacyn Restored,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Felix',0.08,False
Gryff Vanguard,Creature,Human Knight,Avacyn Restored,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.04,False
Havengul Skaab,Creature,Zombie Horror,Avacyn Restored,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Vincent Proce',0.02,False
Infinite Reflection,Enchantment,Aura,Avacyn Restored,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.26,False
Into the Void,Sorcery,None,Avacyn Restored,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.04,False
Latch Seeker,Creature,Spirit,Avacyn Restored,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Vincent Proce',0.15,False
