names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Bane of Bala Ged,Creature,Eldrazi,Battle for Zendikar,Uncommon,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',0.55,False
Blight Herder,Creature,Eldrazi Processor,Battle for Zendikar,Rare,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.2,False
Breaker of Armies,Creature,Eldrazi,Battle for Zendikar,Uncommon,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Wright',0.27,False
Conduit of Ruin,Creature,Eldrazi,Battle for Zendikar,Rare,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',1.59,False
Deathless Behemoth,Creature,Eldrazi,Battle for Zendikar,Uncommon,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.12,False
Desolation Twin,Creature,Eldrazi,Battle for Zendikar,Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jack Wang',0.44,False
Eldrazi Devastator,Creature,Eldrazi,Battle for Zendikar,Common,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Joseph Meehan',0.18,False
Endless One,Creature,Eldrazi,Battle for Zendikar,Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.93,False
Gruesome Slaughter,Sorcery,None,Battle for Zendikar,Rare,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',0.21,False
Kozilek's Channeler,Creature,Eldrazi,Battle for Zendikar,Common,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.19,False
Oblivion Sower,Creature,Eldrazi,Battle for Zendikar,Mythic Rare,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',1.94,False
Ruin Processor,Creature,Eldrazi Processor,Battle for Zendikar,Common,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.09,False
