names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Acolyte's Reward,Instant,None,Born of the Gods,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.11,False
Akroan Phalanx,Creature,Human Soldier,Born of the Gods,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.05,False
Akroan Skyguard,Creature,Human Soldier,Born of the Gods,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Winters',0.15,False
Archetype of Courage,Enchantment Creature,Human Soldier,Born of the Gods,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Willian Murai',0.84,False
Brimaz King of Oreskos,Creature,Cat Soldier,Born of the Gods,Mythic Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Peter Mohrbacher',19.01,True
Dawn to Dusk,Sorcery,None,Born of the Gods,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Robbie Trevino',0.08,False
Eidolon of Countless Battles,Enchantment Creature,Spirit,Born of the Gods,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',1.17,False
Elite Skirmisher,Creature,Human Soldier,Born of the Gods,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Winters',0.03,False
Ephara's Radiance,Enchantment,Aura,Born of the Gods,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.05,False
Excoriate,Sorcery,None,Born of the Gods,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.03,False
Fated Retribution,Instant,None,Born of the Gods,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jonas De Ro',0.27,False
Ghostblade Eidolon,Enchantment Creature,Spirit,Born of the Gods,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.11,False
Glimpse the Sun God,Instant,None,Born of the Gods,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',0.11,False
God-Favored General,Creature,Human Soldier,Born of the Gods,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.16,False
Great Hart,Creature,Elk,Born of the Gods,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.02,False
Griffin Dreamfinder,Creature,Griffin,Born of the Gods,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Paquette',0.06,False
Hero of Iroas,Creature,Human Soldier,Born of the Gods,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Willian Murai',0.41,False
Hold at Bay,Instant,None,Born of the Gods,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',0.02,False
Loyal Pegasus,Creature,Pegasus,Born of the Gods,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'John Severin Brassell',0.09,False
