names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Day of Destiny,Enchantment,None,Betrayers of Kamigawa,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',3.9,True
Empty-Shrine Kannushi,Creature,Human Cleric,Betrayers of Kamigawa,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.13,False
Faithful Squire,Creature,Human Soldier,Betrayers of Kamigawa,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.21,False
Final Judgment,Sorcery,None,Betrayers of Kamigawa,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',3.13,False
Genju of the Fields,Enchantment,Aura,Betrayers of Kamigawa,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.29,False
Heart of Light,Enchantment,Aura,Betrayers of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Luca Zontini',0.14,False
Hokori Dust Drinker,Creature,Spirit,Betrayers of Kamigawa,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Darrell Riche',6.1,True
Hundred-Talon Strike,Instant,Arcane,Betrayers of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.1,False
Indebted Samurai,Creature,Human Samurai,Betrayers of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.45,False
Kami of False Hope,Creature,Spirit,Betrayers of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.64,False
Kami of Tattered Shoji,Creature,Spirit,Betrayers of Kamigawa,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',0.08,False
Kami of the Honored Dead,Creature,Spirit,Betrayers of Kamigawa,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.2,False
Kentaro the Smiling Cat,Creature,Human Samurai,Betrayers of Kamigawa,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',1.11,True
Kitsune Palliator,Creature,Fox Cleric,Betrayers of Kamigawa,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Dorman',0.22,False
Mending Hands,Instant,None,Betrayers of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.09,False
Moonlit Strider,Creature,Spirit,Betrayers of Kamigawa,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.09,False
Opal-Eye Konda's Yojimbo,Creature,Fox Samurai,Betrayers of Kamigawa,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',2.28,True
Oyobi Who Split the Heavens,Creature,Spirit,Betrayers of Kamigawa,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.7,True
Patron of the Kitsune,Creature,Spirit,Betrayers of Kamigawa,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ben Thompson',0.79,True
Scour,Instant,None,Betrayers of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',0.17,False
Shining Shoal,Instant,Arcane,Betrayers of Kamigawa,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ben Thompson',0.87,False
Silverstorm Samurai,Creature,Fox Samurai,Betrayers of Kamigawa,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',0.13,False
Split-Tail Miko,Creature,Fox Cleric,Betrayers of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.12,False
Takeno's Cavalry,Creature,Human Samurai Archer,Betrayers of Kamigawa,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Darrell Riche',0.1,False
Tallowisp,Creature,Spirit,Betrayers of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.72,False
Terashi's Grasp,Sorcery,Arcane,Betrayers of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.14,False
Terashi's Verdict,Instant,Arcane,Betrayers of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.1,False
Ward of Piety,Enchantment,Aura,Betrayers of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tim Hildebrandt',0.08,False
Waxmane Baku,Creature,Spirit,Betrayers of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.1,False
Yomiji Who Bars the Way,Creature,Spirit,Betrayers of Kamigawa,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Hideaki Takamura',2.34,True
Callow Jushi,Creature,Human Wizard,Betrayers of Kamigawa,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Tsutomu Kawade',0.23,False
Chisei Heart of Oceans,Creature,Spirit,Betrayers of Kamigawa,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.66,True
Disrupting Shoal,Instant,Arcane,Betrayers of Kamigawa,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',1.2,False
Floodbringer,Creature,Moonfolk Wizard,Betrayers of Kamigawa,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',0.16,False
Genju of the Falls,Enchantment,Aura,Betrayers of Kamigawa,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.15,False
Heed the Mists,Sorcery,Arcane,Betrayers of Kamigawa,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.2,False
Higure the Still Wind,Creature,Human Ninja,Betrayers of Kamigawa,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',4.98,True
Jetting Glasskite,Creature,Spirit,Betrayers of Kamigawa,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',0.09,False
Kaijin of the Vanishing Touch,Creature,Spirit,Betrayers of Kamigawa,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.24,False
