names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Blessed Breath,Instant,Arcane,Champions of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tsutomu Kawade',0.26,False
Bushi Tenderfoot,Creature,Human Soldier,Champions of Kamigawa,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.32,False
Cage of Hands,Enchantment,Aura,Champions of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.16,False
Call to Glory,Instant,None,Champions of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.21,False
Candles' Glow,Instant,Arcane,Champions of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.11,False
Cleanfall,Sorcery,Arcane,Champions of Kamigawa,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.19,False
Devoted Retainer,Creature,Human Samurai,Champions of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.19,False
Eight-and-a-Half-Tails,Creature,Fox Cleric,Champions of Kamigawa,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',1.51,True
Ethereal Haze,Instant,Arcane,Champions of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Appelhans',0.49,False
Ghostly Prison,Enchantment,None,Champions of Kamigawa,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',3.94,False
Harsh Deceiver,Creature,Spirit,Champions of Kamigawa,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.08,False
Hikari Twilight Guardian,Creature,Spirit,Champions of Kamigawa,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.27,True
Hold the Line,Instant,None,Champions of Kamigawa,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.28,False
Honden of Cleansing Fire,Enchantment,Shrine,Champions of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.69,True
Horizon Seed,Creature,Spirit,Champions of Kamigawa,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.1,False
Hundred-Talon Kami,Creature,Spirit,Champions of Kamigawa,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.1,False
Indomitable Will,Enchantment,Aura,Champions of Kamigawa,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.09,False
Innocence Kami,Creature,Spirit,Champions of Kamigawa,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.12,False
Isamaru Hound of Konda,Creature,Dog,Champions of Kamigawa,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',4.59,True
Kabuto Moth,Creature,Spirit,Champions of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tomas Giorello',0.1,False
Kami of Ancient Law,Creature,Spirit,Champions of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.1,False
Kami of Old Stone,Creature,Spirit,Champions of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',0.17,False
Kami of the Painted Road,Creature,Spirit,Champions of Kamigawa,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.11,False
Kami of the Palace Fields,Creature,Spirit,Champions of Kamigawa,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.11,False
Kitsune Blademaster,Creature,Fox Samurai,Champions of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Keith Garletts',0.16,False
Kitsune Diviner,Creature,Fox Cleric,Champions of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.14,False
Kitsune Healer,Creature,Fox Cleric,Champions of Kamigawa,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',0.15,False
Kitsune Mystic,Creature,Fox Wizard,Champions of Kamigawa,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Murray',0.44,False
Kitsune Riftwalker,Creature,Fox Wizard,Champions of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.1,False
Konda Lord of Eiganjo,Creature,Human Samurai,Champions of Kamigawa,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Bolton',2.28,True
Konda's Hatamoto,Creature,Human Samurai,Champions of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.18,False
Lantern Kami,Creature,Spirit,Champions of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.11,False
Masako the Humorless,Creature,Human Advisor,Champions of Kamigawa,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ben Thompson',2.44,True
Mothrider Samurai,Creature,Human Samurai,Champions of Kamigawa,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.11,False
Myojin of Cleansing Fire,Creature,Spirit,Champions of Kamigawa,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',2.48,True
Nagao Bound by Honor,Creature,Human Samurai,Champions of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Dorman',0.25,True
Otherworldly Journey,Instant,Arcane,Champions of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Vance Kovacs',0.2,False
Pious Kitsune,Creature,Fox Cleric,Champions of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.14,False
Quiet Purity,Instant,Arcane,Champions of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',0.11,False
Reciprocate,Instant,None,Champions of Kamigawa,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pat Lee',0.25,False
Reverse the Sands,Sorcery,None,Champions of Kamigawa,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',0.34,False
Samurai Enforcers,Creature,Human Samurai,Champions of Kamigawa,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mitch Cotie',0.11,False
