names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aerie Mystics,Creature,Bird Wizard,Conflux,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.1,False
Asha's Favor,Enchantment,Aura,Conflux,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.2,False
Aven Squire,Creature,Bird Soldier,Conflux,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.11,False
Aven Trailblazer,Creature,Bird Soldier,Conflux,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',0.08,False
Celestial Purge,Instant,None,Conflux,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.27,False
Court Homunculus,Artifact Creature,Homunculus,Conflux,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.09,False
Darklit Gargoyle,Artifact Creature,Gargoyle,Conflux,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.07,False
Gleam of Resistance,Instant,None,Conflux,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.12,False
Lapse of Certainty,Instant,None,Conflux,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Francisco',0.66,False
Mark of Asylum,Enchantment,None,Conflux,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Sal Villagran',1.37,False
Martial Coup,Sorcery,None,Conflux,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',1.18,False
Mirror-Sigil Sergeant,Creature,Rhino Soldier,Conflux,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',1.52,False
Nacatl Hunt-Pride,Creature,Cat Warrior,Conflux,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.12,False
Paragon of the Amesha,Creature,Human Knight,Conflux,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',0.13,False
Path to Exile,Instant,None,Conflux,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',4.79,False
Rhox Meditant,Creature,Rhino Monk,Conflux,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.09,False
Scepter of Dominance,Artifact,None,Conflux,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.22,False
Sigil of the Empty Throne,Enchantment,None,Conflux,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Cyril Van Der Haegen',0.62,False
Valiant Guard,Creature,Human Soldier,Conflux,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',0.07,False
Wall of Reverence,Creature,Spirit Wall,Conflux,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',1.24,False
Brackwater Elemental,Creature,Elemental,Conflux,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',0.1,False
Constricting Tendrils,Instant,None,Conflux,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.09,False
Controlled Instincts,Enchantment,Aura,Conflux,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.08,False
Cumber Stone,Artifact,None,Conflux,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Warren Mahy',0.12,False
Esperzoa,Artifact Creature,Jellyfish,Conflux,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.11,False
Ethersworn Adjudicator,Artifact Creature,Vedalken Knight,Conflux,Mythic Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',1.81,False
Faerie Mechanist,Artifact Creature,Faerie Artificer,Conflux,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.13,False
Frontline Sage,Creature,Human Wizard,Conflux,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Volkan Ba\xc7\xb5a',0.14,False
Grixis Illusionist,Creature,Human Wizard,Conflux,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.09,False
Inkwell Leviathan,Artifact Creature,Leviathan,Conflux,Rare,9,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Francisco',0.5,False
Master Transmuter,Artifact Creature,Human Artificer,Conflux,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',8.99,False
Parasitic Strix,Artifact Creature,Bird,Conflux,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.18,False
Scepter of Insight,Artifact,None,Conflux,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.24,False
Scornful Aether-Lich,Artifact Creature,Zombie Wizard,Conflux,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.1,False
Telemin Performance,Sorcery,None,Conflux,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Izzy',1.19,False
Traumatic Visions,Instant,None,Conflux,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Cyril Van Der Haegen',0.1,False
Unsummon,Instant,None,Conflux,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Izzy',0.1,False
View from Above,Instant,None,Conflux,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.14,False
Worldly Counsel,Instant,None,Conflux,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.16,False
Absorb Vis,Sorcery,None,Conflux,Common,7,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Kitkouski',0.07,False
