names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Adarkar Valkyrie,Snow Creature,Angel,Coldsnap,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',0.86,False
Boreal Griffin,Snow Creature,Griffin,Coldsnap,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Cyril Van Der Haegen',0.11,False
Cover of Winter,Snow Enchantment,None,Coldsnap,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne Reynolds',0.31,False
Darien King of Kjeldor,Creature,Human Soldier,Coldsnap,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Phillippi',1.64,True
Field Marshal,Creature,Human Soldier,Coldsnap,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',3.9,False
Gelid Shackles,Snow Enchantment,Aura,Coldsnap,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.16,False
Glacial Plating,Snow Enchantment,Aura,Coldsnap,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Despain',0.18,False
Jötun Grunt,Creature,Giant Soldier,Coldsnap,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',0.25,False
Jötun Owl Keeper,Creature,Giant,Coldsnap,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.21,False
Kjeldoran Gargoyle,Creature,Gargoyle,Coldsnap,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Marcelo Vignali',0.08,False
Kjeldoran Javelineer,Creature,Human Soldier,Coldsnap,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.06,False
Kjeldoran Outrider,Creature,Human Soldier,Coldsnap,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.05,False
Kjeldoran War Cry,Instant,None,Coldsnap,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Phillippi',0.08,False
Luminesce,Instant,None,Coldsnap,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.08,False
Martyr of Sands,Creature,Human Cleric,Coldsnap,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.21,False
Ronom Unicorn,Creature,Unicorn,Coldsnap,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.13,False
Squall Drifter,Snow Creature,Elemental,Coldsnap,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Joel Thomas',0.11,False
Sun's Bounty,Instant,None,Coldsnap,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.13,False
Sunscour,Sorcery,None,Coldsnap,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Murray',0.78,False
Surging Sentinels,Creature,Human Soldier,Coldsnap,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.06,False
Swift Maneuver,Instant,None,Coldsnap,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.06,False
Ursine Fylgja,Creature,Spirit Bear,Coldsnap,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Yokota Katsumi',0.14,False
Wall of Shards,Snow Creature,Wall,Coldsnap,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Alex Horley-Orlandelli',2.12,False
White Shield Crusader,Creature,Human Knight,Coldsnap,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Easley',0.19,False
Woolly Razorback,Creature,Boar Beast,Coldsnap,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Richard Sardinha',0.47,False
Adarkar Windform,Snow Creature,Illusion,Coldsnap,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.11,False
Arcum Dagsson,Creature,Human Artificer,Coldsnap,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',14.26,True
Balduvian Frostwaker,Creature,Human Wizard,Coldsnap,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Stephen Tappin',0.12,False
Commandeer,Instant,None,Coldsnap,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',11.3,False
Controvert,Instant,None,Coldsnap,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Joel Thomas',0.15,False
Counterbalance,Enchantment,None,Coldsnap,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'John Zeleznik',22.13,False
Drelnoch,Creature,Yeti Mutant,Coldsnap,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.09,False
Flashfreeze,Instant,None,Coldsnap,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Despain',0.13,False
Frost Raptor,Snow Creature,Bird,Coldsnap,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Lars Grant-West',0.1,False
Frozen Solid,Enchantment,Aura,Coldsnap,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ralph Horsley',0.09,False
Heidar Rimewind Master,Creature,Human Wizard,Coldsnap,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.27,True
Jokulmorder,Creature,Leviathan,Coldsnap,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.4,False
Krovikan Mist,Creature,Illusion,Coldsnap,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',0.14,False
Krovikan Whispers,Enchantment,Aura,Coldsnap,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Nick Percival',0.1,False
Martyr of Frost,Creature,Human Wizard,Coldsnap,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne England',0.19,False
Perilous Research,Instant,None,Coldsnap,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dany Orizio',0.29,False
Rimefeather Owl,Snow Creature,Bird,Coldsnap,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Kensuke Okabayashi',0.43,False
Rimewind Cryomancer,Creature,Human Wizard,Coldsnap,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.17,False
Rimewind Taskmage,Creature,Human Wizard,Coldsnap,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.11,False
Ronom Serpent,Snow Creature,Serpent,Coldsnap,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.09,False
Rune Snag,Instant,None,Coldsnap,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Dorman',0.2,False
