names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Boros Mastiff,Creature,Dog,Dragon's Maze,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.04,False
Haazda Snare Squad,Creature,Human Soldier,Dragon's Maze,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.03,False
Lyev Decree,Sorcery,None,Dragon's Maze,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.05,False
Maze Sentinel,Creature,Elemental,Dragon's Maze,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Yeong-Hao Han',0.03,False
Renounce the Guilds,Instant,None,Dragon's Maze,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daarken',0.17,False
Riot Control,Instant,None,Dragon's Maze,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Slawomir Maniak',0.16,False
Scion of Vitu-Ghazi,Creature,Elemental,Dragon's Maze,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Willian Murai',0.26,False
Steeple Roc,Creature,Bird,Dragon's Maze,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.04,False
Sunspire Gatekeepers,Creature,Human Soldier,Dragon's Maze,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.05,False
Wake the Reflections,Sorcery,None,Dragon's Maze,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Cynthia Sheppard',0.12,False
Aetherling,Creature,Shapeshifter,Dragon's Maze,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Tyler Jacobson',0.43,False
Hidden Strings,Sorcery,None,Dragon's Maze,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Daarken',0.41,False
Maze Glider,Creature,Elemental,Dragon's Maze,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Yeong-Hao Han',0.05,False
Mindstatic,Instant,None,Dragon's Maze,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Johann Bodin',0.06,False
Murmuring Phantasm,Creature,Spirit,Dragon's Maze,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Peter Mohrbacher',0.09,False
Opal Lake Gatekeepers,Creature,Vedalken Soldier,Dragon's Maze,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Seb McKinnon',0.06,False
Runner's Bane,Enchantment,Aura,Dragon's Maze,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Karl Kopinski',0.04,False
Trait Doctoring,Sorcery,None,Dragon's Maze,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Clint Cearley',0.17,False
Uncovered Clues,Sorcery,None,Dragon's Maze,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jaime Jones',0.14,False
Wind Drake,Creature,Drake,Dragon's Maze,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'John Severin Brassell',0.04,False
Bane Alley Blackguard,Creature,Human Rogue,Dragon's Maze,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Bierek',0.02,False
Blood Scrivener,Creature,Zombie Wizard,Dragon's Maze,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Peter Mohrbacher',0.26,False
Crypt Incursion,Instant,None,Dragon's Maze,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Svetlin Velinov',0.23,False
Fatal Fumes,Instant,None,Dragon's Maze,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.12,False
Hired Torturer,Creature,Human Rogue,Dragon's Maze,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.02,False
Maze Abomination,Creature,Elemental,Dragon's Maze,Common,6,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Yeong-Hao Han',0.07,False
Pontiff of Blight,Creature,Zombie Cleric,Dragon's Maze,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.52,False
Rakdos Drake,Creature,Drake,Dragon's Maze,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.04,False
Sinister Possession,Enchantment,Aura,Dragon's Maze,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Palumbo',0.08,False
Ubul Sar Gatekeepers,Creature,Zombie Soldier,Dragon's Maze,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Volkan Ba\xc7\xb5a',0.04,False
Awe for the Guilds,Sorcery,None,Dragon's Maze,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Mathias Kollros',0.04,False
Clear a Path,Sorcery,None,Dragon's Maze,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.02,False
