names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aurora Eidolon,Creature,Spirit,Dissension,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',0.09,False
Azorius Herald,Creature,Spirit,Dissension,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Sweet',0.23,False
Beacon Hawk,Creature,Bird,Dissension,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'William Simpson',0.1,False
Blessing of the Nephilim,Enchantment,Aura,Dissension,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.37,False
Brace for Impact,Instant,None,Dissension,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.08,False
Carom,Instant,None,Dissension,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.08,False
Celestial Ancient,Creature,Elemental,Dissension,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.48,False
Condemn,Instant,None,Dissension,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.3,False
Freewind Equenaut,Creature,Human Archer,Dissension,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.09,False
Guardian of the Guildpact,Creature,Spirit,Dissension,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Fred Hooper',0.63,False
Haazda Exonerator,Creature,Human Cleric,Dissension,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.04,False
Haazda Shield Mate,Creature,Human Soldier,Dissension,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.2,False
Mistral Charger,Creature,Pegasus,Dissension,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.1,False
Paladin of Prahv,Creature,Human Knight,Dissension,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'William Simpson',0.12,False
Proclamation of Rebirth,Sorcery,None,Dissension,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'William Simpson',2.55,False
Proper Burial,Enchantment,None,Dissension,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',1.2,False
Soulsworn Jury,Creature,Spirit,Dissension,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.15,False
Steeling Stance,Instant,None,Dissension,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.07,False
Stoic Ephemera,Creature,Spirit,Dissension,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.08,False
Valor Made Real,Instant,None,Dissension,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.1,False
Wakestone Gargoyle,Creature,Gargoyle,Dissension,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Murray',0.27,False
Court Hussar,Creature,Vedalken Knight,Dissension,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.13,False
Cytoplast Manipulator,Creature,Human Wizard Mutant,Dissension,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',5.24,False
Enigma Eidolon,Creature,Spirit,Dissension,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Shishizaru',0.07,False
Govern the Guildless,Sorcery,None,Dissension,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.25,False
Helium Squirter,Creature,Beast Mutant,Dissension,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Hideaki Takamura',0.1,False
Novijen Sages,Creature,Human Advisor Mutant,Dissension,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Luca Zontini',0.34,False
Ocular Halo,Enchantment,Aura,Dissension,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.09,False
Plaxmanta,Creature,Beast,Dissension,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.15,False
Psychic Possession,Enchantment,Aura,Dissension,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Tedin',2.24,False
Silkwing Scout,Creature,Faerie Scout,Dissension,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.07,False
Skyscribing,Sorcery,None,Dissension,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Luca Zontini',0.25,False
Spell Snare,Instant,None,Dissension,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Hideaki Takamura',1.13,False
Tidespout Tyrant,Creature,Djinn,Dissension,Rare,8,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dany Orizio',1.74,False
Vigean Graftmage,Creature,Vedalken Wizard Mutant,Dissension,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.23,False
Vision Skeins,Instant,None,Dissension,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',0.16,False
Writ of Passage,Enchantment,Aura,Dissension,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',0.12,False
Bond of Agony,Sorcery,None,Dissension,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',0.66,False
