names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Archangel's Light,Sorcery,None,Dark Ascension,Mythic Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Volkan Ba\xc7\xb5a',0.58,False
Bar the Door,Instant,None,Dark Ascension,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Pancoast',0.13,False
Break of Day,Instant,None,Dark Ascension,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Karl Kopinski',0.13,False
Burden of Guilt,Enchantment,Aura,Dark Ascension,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Stanko',0.06,False
Curse of Exhaustion,Enchantment,Aura Curse,Dark Ascension,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Slawomir Maniak',0.27,False
Elgaud Inquisitor,Creature,Human Cleric,Dark Ascension,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Slawomir Maniak',0.03,False
Faith's Shield,Instant,None,Dark Ascension,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Svetlin Velinov',0.23,False
Gather the Townsfolk,Sorcery,None,Dark Ascension,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.13,False
Gavony Ironwright,Creature,Human Soldier,Dark Ascension,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Karl Kopinski',0.05,False
Hollowhenge Spirit,Creature,Spirit,Dark Ascension,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.11,False
Increasing Devotion,Sorcery,None,Dark Ascension,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',0.36,False
Lingering Souls,Sorcery,None,Dark Ascension,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bud Cook',0.31,False
Loyal Cathar,Creature,Human Soldier,Dark Ascension,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Pancoast',0.1,False
Midnight Guard,Creature,Human Soldier,Dark Ascension,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason A. Engle',0.14,False
