names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Karn Scion of Urza,Planeswalker,Karn,Dominaria,Mythic Rare,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',7.78,True
Adamant Will,Instant,None,Dominaria,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Konstad',0.09,False
Aven Sentry,Creature,Bird Soldier,Dominaria,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.02,False
Baird Steward of Argive,Creature,Human Soldier,Dominaria,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christine Choi',0.26,True
Benalish Honor Guard,Creature,Human Knight,Dominaria,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Pancoast',0.05,False
Benalish Marshal,Creature,Human Knight,Dominaria,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.53,False
Blessed Light,Instant,None,Dominaria,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Palumbo',0.03,False
Board the Weatherlight,Sorcery,None,Dominaria,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Tyler Jacobson',0.18,False
Call the Cavalry,Sorcery,None,Dominaria,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.08,False
Charge,Instant,None,Dominaria,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.05,False
D'Avenant Trapper,Creature,Human Archer,Dominaria,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.03,False
Danitha Capashen Paragon,Creature,Human Knight,Dominaria,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rallis',0.51,True
Daring Archaeologist,Creature,Human Artificer,Dominaria,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.15,False
Dauntless Bodyguard,Creature,Human Knight,Dominaria,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Manuel Casta\xc3\xb1\xc3\xb3n',0.22,False
Dub,Enchantment,Aura,Dominaria,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.08,False
Evra Halcyon Witness,Creature,Avatar,Dominaria,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johannes Voss',0.23,True
Excavation Elephant,Creature,Elephant,Dominaria,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.03,False
Fall of the Thran,Enchantment,Saga,Dominaria,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.25,False
Gideon's Reproach,Instant,None,Dominaria,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.04,False
Healing Grace,Instant,None,Dominaria,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.06,False
History of Benalia,Enchantment,Saga,Dominaria,Mythic Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Noah Bradley',1.97,False
Invoke the Divine,Instant,None,Dominaria,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.06,False
