names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angry Mob,Creature,Human,The Dark,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.74,False
Blood of the Martyr,Instant,None,The Dark,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.51,False
Brainwash,Enchantment,Aura,The Dark,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.16,False
Cleansing,Sorcery,None,The Dark,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',4.32,False
Dust to Dust,Sorcery,None,The Dark,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.69,False
Exorcist,Creature,Human Cleric,The Dark,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',3.99,False
Fasting,Enchantment,None,The Dark,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.38,False
Festival,Instant,None,The Dark,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Poole',0.25,False
Fire and Brimstone,Instant,None,The Dark,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff A. Menges',0.42,False
Holy Light,Instant,None,The Dark,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.63,False
Knights of Thorn,Creature,Human Knight,The Dark,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',3.75,False
Martyr's Cry,Sorcery,None,The Dark,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',4.5,False
Miracle Worker,Creature,Human Cleric,The Dark,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.17,False
Morale,Instant,None,The Dark,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.16,False
Pikemen,Creature,Human Soldier,The Dark,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dennis Detwiller',0.15,False
Preacher,Creature,Human Cleric,The Dark,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Quinton Hoover',18.58,False
Squire,Creature,Human Soldier,The Dark,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dennis Detwiller',0.16,False
