names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Auriok Glaivemaster,Creature,Human Soldier,Darksteel,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.15,False
Echoing Calm,Instant,None,Darksteel,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.1,False
Emissary of Hope,Creature,Spirit,Darksteel,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.1,False
Hallow,Instant,None,Darksteel,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.25,False
Leonin Battlemage,Creature,Cat Wizard,Darksteel,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Stephen Tappin',0.13,False
Leonin Shikari,Creature,Cat Soldier,Darksteel,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne England',2.02,False
Loxodon Mystic,Creature,Elephant Cleric,Darksteel,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,"b'Edward P. Beard, Jr.'",0.03,False
Metal Fatigue,Instant,None,Darksteel,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Arnie Swekel',0.06,False
Pristine Angel,Creature,Angel,Darksteel,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',0.87,False
Pteron Ghost,Creature,Dinosaur Spirit,Darksteel,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.11,False
Pulse of the Fields,Instant,None,Darksteel,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.46,False
Purge,Instant,None,Darksteel,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.1,False
Ritual of Restoration,Sorcery,None,Darksteel,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.08,False
Soulscour,Sorcery,None,Darksteel,Rare,10,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.35,False
Steelshaper Apprentice,Creature,Human Soldier,Darksteel,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Tim Hildebrandt',0.69,False
Stir the Pride,Instant,None,Darksteel,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.17,False
Test of Faith,Instant,None,Darksteel,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Vance Kovacs',0.14,False
Turn the Tables,Instant,None,Darksteel,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.34,False
Carry Away,Enchantment,Aura,Darksteel,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.16,False
Chromescale Drake,Creature,Drake,Darksteel,Rare,9,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.28,False
Echoing Truth,Instant,None,Darksteel,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.42,False
Hoverguard Observer,Creature,Drone,Darksteel,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.1,False
Last Word,Instant,None,Darksteel,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.75,False
Machinate,Instant,None,Darksteel,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.11,False
Magnetic Flux,Instant,None,Darksteel,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Rabinowitz',0.14,False
Neurok Prodigy,Creature,Human Wizard,Darksteel,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Puddnhead',0.1,False
Neurok Transmuter,Creature,Human Wizard,Darksteel,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.16,False
Psychic Overload,Enchantment,Aura,Darksteel,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jeremy Jarvis',0.09,False
Pulse of the Grid,Instant,None,Darksteel,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.36,False
Quicksilver Behemoth,Creature,Beast,Darksteel,Common,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony S. Waters',0.1,False
Reshape,Sorcery,None,Darksteel,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jon Foster',6.83,False
Retract,Instant,None,Darksteel,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',5.19,False
Second Sight,Instant,None,Darksteel,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',0.13,False
Synod Artificer,Creature,Vedalken Artificer,Darksteel,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.3,False
Vedalken Engineer,Creature,Vedalken Artificer,Darksteel,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.15,False
Vex,Instant,None,Darksteel,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.14,False
Aether Snap,Sorcery,None,Darksteel,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.59,False
