names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Scion of Ugin,Creature,Dragon Spirit,Dragons of Tarkir,Uncommon,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Cliff Childs',0.11,False
Anafenza Kin-Tree Spirit,Creature,Spirit Soldier,Dragons of Tarkir,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',1.45,True
Arashin Foremost,Creature,Human Warrior,Dragons of Tarkir,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.34,False
Artful Maneuver,Instant,None,Dragons of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.09,False
Aven Sunstriker,Creature,Bird Warrior,Dragons of Tarkir,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Severin Brassell',0.12,False
Aven Tactician,Creature,Bird Soldier,Dragons of Tarkir,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.04,False
Battle Mastery,Enchantment,Aura,Dragons of Tarkir,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.16,False
Center Soul,Instant,None,Dragons of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.12,False
Champion of Arashin,Creature,Dog Warrior,Dragons of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Joseph Meehan',0.05,False
Dragon Hunter,Creature,Human Warrior,Dragons of Tarkir,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johannes Voss',0.14,False
Dragon's Eye Sentry,Creature,Human Monk,Dragons of Tarkir,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anastasia Ovchinnikova',0.1,False
Dromoka Captain,Creature,Human Soldier,Dragons of Tarkir,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.08,False
Dromoka Dunecaster,Creature,Human Wizard,Dragons of Tarkir,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Winters',0.04,False
Dromoka Warrior,Creature,Human Warrior,Dragons of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.04,False
Echoes of the Kin Tree,Enchantment,None,Dragons of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.1,False
Enduring Victory,Instant,None,Dragons of Tarkir,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Sass',0.04,False
Fate Forgotten,Instant,None,Dragons of Tarkir,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Cliff Childs',0.12,False
Glaring Aegis,Enchantment,Aura,Dragons of Tarkir,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Anthony Palumbo',0.09,False
Gleam of Authority,Enchantment,Aura,Dragons of Tarkir,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jakub Kasper',0.23,False
Graceblade Artisan,Creature,Human Monk,Dragons of Tarkir,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.14,False
Great Teacher's Decree,Sorcery,None,Dragons of Tarkir,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.1,False
Herald of Dromoka,Creature,Human Warrior,Dragons of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.17,False
Hidden Dragonslayer,Creature,Human Warrior,Dragons of Tarkir,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anastasia Ovchinnikova',0.2,False
Lightwalker,Creature,Human Warrior,Dragons of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.03,False
Misthoof Kirin,Creature,Kirin,Dragons of Tarkir,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Barger',0.04,False
Myth Realized,Enchantment,None,Dragons of Tarkir,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.4,False
Ojutai Exemplars,Creature,Human Monk,Dragons of Tarkir,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Willian Murai',0.5,False
Orator of Ojutai,Creature,Bird Monk,Dragons of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.17,False
Pacifism,Enchantment,Aura,Dragons of Tarkir,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Mark Zug',0.06,False
Profound Journey,Sorcery,None,Dragons of Tarkir,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tomasz Jedruszek',0.2,False
Radiant Purge,Instant,None,Dragons of Tarkir,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.2,False
Resupply,Instant,None,Dragons of Tarkir,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Filip Burburan',0.04,False
Sandcrafter Mage,Creature,Human Wizard,Dragons of Tarkir,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Willian Murai',0.06,False
Sandstorm Charger,Creature,Beast,Dragons of Tarkir,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',0.03,False
Scale Blessing,Instant,None,Dragons of Tarkir,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.11,False
Secure the Wastes,Instant,None,Dragons of Tarkir,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Murphy',3.07,False
Shieldhide Dragon,Creature,Dragon,Dragons of Tarkir,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rallis',0.15,False
Silkwrap,Enchantment,None,Dragons of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.11,False
Strongarm Monk,Creature,Human Monk,Dragons of Tarkir,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.13,False
Student of Ojutai,Creature,Human Monk,Dragons of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason A. Engle',0.06,False
Sunscorch Regent,Creature,Dragon,Dragons of Tarkir,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',1.4,False
Surge of Righteousness,Instant,None,Dragons of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Marco Nelor',0.19,False
Territorial Roc,Creature,Bird,Dragons of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'YW Tang',0.02,False
Ancient Carp,Creature,Fish,Dragons of Tarkir,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Burdett',0.05,False
