names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Acclaimed Contender,Creature,Human Knight,Throne of Eldraine,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'David Gaillet',0.29,False
All That Glitters,Enchantment,Aura,Throne of Eldraine,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Iain McCaig',0.7,False
Archon of Absolution,Creature,Archon,Throne of Eldraine,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.12,False
Ardenvale Paladin,Creature,Human Knight,Throne of Eldraine,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.06,False
Ardenvale Tactician,Creature,Human Knight,Throne of Eldraine,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.06,False
Bartered Cow,Creature,Ox,Throne of Eldraine,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Deruchenko Alexander',0.03,False
Beloved Princess,Creature,Human Noble,Throne of Eldraine,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.06,False
Charming Prince,Creature,Human Noble,Throne of Eldraine,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Randy Vargas',1.13,False
The Circle of Loyalty,Artifact,None,Throne of Eldraine,Mythic Rare,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',1.26,True
Deafening Silence,Enchantment,None,Throne of Eldraine,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.38,False
Faerie Guidemother,Creature,Faerie,Throne of Eldraine,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Mila Pesic',0.06,False
Flutterfox,Creature,Fox,Throne of Eldraine,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.07,False
Fortifying Provisions,Enchantment,None,Throne of Eldraine,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.03,False
Giant Killer,Creature,Human Peasant,Throne of Eldraine,Rare,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.3,False
Glass Casket,Artifact,None,Throne of Eldraine,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Anastasia Ovchinnikova',0.12,False
Happily Ever After,Enchantment,None,Throne of Eldraine,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.15,False
Harmonious Archon,Creature,Archon,Throne of Eldraine,Mythic Rare,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Anastasia Ovchinnikova',0.4,False
Hushbringer,Creature,Faerie,Throne of Eldraine,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',1.36,False
Knight of the Keep,Creature,Human Knight,Throne of Eldraine,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Bram Sels',0.04,False
Linden the Steadfast Queen,Creature,Human Noble,Throne of Eldraine,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Ryan Pancoast',0.37,True
Lonesome Unicorn,Creature,Unicorn,Throne of Eldraine,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.03,False
Mysterious Pathlighter,Creature,Faerie,Throne of Eldraine,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Kimonas Theodossiou',0.09,False
Outflank,Instant,None,Throne of Eldraine,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.05,False
Prized Griffin,Creature,Griffin,Throne of Eldraine,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.03,False
Rally for the Throne,Instant,None,Throne of Eldraine,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'James Paick',0.09,False
Realm-Cloaked Giant,Creature,Giant,Throne of Eldraine,Mythic Rare,7,White,Legal,Legal,Legal,Legal,Legal,True,b'Adam Paquette',0.63,False
Righteousness,Instant,None,Throne of Eldraine,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.1,False
Shepherd of the Flock,Creature,Human Peasant,Throne of Eldraine,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Drew Baker',0.09,False
Shining Armor,Artifact,Equipment,Throne of Eldraine,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.05,False
Silverflame Ritual,Sorcery,None,Throne of Eldraine,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Jason Felix',0.04,False
Silverflame Squire,Creature,Human Soldier,Throne of Eldraine,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Lie Setiawan',0.03,False
Syr Alin the Lion's Claw,Creature,Human Knight,Throne of Eldraine,Uncommon,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Paul Scott Canavan',0.09,True
Trapped in the Tower,Enchantment,Aura,Throne of Eldraine,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.08,False
True Love's Kiss,Instant,None,Throne of Eldraine,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.06,False
Venerable Knight,Creature,Human Knight,Throne of Eldraine,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Colin Boyer',0.14,False
Worthy Knight,Creature,Human Knight,Throne of Eldraine,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Yongjae Choi',0.55,False
Youthful Knight,Creature,Human Knight,Throne of Eldraine,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Heonhwa Choe',0.04,False
Animating Faerie,Creature,Faerie,Throne of Eldraine,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Joseph Meehan',0.12,False
Brazen Borrower,Creature,Faerie Rogue,Throne of Eldraine,Mythic Rare,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Eric Deschamps',12.0,False
Charmed Sleep,Enchantment,Aura,Throne of Eldraine,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Titus Lunter',0.04,False
