names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abundant Maw,Creature,Eldrazi Leech,Eldritch Moon,Uncommon,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.13,False
Decimator of the Provinces,Creature,Eldrazi Boar,Eldritch Moon,Mythic Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',1.9,False
Distended Mindbender,Creature,Eldrazi Insect,Eldritch Moon,Rare,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Yohann Schepacz',0.25,False
Drownyard Behemoth,Creature,Eldrazi Crab,Eldritch Moon,Uncommon,9,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Kang',0.1,False
Elder Deep-Fiend,Creature,Eldrazi Octopus,Eldritch Moon,Rare,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.84,False
Emrakul the Promised End,Creature,Eldrazi,Eldritch Moon,Mythic Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',36.41,True
Eternal Scourge,Creature,Eldrazi Horror,Eldritch Moon,Rare,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.73,False
It of the Horrid Swarm,Creature,Eldrazi Insect,Eldritch Moon,Common,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Felix',0.05,False
Lashweed Lurker,Creature,Eldrazi Horror,Eldritch Moon,Uncommon,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Igor Kieryluk',0.1,False
Mockery of Nature,Creature,Eldrazi Beast,Eldritch Moon,Uncommon,9,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.12,False
Vexing Scuttler,Creature,Eldrazi Crab,Eldritch Moon,Uncommon,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'James Paick',0.11,False
Wretched Gryff,Creature,Eldrazi Hippogriff,Eldritch Moon,Common,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Darek Zabrocki',0.1,False
Blessed Alliance,Instant,None,Eldritch Moon,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Johann Bodin',0.37,False
Borrowed Grace,Instant,None,Eldritch Moon,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.07,False
Choking Restraints,Enchantment,Aura,Eldritch Moon,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Stanko',0.05,False
Collective Effort,Sorcery,None,Eldritch Moon,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.46,False
Courageous Outrider,Creature,Human Scout,Eldritch Moon,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Alexander Lee',0.1,False
Dawn Gryff,Creature,Hippogriff,Eldritch Moon,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christine Choi',0.03,False
Deploy the Gatewatch,Sorcery,None,Eldritch Moon,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wesley Burt',0.92,False
Desperate Sentry,Creature,Human Soldier,Eldritch Moon,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mathias Kollros',0.07,False
Drogskol Shieldmate,Creature,Spirit Soldier,Eldritch Moon,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.05,False
Extricator of Sin,Creature,Human Cleric,Eldritch Moon,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Craig J Spearing',0.11,False
Faith Unbroken,Enchantment,Aura,Eldritch Moon,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.1,False
Faithbearer Paladin,Creature,Human Knight,Eldritch Moon,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.03,False
Fiend Binder,Creature,Human Soldier,Eldritch Moon,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.03,False
Geist of the Lonely Vigil,Creature,Spirit Cleric,Eldritch Moon,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Yee',0.06,False
Gisela the Broken Blade,Creature,Angel Horror,Eldritch Moon,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',16.57,True
Give No Ground,Instant,None,Eldritch Moon,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Tyler Jacobson',0.09,False
Guardian of Pilgrims,Creature,Spirit Cleric,Eldritch Moon,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Noah Bradley',0.05,False
Ironclad Slayer,Creature,Human Warrior,Eldritch Moon,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Pancoast',0.09,False
Ironwright's Cleansing,Sorcery,None,Eldritch Moon,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Stanko',0.05,False
Lone Rider,Creature,Human Knight,Eldritch Moon,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daarken',0.48,False
Long Road Home,Instant,None,Eldritch Moon,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.16,False
Lunarch Mantle,Enchantment,Aura,Eldritch Moon,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anastasia Ovchinnikova',0.03,False
Peace of Mind,Enchantment,None,Eldritch Moon,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.07,False
Providence,Sorcery,None,Eldritch Moon,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.09,False
Repel the Abominable,Instant,None,Eldritch Moon,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.18,False
Sanctifier of Souls,Creature,Human Cleric,Eldritch Moon,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.09,False
Selfless Spirit,Creature,Spirit Cleric,Eldritch Moon,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',8.61,False
Sigarda's Aid,Enchantment,None,Eldritch Moon,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',4.98,False
Sigardian Priest,Creature,Human Cleric,Eldritch Moon,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.05,False
Spectral Reserves,Sorcery,None,Eldritch Moon,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Seb McKinnon',0.05,False
Steadfast Cathar,Creature,Human Soldier,Eldritch Moon,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.03,False
Subjugator Angel,Creature,Angel,Eldritch Moon,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.18,False
Thalia Heretic Cathar,Creature,Human Soldier,Eldritch Moon,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',3.29,True
Thalia's Lancers,Creature,Human Knight,Eldritch Moon,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.52,False
Thraben Standard Bearer,Creature,Human Soldier,Eldritch Moon,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.05,False
Advanced Stitchwing,Creature,Zombie Horror,Eldritch Moon,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.09,False
Chilling Grasp,Instant,None,Eldritch Moon,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Seb McKinnon',0.07,False
Coax from the Blind Eternities,Sorcery,None,Eldritch Moon,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',0.16,False
Contingency Plan,Sorcery,None,Eldritch Moon,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.11,False
Convolute,Instant,None,Eldritch Moon,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.04,False
Curious Homunculus,Creature,Homunculus,Eldritch Moon,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Filip Burburan',0.23,False
Displace,Instant,None,Eldritch Moon,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.29,False
Docent of Perfection,Creature,Insect Horror,Eldritch Moon,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',1.26,False
Drag Under,Sorcery,None,Eldritch Moon,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Tianhua X',0.05,False
Enlightened Maniac,Creature,Human,Eldritch Moon,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',0.06,False
Exultant Cultist,Creature,Human Wizard,Eldritch Moon,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Joseph Meehan',0.04,False
Fogwalker,Creature,Spirit,Eldritch Moon,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.06,False
Fortune's Favor,Instant,None,Eldritch Moon,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Yohann Schepacz',0.08,False
Geist of the Archives,Creature,Spirit,Eldritch Moon,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Lake Hurwitz',0.17,False
Grizzled Angler,Creature,Human,Eldritch Moon,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.06,False
Identity Thief,Creature,Shapeshifter,Eldritch Moon,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.16,False
Imprisoned in the Moon,Enchantment,Aura,Eldritch Moon,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',2.88,False
Ingenious Skaab,Creature,Zombie Horror,Eldritch Moon,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jesper Ejsing',0.06,False
Laboratory Brute,Creature,Zombie Horror,Eldritch Moon,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Yeong-Hao Han',0.03,False
Lunar Force,Enchantment,None,Eldritch Moon,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.13,False
Mausoleum Wanderer,Creature,Spirit,Eldritch Moon,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',2.04,False
Mind's Dilation,Enchantment,None,Eldritch Moon,Mythic Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Iain McCaig',5.97,False
Nebelgast Herald,Creature,Spirit,Eldritch Moon,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.62,False
Niblis of Frost,Creature,Spirit,Eldritch Moon,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Josu Hernaiz',0.28,False
Scour the Laboratory,Instant,None,Eldritch Moon,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Opalinski',0.05,False
Spontaneous Mutation,Enchantment,Aura,Eldritch Moon,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.05,False
Summary Dismissal,Instant,None,Eldritch Moon,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.43,False
Take Inventory,Sorcery,None,Eldritch Moon,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.08,False
Tattered Haunter,Creature,Spirit,Eldritch Moon,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.05,False
Turn Aside,Instant,None,Eldritch Moon,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',0.19,False
Unsubstantiate,Instant,None,Eldritch Moon,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.25,False
Wharf Infiltrator,Creature,Human Horror,Eldritch Moon,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.23,False
Boon of Emrakul,Enchantment,Aura,Eldritch Moon,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.03,False
Borrowed Malevolence,Instant,None,Eldritch Moon,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Volkan Ba\xc7\xb5a',0.02,False
Cemetery Recruitment,Sorcery,None,Eldritch Moon,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.13,False
Certain Death,Sorcery,None,Eldritch Moon,Common,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.06,False
Collective Brutality,Sorcery,None,Eldritch Moon,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',5.66,False
Cryptbreaker,Creature,Zombie,Eldritch Moon,Rare,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Darek Zabrocki',3.04,False
Dark Salvation,Sorcery,None,Eldritch Moon,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Cynthia Sheppard',1.11,False
Dusk Feaster,Creature,Vampire,Eldritch Moon,Uncommon,7,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Anastasia Ovchinnikova',0.08,False
Gavony Unhallowed,Creature,Zombie,Eldritch Moon,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.08,False
Graf Harvest,Enchantment,None,Eldritch Moon,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Lake Hurwitz',0.23,False
Graf Rats,Creature,Rat,Eldritch Moon,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Felix',0.1,False
