names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Archon of Justice,Creature,Archon,Eventide,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.44,False
Ballynock Trapper,Creature,Kithkin Soldier,Eventide,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.09,False
Cenn's Enlistment,Sorcery,None,Eventide,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.09,False
Endless Horizons,Enchantment,None,Eventide,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Joshua Hagler',9.4,False
Endure,Instant,None,Eventide,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.08,False
Flickerwisp,Creature,Elemental,Eventide,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Enecio',0.72,False
Hallowed Burial,Sorcery,None,Eventide,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',1.11,False
Kithkin Spellduster,Creature,Kithkin Wizard,Eventide,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Trevor Hairsine',0.09,False
Kithkin Zealot,Creature,Kithkin Cleric,Eventide,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Altmann',0.05,False
Light from Within,Enchantment,None,Eventide,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Aleksi Briclot',1.41,False
Loyal Gyrfalcon,Creature,Bird,Eventide,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',0.1,False
Patrol Signaler,Creature,Kithkin Soldier,Eventide,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.23,False
Recumbent Bliss,Enchantment,Aura,Eventide,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.15,False
Spirit of the Hearth,Creature,Cat Spirit,Eventide,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.51,False
Springjack Shepherd,Creature,Kithkin Wizard,Eventide,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas Denmark',0.74,False
Suture Spirit,Creature,Spirit,Eventide,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Larry MacDougall',0.17,False
Banishing Knack,Instant,None,Eventide,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.29,False
Cache Raiders,Creature,Merfolk Rogue,Eventide,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.1,False
Dream Fracture,Instant,None,Eventide,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.32,False
Dream Thief,Creature,Faerie Rogue,Eventide,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.14,False
Glamerdye,Instant,None,Eventide,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.37,False
Glen Elendra Archmage,Creature,Faerie Wizard,Eventide,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',7.19,False
Idle Thoughts,Enchantment,None,Eventide,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.09,False
Indigo Faerie,Creature,Faerie Wizard,Eventide,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.17,False
Inundate,Sorcery,None,Eventide,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',2.93,False
Merrow Levitator,Creature,Merfolk Wizard,Eventide,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Pavelec',0.1,False
Oona's Grace,Instant,None,Eventide,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.13,False
Razorfin Abolisher,Creature,Merfolk Wizard,Eventide,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,"b""William O'Connor""",0.21,False
