names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Allay,Instant,None,Exodus,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.16,False
Angelic Blessing,Sorcery,None,Exodus,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.07,False
Cataclysm,Sorcery,None,Exodus,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',5.66,False
Charging Paladin,Creature,Human Knight,Exodus,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ciruelo',0.06,False
Convalescence,Enchantment,None,Exodus,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.24,False
Exalted Dragon,Creature,Dragon,Exodus,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.58,False
High Ground,Enchantment,None,Exodus,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.2,False
Keeper of the Light,Creature,Human Wizard,Exodus,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.2,False
Kor Chant,Instant,None,Exodus,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Matson',0.1,False
Limited Resources,Enchantment,None,Exodus,Rare,1,White,Not Legal,Not Legal,Banned,Legal,Legal,False,b'Keith Parkinson',0.74,False
Oath of Lieges,Enchantment,None,Exodus,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',3.79,False
Paladin en-Vec,Creature,Human Knight,Exodus,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Elliott',0.78,False
Peace of Mind,Enchantment,None,Exodus,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Elliott',0.15,False
Pegasus Stampede,Sorcery,None,Exodus,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.17,False
Penance,Enchantment,None,Exodus,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.68,False
Reaping the Rewards,Instant,None,Exodus,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.03,False
Reconnaissance,Enchantment,None,Exodus,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',7.92,False
Shackles,Enchantment,Aura,Exodus,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.09,False
Shield Mate,Creature,Human Soldier,Exodus,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Elliott',0.07,False
Soltari Visionary,Creature,Soltari Cleric,Exodus,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.26,False
Soul Warden,Creature,Human Cleric,Exodus,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.4,False
Standing Troops,Creature,Human Soldier,Exodus,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.06,False
Treasure Hunter,Creature,Human,Exodus,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.22,False
Wall of Nets,Creature,Wall,Exodus,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',2.55,False
Welkin Hawk,Creature,Bird,Exodus,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rob Alexander',0.12,False
Zealots en-Dal,Creature,Human Soldier,Exodus,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brom',0.12,False
Aether Tide,Sorcery,None,Exodus,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.07,False
Cunning,Enchantment,Aura,Exodus,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.08,False
Curiosity,Enchantment,Aura,Exodus,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Val Mayerik',0.42,False
Dominating Licid,Creature,Licid,Exodus,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',1.1,False
Ephemeron,Creature,Illusion,Exodus,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Keith Parkinson',0.25,False
Equilibrium,Enchantment,None,Exodus,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',7.18,False
Ertai Wizard Adept,Creature,Human Wizard,Exodus,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',6.74,True
Fade Away,Sorcery,None,Exodus,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.54,False
Forbid,Instant,None,Exodus,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',1.68,False
Keeper of the Mind,Creature,Human Wizard,Exodus,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.18,False
Killer Whale,Creature,Whale,Exodus,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',0.14,False
Mana Breach,Enchantment,None,Exodus,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',2.32,False
Merfolk Looter,Creature,Merfolk Rogue,Exodus,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.17,False
Mind Over Matter,Enchantment,None,Exodus,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Keith Parkinson',17.73,False
Mirozel,Creature,Illusion,Exodus,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.2,False
Oath of Scholars,Enchantment,None,Exodus,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.29,False
Robe of Mirrors,Enchantment,Aura,Exodus,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'John Matson',0.21,False
Rootwater Mystic,Creature,Merfolk Wizard,Exodus,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.06,False
School of Piranha,Creature,Fish,Exodus,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.06,False
