names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Animation de mur,Enchantment,Aura,Foreign Black Border,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',230.0,False
Armaguedon,Sorcery,None,Foreign Black Border,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',40.99,False
Balance,Sorcery,None,Foreign Black Border,Rare,2,White,Not Legal,Not Legal,Banned,Restrict.,Banned,True,b'Mark Poole',40.99,False
Héroïne bénaliane,Creature,Human Soldier,Foreign Black Border,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',40.99,False
Rune de garde noire,Enchantment,Aura,Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',40.99,False
Bénédiction,Enchantment,Aura,Foreign Black Border,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',40.99,False
Rune de garde bleue,Enchantment,Aura,Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',40.99,False
Château fort,Enchantment,None,Foreign Black Border,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',40.99,False
Cercle de protection : noir,Enchantment,None,Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',40.99,False
Cercle de protection : bleu,Enchantment,None,Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',40.99,False
Cercle de protection : vert,Enchantment,None,Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',40.99,False
Cercle de protection : rouge,Enchantment,None,Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',4.0,False
Cercle de protection : blanc,Enchantment,None,Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',4.0,False
Conversion,Enchantment,None,Foreign Black Border,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',4.0,False
Croisade,Enchantment,None,Foreign Black Border,Rare,2,White,Not Legal,Not Legal,Banned,Banned,Banned,True,b'Mark Poole',4.0,False
Survie,Instant,None,Foreign Black Border,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',4.0,False
Désenchantement,Instant,None,Foreign Black Border,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Amy Weber',7.75,False
OEil pour OEil,Instant,None,Foreign Black Border,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',7.75,False
Ferme,Enchantment,Aura,Foreign Black Border,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',7.75,False
Rune de garde verte,Enchantment,Aura,Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',7.75,False
Ange gardien,Instant,None,Foreign Black Border,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',7.75,False
Onguent de soins,Instant,None,Foreign Black Border,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',7.75,False
Armure sacrée,Enchantment,Aura,Foreign Black Border,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',7.75,False
Force sacrée,Enchantment,Aura,Foreign Black Border,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',1.99,False
Ile sanctuaire,Enchantment,None,Foreign Black Border,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',1.99,False
Karma,Enchantment,None,Foreign Black Border,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Thomas',0.29,False
Lance,Enchantment,Aura,Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',0.29,False
Pégase de Mesa,Creature,Pegasus,Foreign Black Border,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',0.29,False
Paladin du nord,Creature,Human Knight,Foreign Black Border,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.29,False
Licorne nacrée,Creature,Unicorn,Foreign Black Border,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Cornelius Brudi',2.0,False
Incarnation personnelle,Creature,Avatar Incarnation,Foreign Black Border,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Brockschmidt',8.99,False
Voile de pureté,Instant,None,Foreign Black Border,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',8.99,False
Rune de garde rouge,Enchantment,Aura,Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',8.99,False
Résurrection,Sorcery,None,Foreign Black Border,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',8.99,False
Inversion des dégâts,Instant,None,Foreign Black Border,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',8.99,False
Inversion de polarité,Instant,None,Foreign Black Border,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Hampton',8.99,False
Droiture,Instant,None,Foreign Black Border,Rare,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Douglas Shuler',8.99,False
Guérisseur sanctif,Creature,Human Cleric,Foreign Black Border,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tom W\xc3\xa4nerstrand',8.99,False
Lions des savanes,Creature,Cat,Foreign Black Border,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Gelon',14.99,False
Ange de Serra,Creature,Angel,Foreign Black Border,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',30.0,False
Retour au pays,Instant,None,Foreign Black Border,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',36.66,False
Garde du corps émérite,Creature,Human,Foreign Black Border,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',36.66,False
Mur d'épées,Creature,Wall,Foreign Black Border,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',36.66,False
