names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Farrel's Mantle,Enchantment,Aura,Fallen Empires,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.13,False
Farrelite Priest,Creature,Human Cleric,Fallen Empires,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Phil Foglio',0.14,False
Hand of Justice,Creature,Avatar,Fallen Empires,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',0.7,False
Heroism,Enchantment,None,Fallen Empires,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Poole',0.13,False
Icatian Lieutenant,Creature,Human Soldier,Fallen Empires,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.59,False
Icatian Phalanx,Creature,Human Soldier,Fallen Empires,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',0.13,False
Icatian Priest,Creature,Human Cleric,Fallen Empires,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.15,False
Icatian Skirmishers,Creature,Human Soldier,Fallen Empires,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.43,False
Icatian Town,Sorcery,None,Fallen Empires,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Tom W\xc3\xa4nerstrand',0.25,False
Deep Spawn,Creature,Homarid,Fallen Empires,Uncommon,8,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.21,False
Homarid Shaman,Creature,Homarid Shaman,Fallen Empires,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Amy Weber',0.44,False
Homarid Spawning Bed,Enchantment,None,Fallen Empires,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.24,False
River Merfolk,Creature,Merfolk,Fallen Empires,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.75,False
Seasinger,Creature,Merfolk,Fallen Empires,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',0.24,False
Svyelunite Priest,Creature,Merfolk Cleric,Fallen Empires,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.09,False
Tidal Influence,Enchantment,None,Fallen Empires,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tom W\xc3\xa4nerstrand',0.1,False
Vodalian Knights,Creature,Merfolk Knight,Fallen Empires,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',0.47,False
Vodalian War Machine,Creature,Wall,Fallen Empires,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Amy Weber',0.42,False
Breeding Pit,Enchantment,None,Fallen Empires,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.27,False
Derelor,Creature,Thrull,Fallen Empires,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.38,False
Ebon Praetor,Creature,Avatar Praetor,Fallen Empires,Rare,6,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Asplund-Faith',0.95,False
Soul Exchange,Sorcery,None,Fallen Empires,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.37,False
Thrull Champion,Creature,Thrull,Fallen Empires,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Gelon',0.51,False
Thrull Retainer,Enchantment,Aura,Fallen Empires,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.32,False
Thrull Wizard,Creature,Thrull Wizard,Fallen Empires,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Anson Maddocks',0.22,False
Tourach's Chant,Enchantment,None,Fallen Empires,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Richard Kane Ferguson',0.13,False
Tourach's Gate,Enchantment,Aura,Fallen Empires,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Sandra Everingham',0.46,False
Dwarven Armorer,Creature,Dwarf,Fallen Empires,Rare,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bryon Wackwitz',0.64,False
Dwarven Catapult,Instant,None,Fallen Empires,Uncommon,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',0.2,False
Dwarven Lieutenant,Creature,Dwarf Soldier,Fallen Empires,Uncommon,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff A. Menges',0.2,False
Goblin Flotilla,Creature,Goblin,Fallen Empires,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tom W\xc3\xa4nerstrand',0.45,False
Goblin Kites,Enchantment,None,Fallen Empires,Uncommon,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Anson Maddocks',0.13,False
Goblin Warrens,Enchantment,None,Fallen Empires,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',1.26,False
Orcish Captain,Creature,Orc Warrior,Fallen Empires,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.16,False
Orgg,Creature,Orgg,Fallen Empires,Rare,5,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Gelon',0.25,False
Raiding Party,Enchantment,None,Fallen Empires,Uncommon,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Quinton Hoover',0.1,False
Elvish Farmer,Creature,Elf,Fallen Empires,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Kane Ferguson',1.73,False
Feral Thallid,Creature,Fungus,Fallen Empires,Uncommon,6,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',0.24,False
Fungal Bloom,Enchantment,None,Fallen Empires,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Gelon',0.87,False
Spore Flower,Creature,Fungus,Fallen Empires,Uncommon,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Margaret Organ-Kean',0.39,False
Thallid Devourer,Creature,Fungus,Fallen Empires,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.27,False
Thelon's Chant,Enchantment,None,Fallen Empires,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Melissa A. Benson',0.13,False
Thelon's Curse,Enchantment,None,Fallen Empires,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.52,False
Thelonite Druid,Creature,Human Cleric Druid,Fallen Empires,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Margaret Organ-Kean',0.18,False
Thelonite Monk,Creature,Insect Monk Cleric,Fallen Empires,Rare,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bryon Wackwitz',0.52,False
Aeolipile,Artifact,None,Fallen Empires,Rare,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',1.01,False
