names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Ugin the Spirit Dragon,Planeswalker,Ugin,Fate Reforged,Mythic Rare,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',36.29,True
Abzan Advantage,Instant,None,Fate Reforged,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.09,False
Abzan Runemark,Enchantment,Aura,Fate Reforged,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.07,False
Abzan Skycaptain,Creature,Bird Soldier,Fate Reforged,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Stewart',0.03,False
Arashin Cleric,Creature,Human Cleric,Fate Reforged,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',0.12,False
Aven Skirmisher,Creature,Bird Warrior,Fate Reforged,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Rainville',0.06,False
Channel Harm,Instant,None,Fate Reforged,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Gaillet',0.08,False
Citadel Siege,Enchantment,None,Fate Reforged,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.26,False
Daghatar the Adamant,Creature,Human Warrior,Fate Reforged,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.21,True
Dragon Bell Monk,Creature,Human Monk,Fate Reforged,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.04,False
Dragonscale General,Creature,Human Warrior,Fate Reforged,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.22,False
Elite Scaleguard,Creature,Human Soldier,Fate Reforged,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.14,False
Great-Horn Krushok,Creature,Beast,Fate Reforged,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'YW Tang',0.05,False
Honor's Reward,Instant,None,Fate Reforged,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Izzy',0.11,False
Jeskai Barricade,Creature,Wall,Fate Reforged,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Noah Bradley',0.44,False
Lightform,Enchantment,None,Fate Reforged,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.12,False
Lotus-Eye Mystics,Creature,Human Monk,Fate Reforged,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.07,False
Mardu Woe-Reaper,Creature,Human Warrior,Fate Reforged,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Willian Murai',0.28,False
Mastery of the Unseen,Enchantment,None,Fate Reforged,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',0.19,False
Monastery Mentor,Creature,Human Monk,Fate Reforged,Mythic Rare,3,White,Legal,Not Legal,Legal,Restrict.,Legal,True,b'Magali Villeneuve',17.34,False
Pressure Point,Instant,None,Fate Reforged,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',0.06,False
Rally the Ancestors,Instant,None,Fate Reforged,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',0.94,False
Sage's Reverie,Enchantment,Aura,Fate Reforged,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.21,False
Sandblast,Instant,None,Fate Reforged,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Min Yum',0.06,False
Sandsteppe Outcast,Creature,Human Warrior,Fate Reforged,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Wesley Burt',0.09,False
Soul Summons,Sorcery,None,Fate Reforged,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.01,False
Soulfire Grand Master,Creature,Human Monk,Fate Reforged,Mythic Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johannes Voss',2.51,False
