names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angel of Salvation,Creature,Angel,Future Sight,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',0.37,False
Augur il-Vec,Creature,Human Cleric,Future Sight,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.14,False
Barren Glory,Enchantment,None,Future Sight,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Kendall',0.56,False
Dust of Moments,Instant,None,Future Sight,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.1,False
Even the Odds,Instant,None,Future Sight,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Shishizaru',0.12,False
Gift of Granite,Enchantment,Aura,Future Sight,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Hideaki Takamura',0.06,False
Intervention Pact,"Color Indicator: White
          Instant",None,Future Sight,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Kendall',1.68,False
Judge Unworthy,Instant,None,Future Sight,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.09,False
Lost Auramancers,Creature,Human Wizard,Future Sight,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Kitkouski',0.74,False
Magus of the Moat,Creature,Human Wizard,Future Sight,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',7.96,False
Marshaling Cry,Sorcery,None,Future Sight,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Vance Kovacs',0.15,False
Saltskitter,Creature,Wurm,Future Sight,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.14,False
Samite Censer-Bearer,Creature,Human Rebel Cleric,Future Sight,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'William Simpson',0.05,False
Scout's Warning,Instant,None,Future Sight,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',1.61,False
Spirit en-Dal,Creature,Spirit,Future Sight,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.33,False
Aven Mindcensor,Creature,Bird Wizard,Future Sight,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',1.74,False
Blade of the Sixth Pride,Creature,Cat Rebel,Future Sight,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',0.13,False
Bound in Silence,Tribal Enchantment,Rebel Aura,Future Sight,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'William Simpson',0.09,False
Daybreak Coronet,Enchantment,Aura,Future Sight,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Hampton',3.17,False
Goldmeadow Lookout,Creature,Kithkin Spellshaper,Future Sight,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.12,False
Imperial Mask,Enchantment,None,Future Sight,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.46,False
Lucent Liminid,Enchantment Creature,Elemental,Future Sight,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Fortune',0.06,False
Lumithread Field,Enchantment,None,Future Sight,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Altmann',0.16,False
Lymph Sliver,Creature,Sliver,Future Sight,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ittoku',0.22,False
Mistmeadow Skulk,Creature,Kithkin Rogue,Future Sight,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Omar Rayyan',0.11,False
Oriss Samite Guardian,Creature,Human Cleric,Future Sight,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Komarck',0.59,True
Patrician's Scorn,Instant,None,Future Sight,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.19,False
Ramosian Revivalist,Creature,Human Rebel Cleric,Future Sight,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Stewart',0.17,False
Seht's Tiger,Creature,Cat,Future Sight,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas Gianni',0.42,False
Aven Augur,Creature,Bird Wizard,Future Sight,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.09,False
Cloudseeder,Creature,Faerie Spellshaper,Future Sight,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Tsutomu Kawade',0.19,False
Cryptic Annelid,Creature,Worm Beast,Future Sight,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.19,False
Delay,Instant,None,Future Sight,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',6.3,False
Foresee,Sorcery,None,Future Sight,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.1,False
Leaden Fists,Enchantment,Aura,Future Sight,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Shishizaru',0.05,False
Maelstrom Djinn,Creature,Djinn,Future Sight,Rare,8,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Hideaki Takamura',0.27,False
Magus of the Future,Creature,Human Wizard,Future Sight,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Francisco',1.42,False
Mystic Speculation,Sorcery,None,Future Sight,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Trevor Hairsine',1.34,False
Pact of Negation,"Color Indicator: Blue
          Instant",None,Future Sight,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',31.33,False
Take Possession,Enchantment,Aura,Future Sight,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Phillippi',0.42,False
Unblinking Bleb,Creature,Illusion,Future Sight,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Shishizaru',0.48,False
Venser Shaper Savant,Creature,Human Wizard,Future Sight,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',9.0,True
Venser's Diffusion,Instant,None,Future Sight,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Hideaki Takamura',0.09,False
Arcanum Wings,Enchantment,Aura,Future Sight,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Frank',0.64,False
Blind Phantasm,Creature,Illusion,Future Sight,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Khang Le',0.07,False
Bonded Fetch,Creature,Homunculus,Future Sight,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Kitkouski',0.24,False
Linessa Zephyr Mage,Creature,Human Wizard,Future Sight,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Murray',0.43,True
Logic Knot,Instant,None,Future Sight,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.53,False
Mesmeric Sliver,Creature,Sliver,Future Sight,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Bruinsma',0.21,False
Narcomoeba,Creature,Illusion,Future Sight,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Matt Stewart',1.59,False
Nix,Instant,None,Future Sight,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Despain',0.62,False
Sarcomite Myr,Artifact Creature,Myr,Future Sight,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Bruinsma',0.15,False
Second Wind,Enchantment,Aura,Future Sight,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Stewart',0.17,False
Shapeshifter's Marrow,Enchantment,None,Future Sight,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.38,False
Spellweaver Volute,Enchantment,Aura,Future Sight,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Bud Cook',2.09,False
Spin into Myth,Instant,None,Future Sight,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'David Day',0.22,False
Vedalken Aethermage,Creature,Vedalken Wizard,Future Sight,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'William Simpson',0.37,False
Whip-Spine Drake,Creature,Drake,Future Sight,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Fortune',0.12,False
Augur of Skulls,Creature,Skeleton Wizard,Future Sight,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.3,False
Cutthroat il-Dal,Creature,Human Rogue,Future Sight,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Vance Kovacs',0.05,False
Gibbering Descent,Enchantment,None,Future Sight,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Ittoku',6.17,False
Grave Peril,Enchantment,None,Future Sight,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.11,False
Ichor Slick,Sorcery,None,Future Sight,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.21,False
Lost Hours,Sorcery,None,Future Sight,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jon Foster',0.1,False
Magus of the Abyss,Creature,Human Wizard,Future Sight,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.38,False
Minions' Murmurs,Sorcery,None,Future Sight,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.24,False
Oblivion Crown,Enchantment,Aura,Future Sight,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.24,False
Pooling Venom,Enchantment,Aura,Future Sight,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.34,False
Putrid Cyclops,Creature,Zombie Cyclops,Future Sight,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.03,False
Shimian Specter,Creature,Specter,Future Sight,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.28,False
Skirk Ridge Exhumer,Creature,Zombie Spellshaper,Future Sight,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Phillippi',0.28,False
Slaughter Pact,"Color Indicator: Black
          Instant",None,Future Sight,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',3.47,False
Stronghold Rats,Creature,Rat,Future Sight,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Kitkouski',2.3,False
Bitter Ordeal,Sorcery,None,Future Sight,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Daarken',11.88,False
Bridge from Below,Enchantment,None,Future Sight,Rare,3,Black,Banned,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',4.25,False
Death Rattle,Instant,None,Future Sight,Common,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Vance Kovacs',0.07,False
Deepcavern Imp,Creature,Imp Rebel,Future Sight,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Altmann',0.09,False
Fleshwrither,Creature,Horror,Future Sight,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Allsop',1.54,False
Frenzy Sliver,Creature,Sliver,Future Sight,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.21,False
Grave Scrabbler,Creature,Zombie,Future Sight,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Allsop',0.28,False
Korlash Heir to Blackblade,Creature,Zombie Warrior,Future Sight,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',5.26,True
Mass of Ghouls,Creature,Zombie Warrior,Future Sight,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucio Parrillo',0.07,False
Snake Cult Initiation,Enchantment,Aura,Future Sight,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',0.31,False
Street Wraith,Creature,Wraith,Future Sight,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Cyril Van Der Haegen',3.19,False
Tombstalker,Creature,Demon,Future Sight,Rare,8,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',0.68,False
Witch's Mist,Enchantment,None,Future Sight,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Ittoku',0.13,False
Yixlid Jailer,Creature,Zombie Wizard,Future Sight,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',1.13,False
Bogardan Lancer,Creature,Human Knight,Future Sight,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Murray',0.09,False
Char-Rumbler,Creature,Elemental,Future Sight,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.12,False
Emberwilde Augur,Creature,Goblin Shaman,Future Sight,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Kitkouski',0.1,False
Fatal Attraction,Enchantment,Aura,Future Sight,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.07,False
Gathan Raiders,Creature,Human Warrior,Future Sight,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.11,False
Haze of Rage,Sorcery,None,Future Sight,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.71,False
Magus of the Moon,Creature,Human Wizard,Future Sight,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',15.64,False
Molten Disaster,Sorcery,None,Future Sight,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',0.33,False
Pact of the Titan,"Color Indicator: Red
          Instant",None,Future Sight,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Raymond Swanland',1.73,False
Pyromancer's Swath,Enchantment,None,Future Sight,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Hideaki Takamura',0.49,False
Riddle of Lightning,Instant,None,Future Sight,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.07,False
Rift Elemental,Creature,Elemental,Future Sight,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.17,False
Scourge of Kher Ridges,Creature,Dragon,Future Sight,Rare,8,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',2.31,False
Sparkspitter,Creature,Elemental Spellshaper,Future Sight,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.12,False
Bloodshot Trainee,Creature,Goblin Warrior,Future Sight,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucio Parrillo',0.1,False
