names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Absolver Thrull,Creature,Thrull Cleric,Guildpact,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Rob Alexander',0.06,False
Belfry Spirit,Creature,Spirit,Guildpact,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.2,False
Benediction of Moons,Sorcery,None,Guildpact,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.11,False
Droning Bureaucrats,Creature,Human Advisor,Guildpact,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.11,False
Ghost Warden,Creature,Spirit,Guildpact,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',0.04,False
Ghostway,Instant,None,Guildpact,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Murray',11.68,False
Graven Dominator,Creature,Gargoyle,Guildpact,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.18,False
Guardian's Magemark,Enchantment,Aura,Guildpact,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Kitkouski',0.08,False
Harrier Griffin,Creature,Griffin,Guildpact,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.1,False
Leyline of the Meek,Enchantment,None,Guildpact,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',2.02,False
Lionheart Maverick,Creature,Human Knight,Guildpact,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Hideaki Takamura',0.06,False
Martyred Rusalka,Creature,Spirit,Guildpact,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Alex Horley-Orlandelli',0.13,False
Order of the Stars,Creature,Human Cleric,Guildpact,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.28,False
Shadow Lance,Enchantment,Aura,Guildpact,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Hideaki Takamura',0.12,False
Shrieking Grotesque,Creature,Gargoyle,Guildpact,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.15,False
Sinstriker's Will,Enchantment,Aura,Guildpact,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ben Thompson',0.1,False
Skyrider Trainee,Creature,Human Soldier,Guildpact,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.08,False
Spelltithe Enforcer,Creature,Elephant Wizard,Guildpact,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',3.42,False
Storm Herd,Sorcery,None,Guildpact,Rare,10,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',1.23,False
To Arms!,Instant,None,Guildpact,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Aleksi Briclot',0.78,False
Withstand,Instant,None,Guildpact,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.05,False
Aetherplasm,Creature,Illusion,Guildpact,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Nottsuo',0.29,False
Crystal Seer,Creature,Vedalken Wizard,Guildpact,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Glen Angus',0.07,False
Drowned Rusalka,Creature,Spirit,Guildpact,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.14,False
Frazzle,Instant,None,Guildpact,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.08,False
Gigadrowse,Instant,None,Guildpact,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.32,False
Hatching Plans,Enchantment,None,Guildpact,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.58,False
Infiltrator's Magemark,Enchantment,Aura,Guildpact,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Kitkouski',0.1,False
Leyline of Singularity,Enchantment,None,Guildpact,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',1.36,False
Mimeofacture,Sorcery,None,Guildpact,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.24,False
Quicken,Instant,None,Guildpact,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',0.63,False
Repeal,Instant,None,Guildpact,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.16,False
Runeboggle,Instant,None,Guildpact,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.1,False
Sky Swallower,Creature,Leviathan,Guildpact,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.26,False
Steamcore Weird,Creature,Weird,Guildpact,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Norman',0.1,False
Stratozeppelid,Creature,Beast,Guildpact,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ittoku',0.1,False
Thunderheads,Instant,None,Guildpact,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Hideaki Takamura',0.09,False
Torch Drake,Creature,Drake,Guildpact,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.1,False
Train of Thought,Sorcery,None,Guildpact,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Thompson',0.12,False
Vacuumelt,Sorcery,None,Guildpact,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Nottsuo',0.09,False
Vedalken Plotter,Creature,Vedalken Wizard,Guildpact,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.35,False
Vertigo Spawn,Creature,Illusion,Guildpact,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',0.08,False
Abyssal Nocturnus,Creature,Horror,Guildpact,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jon Foster',0.85,False
Caustic Rain,Sorcery,None,Guildpact,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',0.11,False
Cremate,Instant,None,Guildpact,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.1,False
Cry of Contrition,Sorcery,None,Guildpact,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.14,False
Cryptwailing,Enchantment,None,Guildpact,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Nick Percival',0.11,False
Daggerclaw Imp,Creature,Imp,Guildpact,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.13,False
Douse in Gloom,Instant,None,Guildpact,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.05,False
Exhumer Thrull,Creature,Thrull,Guildpact,Uncommon,6,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Warren Mahy',0.1,False
Hissing Miasma,Enchantment,None,Guildpact,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',1.21,False
Leyline of the Void,Enchantment,None,Guildpact,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,True,b'Adam Rex',17.4,False
Necromancer's Magemark,Enchantment,Aura,Guildpact,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Kitkouski',0.12,False
Orzhov Euthanist,Creature,Human Assassin,Guildpact,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.08,False
Ostiary Thrull,Creature,Thrull,Guildpact,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.05,False
Plagued Rusalka,Creature,Spirit,Guildpact,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Alex Horley-Orlandelli',0.1,False
Poisonbelly Ogre,Creature,Ogre Warrior,Guildpact,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.24,False
Restless Bones,Creature,Skeleton,Guildpact,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Glenn Fabry',0.08,False
Revenant Patriarch,Creature,Spirit,Guildpact,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Nick Percival',0.16,False
Sanguine Praetor,Creature,Avatar Praetor,Guildpact,Rare,8,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.17,False
Seize the Soul,Instant,None,Guildpact,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Aleksi Briclot',0.29,False
Skeletal Vampire,Creature,Vampire Skeleton,Guildpact,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.22,False
Smogsteed Rider,Creature,Human Wizard,Guildpact,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.1,False
Bloodscale Prowler,Creature,Viashino Warrior,Guildpact,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Lars Grant-West',0.05,False
Fencer's Magemark,Enchantment,Aura,Guildpact,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Kitkouski',0.07,False
Ghor-Clan Bloodscale,Creature,Viashino Warrior,Guildpact,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.1,False
Hypervolt Grasp,Enchantment,Aura,Guildpact,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Romanoski',0.14,False
