names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Blade Instructor,Creature,Human Soldier,Guilds of Ravnica,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.03,False
Bounty Agent,Creature,Human Soldier,Guilds of Ravnica,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Randy Vargas',0.22,False
Candlelight Vigil,Enchantment,Aura,Guilds of Ravnica,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Alexander Forssberg',0.05,False
Citywide Bust,Sorcery,None,Guilds of Ravnica,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.24,False
Collar the Culprit,Instant,None,Guilds of Ravnica,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.05,False
Conclave Tribunal,Enchantment,None,Guilds of Ravnica,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.11,False
Crush Contraband,Instant,None,Guilds of Ravnica,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Jason A. Engle',0.31,False
Dawn of Hope,Enchantment,None,Guilds of Ravnica,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Sung Choi',2.35,False
Demotion,Enchantment,Aura,Guilds of Ravnica,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Joe Slucher',0.08,False
Divine Visitation,Enchantment,None,Guilds of Ravnica,Mythic Rare,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',14.62,False
Flight of Equenauts,Creature,Human Knight,Guilds of Ravnica,Uncommon,8,White,Legal,Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.04,False
Gird for Battle,Sorcery,None,Guilds of Ravnica,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Jakub Kasper',0.16,False
Haazda Marshal,Creature,Human Soldier,Guilds of Ravnica,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Josh Hass',0.12,False
Healer's Hawk,Creature,Bird,Guilds of Ravnica,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Milivoj \xc4\x86eran',0.35,False
Hunted Witness,Creature,Human,Guilds of Ravnica,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'David Palumbo',0.11,False
Inspiring Unicorn,Creature,Unicorn,Guilds of Ravnica,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Even Amundsen',0.08,False
Intrusive Packbeast,Creature,Beast,Guilds of Ravnica,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Jason Felix',0.02,False
Ledev Guardian,Creature,Human Knight,Guilds of Ravnica,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Kimonas Theodossiou',0.03,False
Light of the Legion,Creature,Angel,Guilds of Ravnica,Rare,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Alex Konstad',0.2,False
Loxodon Restorer,Creature,Elephant Cleric,Guilds of Ravnica,Common,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.04,False
Luminous Bonds,Enchantment,Aura,Guilds of Ravnica,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Mark Behm',0.04,False
Parhelion Patrol,Creature,Human Knight,Guilds of Ravnica,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Even Amundsen',0.05,False
Righteous Blow,Instant,None,Guilds of Ravnica,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Izzy',0.03,False
Roc Charger,Creature,Bird,Guilds of Ravnica,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Titus Lunter',0.06,False
