names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abbey Gargoyles,Creature,Gargoyle,Homelands,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.14,False
Aysen Crusader,Creature,Human Knight,Homelands,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'N\xc3\xa9N\xc3\xa9 Thomas',0.67,False
Aysen Highway,Enchantment,None,Homelands,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'N\xc3\xa9N\xc3\xa9 Thomas',0.4,False
Beast Walkers,Creature,Human Beast Soldier,Homelands,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.28,False
Death Speakers,Creature,Human Cleric,Homelands,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.19,False
Hazduhr the Abbot,Creature,Human Cleric,Homelands,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.37,True
Leeches,Sorcery,None,Homelands,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Rabinowitz',0.72,False
Prophecy,Sorcery,None,Homelands,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Rush',0.12,False
Rashka the Slayer,Creature,Human Archer,Homelands,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Rush',0.15,True
Serra Aviary,World Enchantment,None,Homelands,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Nicola Leonard',0.9,False
Serra Bestiary,Enchantment,Aura,Homelands,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.11,False
Serra Inquisitors,Creature,Human Cleric,Homelands,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dennis Detwiller',0.19,False
Serra Paladin,Creature,Human Knight,Homelands,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.11,False
Soraya the Falconer,Creature,Human,Homelands,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dennis Detwiller',1.09,True
Truce,Instant,None,Homelands,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',0.57,False
Aether Storm,Enchantment,None,Homelands,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.14,False
Baki's Curse,Sorcery,None,Homelands,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Nicola Leonard',0.33,False
Chain Stasis,Instant,None,Homelands,Rare,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pat Morrissey',0.65,False
Coral Reef,Enchantment,None,Homelands,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Amy Weber',0.17,False
Forget,Sorcery,None,Homelands,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Kimble',0.26,False
Giant Oyster,Creature,Oyster,Homelands,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Nicola Leonard',0.16,False
Jinx,Instant,None,Homelands,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Kimble',0.11,False
Marjhan,Creature,Serpent,Homelands,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Gelon',0.34,False
Merchant Scroll,Sorcery,None,Homelands,Common,2,Blue,Legal,Not Legal,Legal,Restrict.,Legal,True,b'Liz Danforth',4.83,False
Mystic Decree,World Enchantment,None,Homelands,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Liz Danforth',0.72,False
Narwhal,Creature,Whale,Homelands,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'David A. Cherry',0.73,False
Reveka Wizard Savant,Creature,Dwarf Wizard,Homelands,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',0.56,True
Sea Sprite,Creature,Faerie,Homelands,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Susan Van Camp',0.24,False
Sea Troll,Creature,Troll,Homelands,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daniel Gelon',0.15,False
Wall of Kelp,Creature,Plant Wall,Homelands,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Rabinowitz',3.81,False
Baron Sengir,Creature,Vampire Noble,Homelands,Rare,8,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',2.25,True
Black Carriage,Creature,Horse,Homelands,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David A. Cherry',0.55,False
Broken Visage,Instant,None,Homelands,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Kimble',0.28,False
Drudge Spell,Enchantment,None,Homelands,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'N\xc3\xa9N\xc3\xa9 Thomas',0.18,False
Funeral March,Enchantment,Aura,Homelands,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',0.1,False
Ghost Hounds,Creature,Dog Spirit,Homelands,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff A. Menges',0.12,False
Grandmother Sengir,Creature,Human Wizard,Homelands,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.51,True
Greater Werewolf,Creature,Werewolf,Homelands,Common,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dennis Detwiller',0.12,False
Headstone,Instant,None,Homelands,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David A. Cherry',0.11,False
Ihsan's Shade,Creature,Shade Knight,Homelands,Uncommon,6,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.22,True
Irini Sengir,Creature,Vampire Dwarf,Homelands,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.23,True
Koskun Falls,World Enchantment,None,Homelands,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rob Alexander',4.14,False
Sengir Autocrat,Creature,Human,Homelands,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'David A. Cherry',0.33,False
Timmerian Fiends,Creature,Horror,Homelands,Rare,3,Black,Not Legal,Not Legal,Banned,Banned,Banned,False,b'Mike Kimble',0.61,False
Veldrane of Sengir,Creature,Human Rogue,Homelands,Rare,7,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Susan Van Camp',0.41,True
Ambush,Instant,None,Homelands,Common,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Rabinowitz',0.15,False
An-Zerrin Ruins,Enchantment,None,Homelands,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dennis Detwiller',1.0,False
Anaba Ancestor,Creature,Minotaur Spirit,Homelands,Rare,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.49,False
Anaba Spirit Crafter,Creature,Minotaur Shaman,Homelands,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',1.07,False
Chandler,Creature,Human Rogue,Homelands,Common,5,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.16,True
