names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Act of Heroism,Instant,None,Hour of Devastation,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.06,False
Adorned Pouncer,Creature,Cat,Hour of Devastation,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.67,False
Angel of Condemnation,Creature,Angel,Hour of Devastation,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.47,False
Angel of the God-Pharaoh,Creature,Angel,Hour of Devastation,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'E. M. Gist',0.12,False
Aven of Enduring Hope,Creature,Bird Cleric,Hour of Devastation,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.02,False
Crested Sunmare,Creature,Horse,Hour of Devastation,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',6.46,False
Dauntless Aven,Creature,Bird Warrior,Hour of Devastation,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.04,False
Desert's Hold,Enchantment,Aura,Hour of Devastation,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sara Winters',0.05,False
Disposal Mummy,Creature,Zombie Jackal,Hour of Devastation,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Gabor Szikszai',0.03,False
Djeru With Eyes Open,Creature,Human Warrior,Hour of Devastation,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.4,True
Djeru's Renunciation,Instant,None,Hour of Devastation,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.1,False
Dutiful Servants,Creature,Zombie,Hour of Devastation,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.07,False
Gideon's Defeat,Instant,None,Hour of Devastation,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.06,False
God-Pharaoh's Faithful,Creature,Human Wizard,Hour of Devastation,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.11,False
Hour of Revelation,Sorcery,None,Hour of Devastation,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',0.92,False
Mummy Paramount,Creature,Zombie,Hour of Devastation,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Josu Hernaiz',0.05,False
Oketra's Avenger,Creature,Human Warrior,Hour of Devastation,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Palumbo',0.03,False
Oketra's Last Mercy,Sorcery,None,Hour of Devastation,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.23,False
Overwhelming Splendor,Enchantment,Aura Curse,Hour of Devastation,Mythic Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Wright',2.79,False
Sandblast,Instant,None,Hour of Devastation,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.03,False
Saving Grace,Enchantment,Aura,Hour of Devastation,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'McLean Kendree',0.07,False
Solemnity,Enchantment,None,Hour of Devastation,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Opalinski',6.31,False
Solitary Camel,Creature,Camel,Hour of Devastation,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.02,False
Steadfast Sentinel,Creature,Human Cleric,Hour of Devastation,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.01,False
Steward of Solidarity,Creature,Human Warrior,Hour of Devastation,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sara Winters',0.09,False
Sunscourge Champion,Creature,Human Wizard,Hour of Devastation,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Josu Hernaiz',0.13,False
Unconventional Tactics,Sorcery,None,Hour of Devastation,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.06,False
Vizier of the True,Creature,Human Cleric,Hour of Devastation,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.04,False
Aerial Guide,Creature,Drake,Hour of Devastation,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.05,False
