names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Adaptive Shimmerer,Creature,Insect,Ikoria: Lair of Behemoths,Common,5,Colorless,Legal,Legal,Legal,Legal,Legal,True,b'Jason Felix',0.04,False
Farfinder,Creature,Fox,Ikoria: Lair of Behemoths,Common,3,Colorless,Legal,Legal,Legal,Legal,Legal,True,b'Leesha Hannigan',0.08,False
Mysterious Egg,Creature,Egg,Ikoria: Lair of Behemoths,Common,1,Colorless,Legal,Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.08,False
Blade Banish,Instant,None,Ikoria: Lair of Behemoths,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Lie Setiawan',0.09,False
Checkpoint Officer,Creature,Human Soldier,Ikoria: Lair of Behemoths,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Manuel Casta\xc3\xb1\xc3\xb3n',0.07,False
Coordinated Charge,Instant,None,Ikoria: Lair of Behemoths,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.05,False
Cubwarden,Creature,Cat,Ikoria: Lair of Behemoths,Rare,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Kekai Kotaki',0.3,False
Daysquad Marshal,Creature,Human Soldier,Ikoria: Lair of Behemoths,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Micah Epstein',0.05,False
Divine Arrow,Instant,None,Ikoria: Lair of Behemoths,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.09,False
Drannith Healer,Creature,Human Cleric,Ikoria: Lair of Behemoths,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.08,False
Drannith Magistrate,Creature,Human Wizard,Ikoria: Lair of Behemoths,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Kieran Yanner',1.4,False
Fight as One,Instant,None,Ikoria: Lair of Behemoths,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Bryan Sola',0.14,False
Flourishing Fox,Creature,Fox,Ikoria: Lair of Behemoths,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Ilse Gort',0.28,False
Garrison Cat,Creature,Cat,Ikoria: Lair of Behemoths,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.07,False
Helica Glider,Creature,Nightmare Squirrel,Ikoria: Lair of Behemoths,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Jehan Choo',0.07,False
Huntmaster Liger,Creature,Cat,Ikoria: Lair of Behemoths,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Leesha Hannigan',0.1,False
Imposing Vantasaur,Creature,Dinosaur,Ikoria: Lair of Behemoths,Common,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Jonathan Kuo',0.05,False
Keensight Mentor,Creature,Human Cleric,Ikoria: Lair of Behemoths,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Yongjae Choi',0.09,False
Lavabrink Venturer,Creature,Human Soldier,Ikoria: Lair of Behemoths,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.22,False
Light of Hope,Instant,None,Ikoria: Lair of Behemoths,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Kimonas Theodossiou',0.09,False
Luminous Broodmoth,Creature,Insect,Ikoria: Lair of Behemoths,Mythic Rare,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Lie Setiawan',10.78,False
Majestic Auricorn,Creature,Unicorn,Ikoria: Lair of Behemoths,Uncommon,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Jonathan Kuo',0.1,False
Maned Serval,Creature,Cat,Ikoria: Lair of Behemoths,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Jonathan Kuo',0.07,False
Mythos of Snapdax,Sorcery,None,Ikoria: Lair of Behemoths,Rare,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.31,False
Pacifism,Enchantment,Aura,Ikoria: Lair of Behemoths,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Kev Walker',0.05,False
Patagia Tiger,Creature,Cat,Ikoria: Lair of Behemoths,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Micah Epstein',0.08,False
Perimeter Sergeant,Creature,Human Soldier,Ikoria: Lair of Behemoths,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Stepan Alekseev',0.06,False
Sanctuary Lockdown,Enchantment,None,Ikoria: Lair of Behemoths,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.07,False
Savai Sabertooth,Creature,Cat,Ikoria: Lair of Behemoths,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Ilse Gort',0.05,False
Snare Tactician,Creature,Human Soldier,Ikoria: Lair of Behemoths,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Micah Epstein',0.05,False
Solid Footing,Enchantment,Aura,Ikoria: Lair of Behemoths,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Wisnu Tan',0.06,False
Splendor Mare,Creature,Elk Unicorn,Ikoria: Lair of Behemoths,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.09,False
Spontaneous Flight,Instant,None,Ikoria: Lair of Behemoths,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Gabor Szikszai',0.05,False
Stormwild Capridor,Creature,Bird Goat,Ikoria: Lair of Behemoths,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Dmitry Burmak',0.1,False
Swallow Whole,Sorcery,None,Ikoria: Lair of Behemoths,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.09,False
Valiant Rescuer,Creature,Human Soldier,Ikoria: Lair of Behemoths,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Bram Sels',0.19,False
Vulpikeet,Creature,Fox Bird,Ikoria: Lair of Behemoths,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Leesha Hannigan',0.07,False
Will of the All-Hunter,Instant,None,Ikoria: Lair of Behemoths,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.07,False
Aegis Turtle,Creature,Turtle,Ikoria: Lair of Behemoths,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Milivoj \xc4\x86eran',0.04,False
Anticipate,Instant,None,Ikoria: Lair of Behemoths,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.04,False
Archipelagore,Creature,Leviathan,Ikoria: Lair of Behemoths,Uncommon,7,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.07,False
Avian Oddity,Creature,Bird,Ikoria: Lair of Behemoths,Uncommon,4,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Simon Dominic',0.07,False
Boon of the Wish-Giver,Sorcery,None,Ikoria: Lair of Behemoths,Uncommon,6,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.17,False
Capture Sphere,Enchantment,Aura,Ikoria: Lair of Behemoths,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Jakub Kasper',0.1,False
Convolute,Instant,None,Ikoria: Lair of Behemoths,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.07,False
Crystacean,Creature,Crab,Ikoria: Lair of Behemoths,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Mathias Kollros',0.07,False
