names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Alabaster Leech,Creature,Leech,Invasion,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.22,False
Angel of Mercy,Creature,Angel,Invasion,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.15,False
Ardent Soldier,Creature,Human Soldier,Invasion,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.07,False
Atalya Samite Master,Creature,Human Cleric,Invasion,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.62,True
Benalish Emissary,Creature,Human Wizard,Invasion,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.12,False
Benalish Heralds,Creature,Human Soldier,Invasion,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Don Hazeltine',0.12,False
Benalish Lancer,Creature,Human Knight,Invasion,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.07,False
Benalish Trapper,Creature,Human Soldier,Invasion,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,"b'Ken Meyer, Jr.'",0.07,False
Blinding Light,Sorcery,None,Invasion,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Marc Fishman',0.17,False
Capashen Unicorn,Creature,Unicorn,Invasion,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jerry Tiritilli',0.15,False
Crimson Acolyte,Creature,Human Cleric,Invasion,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.21,False
Crusading Knight,Creature,Human Knight,Invasion,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",1.14,False
Death or Glory,Sorcery,None,Invasion,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Easley',0.36,False
Dismantling Blow,Instant,None,Invasion,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.21,False
Divine Presence,Enchantment,None,Invasion,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.5,False
Fight or Flight,Enchantment,None,Invasion,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.32,False
Glimmering Angel,Creature,Angel,Invasion,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ciruelo',0.13,False
Global Ruin,Sorcery,None,Invasion,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.28,False
