names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abbey Griffin,Creature,Griffin,Innistrad,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jaime Jones',0.07,False
Angel of Flight Alabaster,Creature,Angel,Innistrad,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.31,False
Angelic Overseer,Creature,Angel,Innistrad,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Chan',1.31,False
Avacynian Priest,Creature,Human Cleric,Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.05,False
Bonds of Faith,Enchantment,Aura,Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.11,False
Champion of the Parish,Creature,Human Soldier,Innistrad,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',1.47,False
Chapel Geist,Creature,Spirit,Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Peter Mohrbacher',0.04,False
Cloistered Youth,Creature,Human,Innistrad,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Igor Kieryluk',0.08,False
Dearly Departed,Creature,Spirit,Innistrad,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',0.2,False
Divine Reckoning,Sorcery,None,Innistrad,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.46,False
Doomed Traveler,Creature,Human Soldier,Innistrad,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.11,False
Elder Cathar,Creature,Human Soldier,Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.07,False
Elite Inquisitor,Creature,Human Soldier,Innistrad,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jana Schirmer',0.35,False
Feeling of Dread,Instant,None,Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Stanko',0.1,False
Fiend Hunter,Creature,Human Cleric,Innistrad,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.16,False
Gallows Warden,Creature,Spirit,Innistrad,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.09,False
Geist-Honored Monk,Creature,Human Monk,Innistrad,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.36,False
Ghostly Possession,Enchantment,Aura,Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.07,False
