names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aegis of the Gods,Enchantment Creature,Human Soldier,Journey into Nyx,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Yefim Kligerman',1.41,False
Ajani's Presence,Instant,None,Journey into Nyx,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',0.31,False
Akroan Mastiff,Creature,Dog,Journey into Nyx,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.06,False
Armament of Nyx,Enchantment,Aura,Journey into Nyx,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.05,False
Banishing Light,Enchantment,None,Journey into Nyx,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Willian Murai',0.12,False
Dawnbringer Charioteers,Creature,Human Soldier,Journey into Nyx,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.15,False
Deicide,Instant,None,Journey into Nyx,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.33,False
Dictate of Heliod,Enchantment,None,Journey into Nyx,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.24,False
Eagle of the Watch,Creature,Bird,Journey into Nyx,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.05,False
Eidolon of Rhetoric,Enchantment Creature,Spirit,Journey into Nyx,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.54,False
Font of Vigor,Enchantment,None,Journey into Nyx,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Noah Bradley',0.07,False
Godsend,Artifact,Equipment,Journey into Nyx,Mythic Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',9.18,True
Harvestguard Alseids,Enchantment Creature,Nymph,Journey into Nyx,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.11,False
Lagonna-Band Trailblazer,Creature,Centaur Scout,Journey into Nyx,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Zapata',0.2,False
