names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Ancestor's Chosen,Creature,Human Cleric,Judgment,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.21,False
Aven Warcraft,Instant,None,Judgment,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Roger Raupp',0.14,False
Battle Screech,Sorcery,None,Judgment,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.61,False
Battlewise Aven,Creature,Bird Soldier,Judgment,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.05,False
Benevolent Bodyguard,Creature,Human Cleric,Judgment,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Roger Raupp',0.23,False
Border Patrol,Creature,Human Nomad,Judgment,Common,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Roger Raupp',0.12,False
Cagemail,Enchantment,Aura,Judgment,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.07,False
Chastise,Instant,None,Judgment,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.16,False
Commander Eesha,Creature,Bird Soldier,Judgment,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',1.3,True
Funeral Pyre,Instant,None,Judgment,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.12,False
Glory,Creature,Incarnation,Judgment,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',1.33,False
Golden Wish,Sorcery,None,Judgment,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.35,False
Guided Strike,Instant,None,Judgment,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Dorman',0.12,False
Lead Astray,Instant,None,Judgment,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Adam Rex',0.04,False
Nomad Mythmaker,Creature,Human Nomad Cleric,Judgment,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Peterson',1.83,False
Phantom Flock,Creature,Bird Soldier Spirit,Judgment,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'David Martin',0.15,False
Phantom Nomad,Creature,Spirit Nomad,Judgment,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.18,False
Prismatic Strands,Instant,None,Judgment,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Peterson',0.44,False
Pulsemage Advocate,Creature,Human Cleric,Judgment,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Easley',0.78,False
Ray of Revelation,Instant,None,Judgment,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Doug Chaffee',0.15,False
Selfless Exorcist,Creature,Human Cleric,Judgment,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.18,False
Shieldmage Advocate,Creature,Human Cleric,Judgment,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.08,False
Silver Seraph,Creature,Angel,Judgment,Rare,8,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.35,False
Solitary Confinement,Enchantment,None,Judgment,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',7.68,False
Soulcatchers' Aerie,Enchantment,None,Judgment,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rob Alexander',1.17,False
Spirit Cairn,Enchantment,None,Judgment,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Gary Ruddell',0.18,False
Spurnmage Advocate,Creature,Human Nomad,Judgment,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.15,False
Suntail Hawk,Creature,Bird,Judgment,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.09,False
